[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,05/09/2017

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
74,1,9891,29168,0,,,,,,
75,1,10742,27985,0,,,,,,
102,0,10590,18791,0,82.6,,,,,
103,0,10602,19211,0,,,,,,
118,2,11558,14196,0,,,,,,
179,1,14098,23917,0,,,,,,
186,1,14098,23917,0,,,,,,
202,1,9969,14792,0,,,,,,
203,2,14290,22717,0,,,,,,
204,2,12328,24022,0,,,,,,
206,1,11470,16113,0,,,,,,
208,1,9559,17559,0,,,,,,
209,1,11459,17461,0,,,,,,
211,1,9858,18791,0,,,,,,
215,1,10024,19211,0,,,,,,
216,1,11609,19211,0,,,,,,
218,2,9082,20461,0,,,,,,
219,2,10955,20461,0,,,,,,
222,2,11115,24061,0,,,,,,
223,1,11433,24955,0,,,,,,
224,1,9780,25249,0,,,,,,
226,1,9737,26745,0,,,,,,
228,1,9747,27985,0,,,,,,
231,1,10590,30025,0,,,,,,
233,2,7968,23529,0,,,,,,
237,1,11483,29168,0,,,,,,
251,1,11533,18791,0,,,,,,
277,2,10590,19603,0,,,,,,
300,1,9039,16179,0,,,,,,
341,2,7552,22246,0,,,,,,
374,2,12965,20461,0,,,,,,
375,2,13400,20796,0,,,,,,
383,1,11780,13781,0,,,,,,
384,1,7970,24051,0,,,,,,
2915,1,11780,13781,0,,,,,,
3600,1,10591,8263,0,,,,,,
3700,0,10590,13511,0,,,,,,
3725,0,10590,14791,0,,,,,,
3750,0,10590,16131,0,,,,,,
3775,0,10590,17461,0,,,,,,
3825,0,10590,20461,0,,,,,,
3900,0,10590,24061,0,,,,,,
3912,1,7970,24051,0,,,,,,
3925,0,10590,25045,0,,,,,,
3950,0,10590,26745,0,,,,,,
3975,0,10590,27985,0,,,,,,
3999,0,10590,29168,0,,,,,,
4400,1,5320,13511,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SW
Up ID,74,,,,3999,,,
Lanes,74,,,,1,,,
Name,74,,,,Parkside Ln,,,
Distance,74,,,,699,,,
Speed,74,,,,30,,,
Time,74,,,,15.9,,,
Grade,74,,,,0,,,
Median,74,,,,12,,,
Offset,74,,,,0,,,
TWLTL,74,,,,0,,,
Crosswalk Width,74,,,,16,,,
Mandatory Distance,74,,,,200,,,
Mandatory Distance2,74,,,,1320,,,
Positioning Distance,74,,,,880,,,
Positioning Distance2,74,,,,1760,,,
Curve Pt X,74,,,,,,,
Curve Pt Y,74,,,,,,,
Curve Pt Z,74,,,,,,,
Link Is Hidden,74,,,,false,,,
Street Name Is Hidden,74,,,,false,,,
Up ID,75,,,3975,,,,
Lanes,75,,,1,,,,
Name,75,,,,,,,
Distance,75,,,152,,,,
Speed,75,,,30,,,,
Time,75,,,3.5,,,,
Grade,75,,,0,,,,
Median,75,,,12,,,,
Offset,75,,,0,,,,
TWLTL,75,,,0,,,,
Crosswalk Width,75,,,16,,,,
Mandatory Distance,75,,,200,,,,
Mandatory Distance2,75,,,1320,,,,
Positioning Distance,75,,,880,,,,
Positioning Distance2,75,,,1760,,,,
Curve Pt X,75,,,,,,,
Curve Pt Y,75,,,,,,,
Curve Pt Z,75,,,,,,,
Link Is Hidden,75,,,false,,,,
Street Name Is Hidden,75,,,false,,,,
Up ID,102,3775,103,211,251,,,
Lanes,102,4,4,4,0,,,
Name,102,67th Ave.,67th Ave.,101 East,101 East,,,
Distance,102,1330,420,732,943,,,
Speed,102,40,40,45,45,,,
Time,102,22.7,7.2,11.1,14.3,,,
Grade,102,0,0,0,0,,,
Median,102,24,24,12,12,,,
Offset,102,0,0,0,0,,,
TWLTL,102,0,0,0,0,,,
Crosswalk Width,102,16,16,16,16,,,
Mandatory Distance,102,500,500,500,500,,,
Mandatory Distance2,102,1761,1761,1980,1980,,,
Positioning Distance,102,1174,1174,1320,1320,,,
Positioning Distance2,102,2348,2348,2640,2640,,,
Curve Pt X,102,,,,,,,
Curve Pt Y,102,,,,,,,
Curve Pt Z,102,,,,,,,
Link Is Hidden,102,false,false,false,false,,,
Street Name Is Hidden,102,false,false,false,false,,,
Up ID,103,102,277,215,216,,,
Lanes,103,3,5,0,4,,,
Name,103,67th Ave.,67th Ave.,101 West,101 West,,,
Distance,103,420,392,578,1007,,,
Speed,103,40,40,40,40,,,
Time,103,7.2,6.7,9.9,17.2,,,
Grade,103,0,0,0,0,,,
Median,103,12,12,12,12,,,
Offset,103,0,0,0,0,,,
TWLTL,103,0,0,0,0,,,
Crosswalk Width,103,16,16,16,16,,,
Mandatory Distance,103,500,500,500,500,,,
Mandatory Distance2,103,1761,1761,1761,1761,,,
Positioning Distance,103,1174,1174,1174,1174,,,
Positioning Distance2,103,2348,2348,2348,2348,,,
Curve Pt X,103,,,,,,,
Curve Pt Y,103,,,,,,,
Curve Pt Z,103,,,,,,,
Link Is Hidden,103,false,false,false,false,,,
Street Name Is Hidden,103,false,false,false,false,,,
Up ID,118,383,3725,,,,,
Lanes,118,1,1,,,,,
Name,118,64th Dr,Sack Dr,,,,,
Distance,118,471,1356,,,,,
Speed,118,30,30,,,,,
Time,118,10.7,30.8,,,,,
Grade,118,0,0,,,,,
Median,118,12,12,,,,,
Offset,118,0,0,,,,,
TWLTL,118,0,0,,,,,
Crosswalk Width,118,16,16,,,,,
Mandatory Distance,118,100,100,,,,,
Mandatory Distance2,118,1320,1320,,,,,
Positioning Distance,118,880,880,,,,,
Positioning Distance2,118,1760,1760,,,,,
Curve Pt X,118,,11558,,,,,
Curve Pt Y,118,,14706,,,,,
Curve Pt Z,118,,0,,,,,
Link Is Hidden,118,false,false,,,,,
Street Name Is Hidden,118,false,false,,,,,
Up ID,179,,,,,,203,
Lanes,179,,,,,,1,
Name,179,,,,,,Arrowhead Loop Rd,
Distance,179,,,,,,1332,
Speed,179,,,,,,30,
Time,179,,,,,,30.3,
Grade,179,,,,,,0,
Median,179,,,,,,0,
Offset,179,,,,,,0,
TWLTL,179,,,,,,0,
Crosswalk Width,179,,,,,,16,
Mandatory Distance,179,,,,,,200,
Mandatory Distance2,179,,,,,,1320,
Positioning Distance,179,,,,,,880,
Positioning Distance2,179,,,,,,1760,
Curve Pt X,179,,,,,,14377,
Curve Pt Y,179,,,,,,23686,
Curve Pt Z,179,,,,,,0,
Link Is Hidden,179,,,,,,false,
Street Name Is Hidden,179,,,,,,false,
Up ID,186,,,204,,,,
Lanes,186,,,1,,,,
Name,186,,,Deer Valley Rd,,,,
Distance,186,,,1773,,,,
Speed,186,,,30,,,,
Time,186,,,40.3,,,,
Grade,186,,,0,,,,
Median,186,,,0,,,,
Offset,186,,,0,,,,
TWLTL,186,,,0,,,,
Crosswalk Width,186,,,16,,,,
Mandatory Distance,186,,,200,,,,
Mandatory Distance2,186,,,1320,,,,
Positioning Distance,186,,,880,,,,
Positioning Distance2,186,,,1760,,,,
Curve Pt X,186,,,,,,,
Curve Pt Y,186,,,,,,,
Curve Pt Z,186,,,,,,,
Link Is Hidden,186,,,false,,,,
Street Name Is Hidden,186,,,false,,,,
Up ID,202,,,,3725,,,
Lanes,202,,,,1,,,
Name,202,,,,Sack Dr,,,
Distance,202,,,,621,,,
Speed,202,,,,30,,,
Time,202,,,,14.1,,,
Grade,202,,,,0,,,
Median,202,,,,12,,,
Offset,202,,,,0,,,
TWLTL,202,,,,0,,,
Crosswalk Width,202,,,,16,,,
Mandatory Distance,202,,,,200,,,
Mandatory Distance2,202,,,,1320,,,
Positioning Distance,202,,,,880,,,
Positioning Distance2,202,,,,1760,,,
Curve Pt X,202,,,,,,,
Curve Pt Y,202,,,,,,,
Curve Pt Z,202,,,,,,,
Link Is Hidden,202,,,,false,,,
Street Name Is Hidden,202,,,,false,,,
Up ID,203,,179,,,375,,
Lanes,203,,1,,,1,,
Name,203,,Arrowhead Loop Rd,,,,,
Distance,203,,1332,,,2149,,
Speed,203,,30,,,30,,
Time,203,,30.3,,,48.8,,
Grade,203,,0,,,0,,
Median,203,,0,,,0,,
Offset,203,,0,,,0,,
TWLTL,203,,0,,,0,,
Crosswalk Width,203,,16,,,16,,
Mandatory Distance,203,,100,,,100,,
Mandatory Distance2,203,,1320,,,1320,,
Positioning Distance,203,,880,,,880,,
Positioning Distance2,203,,1760,,,1760,,
Curve Pt X,203,,14576,,,13567,,
Curve Pt Y,203,,23382,,,21851,,
Curve Pt Z,203,,0,,,0,,
Link Is Hidden,203,,false,,,false,,
Street Name Is Hidden,203,,false,,,false,,
Up ID,204,,,222,186,,,
