[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/19/2018
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-3975,1616,0,,,,,,
2,0,-2660,1620,0,,,,,,
3,0,-15,1608,0,,,,,,
4,0,705,1603,0,,,,,,
5,0,1320,1586,0,,,,,,
6,0,18,-997,0,,,,,,
7,0,835,-1,0,,,,,,
8,0,735,-989,0,,,,,,
9,0,1410,97,0,,,,,,
10,0,1475,-989,0,,,,,,
11,0,-27,-144,0,,,,,,
36,1,120,-146,0,,,,,,
901,1,-5250,1621,0,,,,,,
902,1,-3970,4166,0,,,,,,
903,1,-2680,4172,0,,,,,,
904,1,-70,4159,0,,,,,,
905,1,727,4159,0,,,,,,
906,1,1311,4159,0,,,,,,
907,1,2656,1571,0,,,,,,
908,1,-3955,324,0,,,,,,
909,1,-2632,-932,0,,,,,,
910,1,-2609,-999,0,,,,,,
911,1,-1254,62,0,,,,,,
912,1,-1654,-107,0,,,,,,
913,1,575,90,0,,,,,,
914,1,750,-182,0,,,,,,
915,1,2397,-1024,0,,,,,,
916,1,5,-3521,0,,,,,,
917,1,761,-2400,0,,,,,,
918,1,1507,-2432,0,,,,,,
919,2,-289,33,0,,,,,,
920,2,-331,-359,0,,,,,,
921,2,236,17,0,,,,,,
922,2,292,-293,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,SW
Up ID,1,908,902,901,2,,
Lanes,1,2,2,3,4,,
Name,1,17th Avenue,17th Avenue,McDowell Road,McDowell Road,,
Distance,1,1292,2550,1275,1315,,
Speed,1,25,25,35,35,,
Time,1,35.2,69.5,24.8,25.6,,
Grade,1,0,0,0,0,,
Median,1,0,0,12,12,,
Offset,1,12,0,0,0,,
TWLTL,1,0,0,0,1,,
Crosswalk Width,1,16,16,16,16,,
Mandatory Distance,1,500,500,500,500,,
Mandatory Distance2,1,1101,1101,1539,1539,,
Positioning Distance,1,734,734,1026,1026,,
Positioning Distance2,1,1468,1468,2052,2052,,
Curve Pt X,1,,,,,,
Curve Pt Y,1,,,,,,
Curve Pt Z,1,,,,,,
Link Is Hidden,1,false,false,false,false,,
Street Name Is Hidden,1,false,false,false,false,,
Up ID,2,909,903,1,3,,
Lanes,2,3,3,3,4,,
Name,2,15th Avenue,15th Avenue,McDowell Road,McDowell Road,,
Distance,2,2552,2552,1315,2645,,
Speed,2,35,35,35,35,,
Time,2,49.7,49.7,25.6,51.5,,
Grade,2,0,0,0,0,,
Median,2,12,12,12,12,,
Offset,2,0,0,0,0,,
TWLTL,2,1,0,1,1,,
Crosswalk Width,2,16,16,16,16,,
Mandatory Distance,2,500,500,500,500,,
Mandatory Distance2,2,1539,1539,1539,1539,,
Positioning Distance,2,1026,1026,1026,1026,,
Positioning Distance2,2,2052,2052,2052,2052,,
Curve Pt X,2,,,,,,
Curve Pt Y,2,,,,,,
Curve Pt Z,2,,,,,,
Link Is Hidden,2,false,false,false,false,,
Street Name Is Hidden,2,false,false,false,false,,
Up ID,3,11,904,2,4,,
Lanes,3,4,4,3,4,,
Name,3,7th Avenue,7th Avenue,McDowell Road,McDowell Road,,
Distance,3,1752,2552,2645,720,,
Speed,3,35,35,35,35,,
Time,3,34.1,49.7,51.5,14.0,,
Grade,3,0,0,0,0,,
Median,3,*12,*12,12,12,,
Offset,3,0,0,0,0,,
TWLTL,3,0,1,1,1,,
Crosswalk Width,3,16,16,16,16,,
Mandatory Distance,3,500,500,500,500,,
Mandatory Distance2,3,1539,1539,1539,1539,,
Positioning Distance,3,1026,1026,1026,1026,,
Positioning Distance2,3,2052,2052,2052,2052,,
Curve Pt X,3,,,,,,
Curve Pt Y,3,,,,,,
Curve Pt Z,3,,,,,,
Link Is Hidden,3,false,false,false,false,,
Street Name Is Hidden,3,false,false,false,false,,
Up ID,4,7,905,3,5,,
Lanes,4,0,3,2,4,,
Name,4,5th Avenue,5th Avenue,McDowell Road,McDowell Road,,
Distance,4,1609,2556,720,615,,
Speed,4,30,25,35,35,,
Time,4,36.6,69.7,14.0,12.0,,
Grade,4,0,0,0,0,,
Median,4,12,12,12,12,,
Offset,4,0,0,0,0,,
TWLTL,4,0,0,1,1,,
Crosswalk Width,4,16,16,16,16,,
Mandatory Distance,4,500,500,500,500,,
Mandatory Distance2,4,1320,1101,1539,1539,,
Positioning Distance,4,880,734,1026,1026,,
Positioning Distance2,4,1760,1468,2052,2052,,
Curve Pt X,4,,,,,,
Curve Pt Y,4,,,,,,
Curve Pt Z,4,,,,,,
Link Is Hidden,4,false,false,false,false,,
Street Name Is Hidden,4,false,false,false,false,,
Up ID,5,9,906,4,907,,
Lanes,5,3,0,3,3,,
Name,5,3rd Avenue,3rd Avenue,McDowell Road,McDowell Road,,
Distance,5,1492,2573,615,1336,,
Speed,5,30,30,35,35,,
Time,5,33.9,58.5,12.0,26.0,,
Grade,5,0,0,0,0,,
Median,5,0,0,12,12,,
Offset,5,0,0,0,0,,
TWLTL,5,0,0,1,1,,
Crosswalk Width,5,16,16,16,16,,
Mandatory Distance,5,500,500,500,500,,
Mandatory Distance2,5,1320,1320,1539,1539,,
Positioning Distance,5,880,880,1026,1026,,
Positioning Distance2,5,1760,1760,2052,2052,,
Curve Pt X,5,,,,,,
Curve Pt Y,5,,,,,,
Curve Pt Z,5,,,,,,
Link Is Hidden,5,false,false,false,false,,
Street Name Is Hidden,5,false,false,false,false,,
Up ID,6,916,11,910,8,,
Lanes,6,4,3,3,3,,
Name,6,7th Avenue,7th Avenue,Roosevelt Street,Roosevelt Street,,
Distance,6,2524,854,2627,717,,
Speed,6,35,35,30,30,,
Time,6,49.2,16.6,59.7,16.3,,
Grade,6,0,0,0,0,,
Median,6,*12,*12,12,12,,
Offset,6,-6,0,0,0,,
TWLTL,6,1,0,0,1,,
Crosswalk Width,6,16,16,16,16,,
