[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/03/2016
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-2456,151,0,,,,,,
2,1,-1023,511,0,,,,,,
3,1,-1146,-875,0,,,,,,
4,1,2805,-744,0,,,,,,
5,1,2809,351,0,,,,,,
6,3,969,-124,0,,,,,,
7,1,4450,199,0,,,,,,
8,1,4446,-335,0,,,,,,
9,1,-535,-544,0,,,,,,
10,1,-2462,-785,0,,,,,,
11,0,-5105,-140,0,,,,,,
12,0,-3602,-124,0,,,,,,
13,0,-2455,-124,0,,,,,,
14,0,-1132,-117,0,,,,,,
15,0,45,-121,0,,,,,,
16,0,1505,-125,0,,,,,,
17,0,2809,-123,0,,,,,,
18,0,4446,-116,0,,,,,,
19,0,5440,-115,0,,,,,,
20,1,-3609,-388,0,,,,,,
21,1,970,235,0,,,,,,
22,1,968,-479,0,,,,,,
23,1,-522,137,0,,,,,,
24,2,-5484,-144,0,,,,,,
101,1,-7205,-144,0,,,,,,
102,1,-5099,1187,0,,,,,,
103,1,-1208,1488,0,,,,,,
104,1,275,453,0,,,,,,
105,1,1588,534,0,,,,,,
106,1,5440,1186,0,,,,,,
107,1,6730,-130,0,,,,,,
108,1,5425,-1394,0,,,,,,
109,1,1520,-508,0,,,,,,
110,1,1092,-1768,0,,,,,,
111,1,-254,-727,0,,,,,,
112,1,-5100,-1988,0,,,,,,
2001,3,-530,-120,0,,,,,,
2002,2,1872,-130,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NW,SE
Up ID,1,13,,,,,
Lanes,1,1,,,,,
Name,1,31st Ave,,,,,
Distance,1,275,,,,,
Speed,1,25,,,,,
Time,1,7.5,,,,,
Grade,1,0,,,,,
Median,1,0,,,,,
Offset,1,0,,,,,
TWLTL,1,0,,,,,
Crosswalk Width,1,16,,,,,
Mandatory Distance,1,200,,,,,
Mandatory Distance2,1,1101,,,,,
Positioning Distance,1,734,,,,,
Positioning Distance2,1,1468,,,,,
Curve Pt X,1,,,,,,
Curve Pt Y,1,,,,,,
Curve Pt Z,1,,,,,,
Link Is Hidden,1,false,,,,,
Street Name Is Hidden,1,false,,,,,
Up ID,2,14,,,,,
Lanes,2,2,,,,,
Name,2,29th Ave,,,,,
Distance,2,639,,,,,
Speed,2,35,,,,,
Time,2,12.4,,,,,
Grade,2,0,,,,,
Median,2,24,,,,,
Offset,2,0,,,,,
TWLTL,2,0,,,,,
Crosswalk Width,2,16,,,,,
Mandatory Distance,2,200,,,,,
Mandatory Distance2,2,1539,,,,,
Positioning Distance,2,1026,,,,,
Positioning Distance2,2,2052,,,,,
Curve Pt X,2,-1011,,,,,
Curve Pt Y,2,293,,,,,
Curve Pt Z,2,0,,,,,
Link Is Hidden,2,false,,,,,
Street Name Is Hidden,2,false,,,,,
Up ID,3,,14,,,,
Lanes,3,,1,,,,
Name,3,,29th Ave,,,,
Distance,3,,758,,,,
Speed,3,,25,,,,
Time,3,,20.7,,,,
Grade,3,,0,,,,
Median,3,,0,,,,
Offset,3,,0,,,,
TWLTL,3,,0,,,,
Crosswalk Width,3,,16,,,,
Mandatory Distance,3,,200,,,,
Mandatory Distance2,3,,1101,,,,
Positioning Distance,3,,734,,,,
Positioning Distance2,3,,1468,,,,
Curve Pt X,3,,,,,,
Curve Pt Y,3,,,,,,
Curve Pt Z,3,,,,,,
Link Is Hidden,3,,false,,,,
Street Name Is Hidden,3,,false,,,,
Up ID,4,,17,,,,
Lanes,4,,1,,,,
Name,4,,23rd Ave,,,,
Distance,4,,621,,,,
Speed,4,,30,,,,
