[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,09/15/2020
ScenarioTime,8:07 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-387623,38563,0,,,,,,
36,1,-382653,36132,0,,,,,,
39,0,-386179,39732,0,,,,,,
42,2,-386692,39306,0,,,,,,
43,0,-387168,40667,0,,,,,,
44,0,-389097,42523,0,,,,,,
45,1,-387584,40147,0,,,,,,
51,1,-389323,42211,0,,,,,,
52,1,-389708,43054,0,,,,,,
53,1,-388740,43007,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,,,,,,,,42
Lanes,1,,,,,,,,*1
Name,1,,,,,,,,
Distance,1,,,,,,,,1191
Speed,1,,,,,,,,30
Time,1,,,,,,,,27.1
Grade,1,,,,,,,,0
Median,1,,,,,,,,0
Offset,1,,,,,,,,0
TWLTL,1,,,,,,,,0
Crosswalk Width,1,,,,,,,,16
Mandatory Distance,1,,,,,,,,200
Mandatory Distance2,1,,,,,,,,1320
Positioning Distance,1,,,,,,,,880
Positioning Distance2,1,,,,,,,,1760
Curve Pt X,1,,,,,,,,
Curve Pt Y,1,,,,,,,,
Curve Pt Z,1,,,,,,,,
Link Is Hidden,1,,,,,,,,false
Street Name Is Hidden,1,,,,,,,,false
Up ID,36,,,,,,,39,
Lanes,36,,,,,,,3,
Name,36,,,,,,,Grand Ave,
Distance,36,,,,,,,5039,
Speed,36,,,,,,,55,
Time,36,,,,,,,62.5,
Grade,36,,,,,,,0,
Median,36,,,,,,,24,
Offset,36,,,,,,,0,
TWLTL,36,,,,,,,0,
Crosswalk Width,36,,,,,,,16,
Mandatory Distance,36,,,,,,,200,
Mandatory Distance2,36,,,,,,,2421,
Positioning Distance,36,,,,,,,1614,
Positioning Distance2,36,,,,,,,3228,
Curve Pt X,36,,,,,,,,
Curve Pt Y,36,,,,,,,,
Curve Pt Z,36,,,,,,,,
Link Is Hidden,36,,,,,,,false,
Street Name Is Hidden,36,,,,,,,false,
Up ID,39,,,,,42,36,43,
Lanes,39,,,,,3,5,4,
Name,39,,,,,303 NB Ramps,Grand Ave,Grand Ave,
Distance,39,,,,,*750,5039,1361,
Speed,39,,,,,45,55,55,
Time,39,,,,,11.4,62.5,16.9,
Grade,39,,,,,0,0,0,
Median,39,,,,,24,24,24,
Offset,39,,,,,0,0,0,
TWLTL,39,,,,,0,0,0,
Crosswalk Width,39,,,,,16,16,16,
Mandatory Distance,39,,,,,583,583,583,
Mandatory Distance2,39,,,,,1980,2421,2421,
Positioning Distance,39,,,,,1320,1614,1614,
Positioning Distance2,39,,,,,2640,3228,3228,
Curve Pt X,39,,,,,,,,
Curve Pt Y,39,,,,,,,,
Curve Pt Z,39,,,,,,,,
Link Is Hidden,39,,,,,false,false,false,
Street Name Is Hidden,39,,,,,false,false,false,
Up ID,42,,,,,1,,,39
Lanes,42,,,,,*1,,,2
Name,42,,,,,,,,303 NB Ramps
Distance,42,,,,,1191,,,667
Speed,42,,,,,30,,,30
Time,42,,,,,27.1,,,15.2
Grade,42,,,,,0,,,0
Median,42,,,,,0,,,0
Offset,42,,,,,0,,,0
TWLTL,42,,,,,0,,,0
Crosswalk Width,42,,,,,16,,,16
Mandatory Distance,42,,,,,100,,,100
Mandatory Distance2,42,,,,,1320,,,1320
Positioning Distance,42,,,,,880,,,880
Positioning Distance2,42,,,,,1760,,,1760
Curve Pt X,42,,,,,,,,
Curve Pt Y,42,,,,,,,,
Curve Pt Z,42,,,,,,,,
Link Is Hidden,42,,,,,false,,,false
Street Name Is Hidden,42,,,,,false,,,false
Up ID,43,,,,,45,39,44,
Lanes,43,,,,,3,5,4,
Name,43,,,,,303 SB Ramps,Grand Ave,Grand Ave,
Distance,43,,,,,666,1361,2677,
Speed,43,,,,,45,55,55,
Time,43,,,,,10.1,16.9,33.2,
Grade,43,,,,,0,0,0,
Median,43,,,,,24,24,24,
Offset,43,,,,,0,0,0,
TWLTL,43,,,,,0,0,0,
Crosswalk Width,43,,,,,16,16,16,
Mandatory Distance,43,,,,,583,583,583,
Mandatory Distance2,43,,,,,1980,2421,2421,
Positioning Distance,43,,,,,1320,1614,1614,
Positioning Distance2,43,,,,,2640,3228,3228,
Curve Pt X,43,,,,,,,,
Curve Pt Y,43,,,,,,,,
Curve Pt Z,43,,,,,,,,
Link Is Hidden,43,,,,,false,false,false,
Street Name Is Hidden,43,,,,,false,false,false,
Up ID,44,,,,,51,43,52,53
Lanes,44,,,,,2,5,3,4
Name,44,,,,,163rd Ave,Grand Ave,Grand Ave,163rd Ave
Distance,44,,,,,385,2677,809,601
Speed,44,,,,,30,55,55,45
Time,44,,,,,8.8,33.2,10.0,9.1
Grade,44,,,,,0,0,0,0
Median,44,,,,,24,12,12,24
Offset,44,,,,,0,0,0,0
TWLTL,44,,,,,0,0,0,0
