[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,28.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,06/29/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,8911,11436,0,,,,,,
2,1,10931,11423,0,,,,,,
3,0,9988,11424,0,,,,,,
4,1,9996,10613,0,,,,,,
5,1,9992,12244,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB
Up ID,1,,,,3
Lanes,1,,,,2
Name,1,,,,
Distance,1,,,,1077
Speed,1,,,,30
Time,1,,,,24.5
Grade,1,,,,0
Median,1,,,,24
Offset,1,,,,0
TWLTL,1,,,,0
Crosswalk Width,1,,,,16
Mandatory Distance,1,,,,200
Mandatory Distance2,1,,,,1320
Positioning Distance,1,,,,880
Positioning Distance2,1,,,,1760
Curve Pt X,1,,,,
Curve Pt Y,1,,,,
Curve Pt Z,1,,,,
Link Is Hidden,1,,,,false
Street Name Is Hidden,1,,,,false
Up ID,2,,,3,
Lanes,2,,,2,
Name,2,,,,
Distance,2,,,943,
Speed,2,,,30,
Time,2,,,21.4,
Grade,2,,,0,
Median,2,,,24,
Offset,2,,,0,
TWLTL,2,,,0,
Crosswalk Width,2,,,16,
Mandatory Distance,2,,,200,
Mandatory Distance2,2,,,1320,
Positioning Distance,2,,,880,
Positioning Distance2,2,,,1760,
Curve Pt X,2,,,,
Curve Pt Y,2,,,,
Curve Pt Z,2,,,,
Link Is Hidden,2,,,false,
Street Name Is Hidden,2,,,false,
Up ID,3,4,5,1,2
Lanes,3,4,5,5,6
Name,3,,,,
Distance,3,811,820,1077,943
Speed,3,30,30,30,30
