[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,11
DefFlow,2000
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,09/30/2020

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,527156,80220,0,,,,,,
2,0,527101,79370,0,,,,,,
3,0,527077,78653,0,,,,,,
4,0,527068,77996,0,,,,,,
5,0,527046,75298,0,,,,,,
6,0,529798,80272,0,,,,,,
7,0,529804,75298,0,,,,,,
8,0,532453,80336,0,,,,,,
9,0,532436,79474,0,,,,,,
10,0,532424,78979,0,,,,,,
11,0,532390,77820,0,,,,,,
12,0,532256,75288,0,,,,,,
13,0,535053,80391,0,,,,,,
14,0,534950,75263,0,,,,,,
15,0,537648,80416,0,,,,,,
16,0,537640,79533,0,,,,,,
17,0,537646,79031,0,,,,,,
18,0,537654,78327,0,,,,,,
19,0,537660,77830,0,,,,,,
20,0,537616,75238,0,,,,,,
21,0,540158,80441,0,,,,,,
22,0,540164,75218,0,,,,,,
23,0,542773,80461,0,,,,,,
24,0,542794,79580,0,,,,,,
25,0,542790,79113,0,,,,,,
26,0,542760,77830,0,,,,,,
27,0,543429,77830,0,,,,,,
28,0,542726,75198,0,,,,,,
29,0,543194,75181,0,,,,,,
30,0,545428,80466,0,,,,,,
31,0,548033,80461,0,,,,,,
32,0,548020,79622,0,,,,,,
33,0,548026,79098,0,,,,,,
34,0,548050,77780,0,,,,,,
35,0,548026,75098,0,,,,,,
36,0,553273,79196,0,,,,,,
37,0,553265,78752,0,,,,,,
38,0,558526,79553,0,,,,,,
39,0,558532,79116,0,,,,,,
40,0,563772,79224,0,,,,,,
41,0,563760,78740,0,,,,,,
47,1,550772,80464,0,,,,,,
69,1,558529,77810,0,,,,,,
70,1,545428,79856,0,,,,,,
74,1,540153,81698,0,,,,,,
77,1,531149,79229,0,,,,,,
80,1,538186,78327,0,,,,,,
89,1,543198,74156,0,,,,,,
90,2,537663,81746,0,,,,,,
93,1,527815,77996,0,,,,,,
95,1,529807,74328,0,,,,,,
96,1,535053,81326,0,,,,,,
97,1,535053,80016,0,,,,,,
98,1,532421,81602,0,,,,,,
99,2,542300,77830,0,,,,,,
100,1,549031,75120,0,,,,,,
105,2,527186,81525,0,,,,,,
109,2,533048,80345,0,,,,,,
115,1,562110,79102,0,,,,,,
117,1,561944,78916,0,,,,,,
171,1,541890,77830,0,,,,,,
173,1,533753,79174,0,,,,,,
188,2,542760,74440,0,,,,,,
202,1,545430,80970,0,,,,,,
221,1,536512,79285,0,,,,,,
223,1,526086,78000,0,,,,,,
238,1,524693,75066,0,,,,,,
249,1,531116,79318,0,,,,,,
263,1,540157,75730,0,,,,,,
264,1,540171,74731,0,,,,,,
272,1,529798,79423,0,,,,,,
318,1,534953,75792,0,,,,,,
319,1,540158,79838,0,,,,,,
338,1,563730,77810,0,,,,,,
359,1,533271,77820,0,,,,,,
360,1,527063,73596,0,,,,,,
365,1,531515,77820,0,,,,,,
367,1,525319,78842,0,,,,,,
370,1,538538,77816,0,,,,,,
371,1,536770,77824,0,,,,,,
372,1,534940,74548,0,,,,,,
373,1,521933,80127,0,,,,,,
378,1,548100,70830,0,,,,,,
381,1,549187,77780,0,,,,,,
382,1,547297,77780,0,,,,,,
383,1,553280,77780,0,,,,,,
403,1,529824,80879,0,,,,,,
405,1,529805,76233,0,,,,,,
447,1,553286,80462,0,,,,,,
456,1,558534,80460,0,,,,,,
465,1,563793,80465,0,,,,,,
530,2,529597,75300,0,,,,,,
531,2,533617,75275,0,,,,,,
535,2,544784,75143,0,,,,,,
562,2,530478,75288,0,,,,,,
563,2,531690,75304,0,,,,,,
