[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,09/15/2020
ScenarioTime,8:07 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-346735,9736,0,,,,,,
2,1,-346040,9485,0,,,,,,
3,1,-346548,10284,0,,,,,,
4,1,-349537,11077,0,,,,,,
5,1,-346875,9229,0,,,,,,
6,1,-349536,10137,0,,,,,,
7,0,-352164,11632,0,,,,,,
8,1,-352126,12298,0,,,,,,
9,0,-349536,10712,0,,,,,,
10,1,-352168,11120,0,,,,,,
11,0,-354820,12579,0,,,,,,
12,1,-354803,13112,0,,,,,,
13,0,-359474,14519,0,,,,,,
14,1,-354829,12178,0,,,,,,
15,1,-359018,15029,0,,,,,,
16,1,-359844,14129,0,,,,,,
17,0,-364569,19315,0,,,,,,
18,2,-358758,13959,0,,,,,,
19,1,-365564,19284,0,,,,,,
20,1,-364372,19525,0,,,,,,
21,0,-367990,22570,0,,,,,,
22,1,-367977,21947,0,,,,,,
23,1,-367983,23022,0,,,,,,
24,1,-369718,23751,0,,,,,,
25,0,-355790,12919,0,,,,,,
26,0,-371878,26176,0,,,,,,
27,0,-372795,27041,0,,,,,,
28,0,-369529,23950,0,,,,,,
29,1,-372075,25952,0,,,,,,
30,1,-372992,26868,0,,,,,,
31,0,-374573,28731,0,,,,,,
32,1,-374879,28393,0,,,,,,
33,0,-376465,30526,0,,,,,,
34,0,-377510,31517,0,,,,,,
35,1,-376715,30247,0,,,,,,
36,0,-382653,36132,0,,,,,,
37,1,-377744,31240,0,,,,,,
38,1,-377097,31938,0,,,,,,
39,0,-386179,39732,0,,,,,,
40,1,-383109,35683,0,,,,,,
41,1,-382396,36409,0,,,,,,
42,1,-386625,39316,0,,,,,,
43,0,-387168,40667,0,,,,,,
44,0,-389097,42523,0,,,,,,
45,1,-387584,40147,0,,,,,,
46,0,-368664,23175,0,,,,,,
47,1,-368839,22961,0,,,,,,
48,1,-355810,12263,0,,,,,,
49,0,-361610,16530,0,,,,,,
50,1,-361808,16306,0,,,,,,
51,1,-389323,42211,0,,,,,,
52,1,-389708,43054,0,,,,,,
53,1,-388740,43007,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,5,3,9,2,,,,
Lanes,1,4,4,4,4,,,,
Name,1,99th Ave,99th Ave,Grand Ave,Grand Ave,,,,
Distance,1,526,579,2966,739,,,,
Speed,1,40,40,45,45,,,,
Time,1,9.0,9.9,44.9,11.2,,,,
Grade,1,0,0,0,0,,,,
Median,1,12,12,12,12,,,,
Offset,1,0,0,0,0,,,,
TWLTL,1,0,0,0,0,,,,
Crosswalk Width,1,16,16,16,16,,,,
Mandatory Distance,1,583,583,583,583,,,,
Mandatory Distance2,1,1761,1761,1980,1980,,,,
Positioning Distance,1,1174,1174,1320,1320,,,,
Positioning Distance2,1,2348,2348,2640,2640,,,,
Curve Pt X,1,-346781,,,,,,,
Curve Pt Y,1,9567,,,,,,,
Curve Pt Z,1,0,,,,,,,
Link Is Hidden,1,false,false,false,false,,,,
Street Name Is Hidden,1,false,false,false,false,,,,
Up ID,2,,,1,,,,,
Lanes,2,,,3,,,,,
Name,2,,,Grand Ave,,,,,
Distance,2,,,739,,,,,
Speed,2,,,30,,,,,
Time,2,,,16.8,,,,,
Grade,2,,,0,,,,,
Median,2,,,12,,,,,
Offset,2,,,0,,,,,
TWLTL,2,,,0,,,,,
Crosswalk Width,2,,,16,,,,,
Mandatory Distance,2,,,200,,,,,
Mandatory Distance2,2,,,1320,,,,,
Positioning Distance,2,,,880,,,,,
Positioning Distance2,2,,,1760,,,,,
Curve Pt X,2,,,,,,,,
Curve Pt Y,2,,,,,,,,
Curve Pt Z,2,,,,,,,,
Link Is Hidden,2,,,false,,,,,
Street Name Is Hidden,2,,,false,,,,,
Up ID,3,1,,,,,,,
Lanes,3,2,,,,,,,
Name,3,99th Ave,,,,,,,
Distance,3,579,,,,,,,
Speed,3,30,,,,,,,
Time,3,13.2,,,,,,,
Grade,3,0,,,,,,,
Median,3,12,,,,,,,
Offset,3,0,,,,,,,
TWLTL,3,0,,,,,,,
Crosswalk Width,3,16,,,,,,,
Mandatory Distance,3,200,,,,,,,
Mandatory Distance2,3,1320,,,,,,,
Positioning Distance,3,880,,,,,,,
Positioning Distance2,3,1760,,,,,,,
Curve Pt X,3,,,,,,,,
Curve Pt Y,3,,,,,,,,
Curve Pt Z,3,,,,,,,,
Link Is Hidden,3,false,,,,,,,
Street Name Is Hidden,3,false,,,,,,,
Up ID,4,9,,,,,,,
Lanes,4,1,,,,,,,
Name,4,103rd Ave,,,,,,,
Distance,4,365,,,,,,,
Speed,4,25,,,,,,,
Time,4,10.0,,,,,,,
Grade,4,0,,,,,,,
Median,4,12,,,,,,,
Offset,4,0,,,,,,,
TWLTL,4,1,,,,,,,
Crosswalk Width,4,16,,,,,,,
Mandatory Distance,4,200,,,,,,,
