[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,03/28/2016

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-1544,-368,0,,,,,,
2,3,11146,-2279,0,,,,,,
3,1,14398,-3558,0,,,,,,
4,0,486,-355,0,,,,,,
5,1,474,4198,0,,,,,,
6,1,502,-6778,0,,,,,,
7,0,3157,-357,0,,,,,,
8,1,3089,5033,0,,,,,,
9,1,3229,-5999,0,,,,,,
10,0,5850,-370,0,,,,,,
11,1,5778,4483,0,,,,,,
12,1,5865,-6188,0,,,,,,
13,0,7641,-354,0,,,,,,
14,1,7947,570,0,,,,,,
15,1,7275,-1746,0,,,,,,
16,0,9774,-399,0,,,,,,
17,1,9704,3353,0,,,,,,
18,0,10404,-922,0,,,,,,
19,1,12646,-521,0,,,,,,
20,0,12263,-2846,0,,,,,,
21,1,11169,-4823,0,,,,,,
22,0,5801,3004,0,,,,,,
23,1,4870,3648,0,,,,,,
24,1,7278,2367,0,,,,,,
25,0,5857,-5660,0,,,,,,
26,1,3975,-5670,0,,,,,,
27,1,6663,-5656,0,,,,,,
28,1,7411,554,0,,,,,,
29,1,7951,-1554,0,,,,,,
30,2,8493,-344,0,,,,,,
33,1,9740,-590,0,,,,,,
35,3,12917,-3087,0,,,,,,
36,3,11832,-2582,0,,,,,,
37,3,11515,-2465,0,,,,,,
38,1,11068,-3413,0,,,,,,
39,2,7159,-358,0,,,,,,
42,2,5346,-368,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,,,,4,,,,
Lanes,1,,,,2,,,,
Name,1,,,,Glendale Ave,,,,
Distance,1,,,,2030,,,,
Speed,1,,,,30,,,,
Time,1,,,,46.1,,,,
Grade,1,,,,0,,,,
Median,1,,,,12,,,,
Offset,1,,,,0,,,,
TWLTL,1,,,,1,,,,
Crosswalk Width,1,,,,16,,,,
Mandatory Distance,1,,,,200,,,,
Mandatory Distance2,1,,,,1320,,,,
Positioning Distance,1,,,,880,,,,
Positioning Distance2,1,,,,1760,,,,
Curve Pt X,1,,,,,,,,
Curve Pt Y,1,,,,,,,,
Curve Pt Z,1,,,,,,,,
Link Is Hidden,1,,,,false,,,,
Street Name Is Hidden,1,,,,false,,,,
Up ID,2,38,,18,37,,,,
Lanes,2,1,,3,3,,,,
Name,2,,,Lincoln Dr,Lincoln Dr,,,,
Distance,2,1147,,1566,413,,,,
Speed,2,30,,30,30,,,,
Time,2,26.1,,35.6,9.4,,,,
Grade,2,0,,0,0,,,,
Median,2,0,,*12,*12,,,,
Offset,2,0,,0,0,,,,
TWLTL,2,0,,1,0,,,,
Crosswalk Width,2,16,,16,16,,,,
Mandatory Distance,2,200,,200,200,,,,
Mandatory Distance2,2,1320,,1320,1320,,,,
Positioning Distance,2,880,,880,880,,,,
Positioning Distance2,2,1760,,1760,1760,,,,
Curve Pt X,2,10992,,10704,,,,,
Curve Pt Y,2,-2529,,-1937,,,,,
Curve Pt Z,2,0,,0,,,,,
Link Is Hidden,2,false,,false,false,,,,
Street Name Is Hidden,2,false,,false,false,,,,
Up ID,3,,,35,,,,,
Lanes,3,,,*2,,,,,
Name,3,,,Lincoln Dr East,,,,,
Distance,3,,,1554,,,,,
Speed,3,,,30,,,,,
Time,3,,,35.3,,,,,
Grade,3,,,0,,,,,
Median,3,,,0,,,,,
Offset,3,,,0,,,,,
TWLTL,3,,,0,,,,,
Crosswalk Width,3,,,16,,,,,
Mandatory Distance,3,,,200,,,,,
Mandatory Distance2,3,,,1320,,,,,
