[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.10
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,09/13/2011

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,93545,-61878,0,,,,,,
2,0,89290,-57617,0,,,,,,
3,0,87004,-55281,0,,,,,,
4,0,83193,-51392,0,,,,,,
5,0,82339,-50510,0,,,,,,
6,0,77833,-46274,0,,,,,,
7,0,73946,-42309,0,,,,,,
8,0,72815,-41148,0,,,,,,
9,0,72422,-40744,0,,,,,,
10,0,71413,-39751,0,,,,,,
11,0,67344,-36917,0,,,,,,
12,0,65902,-36444,0,,,,,,
13,0,65607,-36340,0,,,,,,
21,1,96223,-64530,0,,,,,,
38,1,83189,-50450,0,,,,,,
39,1,83195,-52103,0,,,,,,
40,1,82892,-50165,0,,,,,,
41,2,79318,-47411,0,,,,,,
44,1,77233,-46264,0,,,,,,
45,1,78631,-46264,0,,,,,,
46,1,77831,-46939,0,,,,,,
47,1,77831,-45777,0,,,,,,
49,1,73465,-42788,0,,,,,,
50,1,74372,-41858,0,,,,,,
51,1,72462,-41471,0,,,,,,
52,1,73162,-40829,0,,,,,,
54,1,71059,-40110,0,,,,,,
55,1,71873,-41214,0,,,,,,
56,1,72948,-40264,0,,,,,,
57,1,67332,-36151,0,,,,,,
60,1,67327,-38661,0,,,,,,
63,1,65477,-37884,0,,,,,,
64,1,65497,-37870,0,,,,,,
82,1,92220,-61894,0,,,,,,
84,1,94950,-61892,0,,,,,,
88,1,93538,-60992,0,,,,,,
91,1,89506,-56803,0,,,,,,
99,1,86486,-55289,0,,,,,,
102,1,87493,-55287,0,,,,,,
105,1,82437,-51413,0,,,,,,
109,1,84670,-51413,0,,,,,,
114,1,63702,-35674,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,,88,82,84,,21,2,
Lanes,1,,1,4,4,,4,4,
Name,1,,51st Avenue,Bethany Home Road,Bethany Home Road,,Grand Avenue,Grand Avenue,
Distance,1,,886,1325,1405,,3769,6022,
Speed,1,,25,40,40,,45,29,
Time,1,,24.2,22.6,23.9,,57.1,141.6,
Grade,1,,0,0,0,,0,0,
Median,1,,0,12,12,,12,12,
Offset,1,,0,0,0,,0,0,
TWLTL,1,,0,1,1,,0,0,
Crosswalk Width,1,,16,16,16,,16,16,
Mandatory Distance,1,,875,875,875,,875,875,
Mandatory Distance2,1,,1101,1761,1761,,1980,1275,
Positioning Distance,1,,734,1174,1174,,1320,850,
Positioning Distance2,1,,1468,2348,2348,,2640,1700,
Curve Pt X,1,,,,,,,,
Curve Pt Y,1,,,,,,,,
Curve Pt Z,1,,,,,,,,
Link Is Hidden,1,,false,false,false,,false,false,
Street Name Is Hidden,1,,false,false,false,,false,false,
Up ID,2,1,3,,91,,,,
Lanes,2,5,4,,3,,,,
Name,2,Grand Avenue,Grand Avenue,,57th Drive,,,,
Distance,2,6022,3268,,883,,,,
Speed,2,42,33,,25,,,,
Time,2,97.8,67.5,,24.1,,,,
Grade,2,0,0,,0,,,,
Median,2,12,12,,24,,,,
Offset,2,0,0,,0,,,,
TWLTL,2,0,0,,0,,,,
Crosswalk Width,2,16,16,,16,,,,
Mandatory Distance,2,437,437,,437,,,,
Mandatory Distance2,2,1848,1452,,1101,,,,
Positioning Distance,2,1232,968,,734,,,,
Positioning Distance2,2,2464,1936,,1468,,,,
Curve Pt X,2,,,,89437,,,,
Curve Pt Y,2,,,,-57444,,,,
Curve Pt Z,2,,,,0,,,,
Link Is Hidden,2,false,false,,false,,,,
Street Name Is Hidden,2,false,false,,false,,,,
Up ID,3,2,4,99,102,,,,
Lanes,3,5,5,2,3,,,,
Name,3,Grand Avenue,Grand Avenue,Myrtle Avenue,Myrtle Avenue,,,,
Distance,3,3268,5445,518,489,,,,
Speed,3,34,36,25,25,,,,
Time,3,65.5,103.1,14.1,13.3,,,,
Grade,3,0,0,0,0,,,,
Median,3,24,24,12,12,,,,
Offset,3,0,0,0,0,,,,
TWLTL,3,0,0,1,1,,,,
