[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/03/2016
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-1350,-100,0,,,,,,
2,0,47,-90,0,,,,,,
3,0,1255,-86,0,,,,,,
4,0,3860,-70,0,,,,,,
99,2,-700,-95,0,,,,,,
101,1,-3971,-113,0,,,,,,
102,1,-1344,1227,0,,,,,,
103,1,-400,520,0,,,,,,
104,1,277,484,0,,,,,,
105,1,1255,564,0,,,,,,
106,1,3860,1231,0,,,,,,
107,1,5150,-85,0,,,,,,
108,1,3845,-1349,0,,,,,,
109,1,1255,-714,0,,,,,,
110,1,476,-766,0,,,,,,
111,1,-252,-696,0,,,,,,
112,1,-1357,-1950,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NW,SE
Up ID,1,112,102,101,99,,
Lanes,1,4,3,3,4,,
Name,1,27th Ave,27th Ave,Camelback Rd,Camelback Rd,,
Distance,1,1850,1327,2621,650,,
Speed,1,30,30,40,40,,
Time,1,42.0,30.2,44.7,11.1,,
Grade,1,0,0,0,0,,
Median,1,12,12,12,12,,
Offset,1,0,0,0,0,,
TWLTL,1,0,0,0,0,,
Crosswalk Width,1,16,16,16,16,,
Mandatory Distance,1,575,575,575,575,,
Mandatory Distance2,1,1320,1320,1761,1761,,
Positioning Distance,1,880,880,1174,1174,,
Positioning Distance2,1,1760,1760,2348,2348,,
Curve Pt X,1,,,,,,
Curve Pt Y,1,,,,,,
Curve Pt Z,1,,,,,,
Link Is Hidden,1,false,false,false,false,,
Street Name Is Hidden,1,false,false,false,false,,
Up ID,2,111,104,99,3,110,103
Lanes,2,0,0,6,6,6,6
Name,2,I-17 SB Ent,I-17 NB Ent,Camelback Rd,Camelback Rd,I-17 NB Exit,I-17 SB Exit
Distance,2,676,618,747,1208,801,756
Speed,2,30,30,40,35,30,30
Time,2,15.4,14.0,12.7,23.5,18.2,17.2
Grade,2,0,0,0,0,0,0
Median,2,0,0,24,24,24,24
Offset,2,0,0,0,0,0,0
TWLTL,2,0,0,0,0,0,0
Crosswalk Width,2,16,16,16,16,16,16
Mandatory Distance,2,575,575,575,575,575,575
Mandatory Distance2,2,1320,1320,1761,1539,1320,1320
Positioning Distance,2,880,880,*1174,1026,880,880
Positioning Distance2,2,1760,1760,2348,2052,1760,1760
Curve Pt X,2,,,,,,
Curve Pt Y,2,,,,,,
Curve Pt Z,2,,,,,,
Link Is Hidden,2,false,false,false,false,false,false
Street Name Is Hidden,2,false,false,false,false,false,false
Up ID,3,109,105,2,4,,
Lanes,3,2,2,4,4,,
Name,3,23rd Ave,23rd Ave,Camelback Rd,Camelback Rd,,
Distance,3,628,650,1208,2605,,
Speed,3,30,30,35,35,,
Time,3,14.3,14.8,23.5,50.7,,
Grade,3,0,0,0,0,,
Median,3,12,12,24,24,,
Offset,3,0,0,0,0,,
TWLTL,3,0,0,0,0,,
Crosswalk Width,3,16,16,16,16,,
Mandatory Distance,3,575,575,575,575,,
Mandatory Distance2,3,1320,1320,1539,1539,,
Positioning Distance,3,880,880,1026,1026,,
Positioning Distance2,3,1760,1760,2052,2052,,
Curve Pt X,3,,,,,,
Curve Pt Y,3,,,,,,
Curve Pt Z,3,,,,,,
Link Is Hidden,3,false,false,false,false,,
Street Name Is Hidden,3,false,false,false,false,,
Up ID,4,108,106,3,107,,
Lanes,4,6,4,4,4,,
Name,4,19th Ave,19th Ave,Camelback Rd,Camelback Rd,,
Distance,4,1279,1301,2605,1290,,
Speed,4,30,30,35,35,,
Time,4,29.1,29.6,50.7,25.1,,
Grade,4,0,0,0,0,,
Median,4,24,24,12,12,,
Offset,4,0,0,0,0,,
TWLTL,4,0,0,0,0,,
Crosswalk Width,4,16,16,16,16,,
Mandatory Distance,4,575,575,575,575,,
Mandatory Distance2,4,1320,1320,1539,1539,,
Positioning Distance,4,880,880,1026,1026,,
Positioning Distance2,4,1760,1760,2052,2052,,
Curve Pt X,4,,,,,,
Curve Pt Y,4,,,,,,
Curve Pt Z,4,,,,,,
Link Is Hidden,4,false,false,false,false,,
Street Name Is Hidden,4,false,false,false,false,,
Up ID,99,,,1,2,,
Lanes,99,,,*2,3,,
Name,99,,,Camelback Rd,Camelback Rd,,
Distance,99,,,650,747,,
Speed,99,,,40,40,,
Time,99,,,11.1,12.7,,
Grade,99,,,0,0,,
Median,99,,,24,24,,
Offset,99,,,0,0,,
TWLTL,99,,,0,0,,
Crosswalk Width,99,,,16,16,,
Mandatory Distance,99,,,100,100,,
Mandatory Distance2,99,,,1761,1761,,
Positioning Distance,99,,,1174,1174,,
Positioning Distance2,99,,,2348,2348,,
Curve Pt X,99,,,,,,
Curve Pt Y,99,,,,,,
Curve Pt Z,99,,,,,,
Link Is Hidden,99,,,false,false,,
Street Name Is Hidden,99,,,false,false,,
Up ID,101,,,,1,,
Lanes,101,,,,3,,
Name,101,,,,Camelback Rd,,
Distance,101,,,,2621,,
Speed,101,,,,40,,
Time,101,,,,44.7,,
Grade,101,,,,0,,
Median,101,,,,12,,
Offset,101,,,,0,,
TWLTL,101,,,,0,,
Crosswalk Width,101,,,,16,,
Mandatory Distance,101,,,,200,,
Mandatory Distance2,101,,,,1761,,
Positioning Distance,101,,,,1174,,
Positioning Distance2,101,,,,2348,,
Curve Pt X,101,,,,,,
Curve Pt Y,101,,,,,,
Curve Pt Z,101,,,,,,
Link Is Hidden,101,,,,false,,
Street Name Is Hidden,101,,,,false,,
Up ID,102,1,,,,,
Lanes,102,3,,,,,
Name,102,27th Ave,,,,,
Distance,102,1327,,,,,
Speed,102,30,,,,,
Time,102,30.2,,,,,
Grade,102,0,,,,,
Median,102,12,,,,,
Offset,102,0,,,,,
TWLTL,102,0,,,,,
Crosswalk Width,102,16,,,,,
Mandatory Distance,102,200,,,,,
Mandatory Distance2,102,1320,,,,,
Positioning Distance,102,880,,,,,
Positioning Distance2,102,1760,,,,,
Curve Pt X,102,,,,,,
Curve Pt Y,102,,,,,,
Curve Pt Z,102,,,,,,
Link Is Hidden,102,false,,,,,
Street Name Is Hidden,102,false,,,,,
Up ID,103,,,,,2,
Lanes,103,,,,,0,
Name,103,,,,,I-17 SB Exit,
Distance,103,,,,,756,
Speed,103,,,,,30,
Time,103,,,,,17.2,
Grade,103,,,,,0,
Median,103,,,,,24,
Offset,103,,,,,0,
TWLTL,103,,,,,0,
Crosswalk Width,103,,,,,16,
Mandatory Distance,103,,,,,200,
Mandatory Distance2,103,,,,,1320,
Positioning Distance,103,,,,,880,
Positioning Distance2,103,,,,,1760,
Curve Pt X,103,,,,,,
Curve Pt Y,103,,,,,,
Curve Pt Z,103,,,,,,
Link Is Hidden,103,,,,,false,
Street Name Is Hidden,103,,,,,false,
Up ID,104,2,,,,,
Lanes,104,3,,,,,
Name,104,I-17 NB Ent,,,,,
Distance,104,618,,,,,
Speed,104,30,,,,,
Time,104,14.0,,,,,
Grade,104,0,,,,,
Median,104,0,,,,,
Offset,104,0,,,,,
TWLTL,104,0,,,,,
Crosswalk Width,104,16,,,,,
Mandatory Distance,104,200,,,,,
Mandatory Distance2,104,1320,,,,,
Positioning Distance,104,880,,,,,
Positioning Distance2,104,1760,,,,,
Curve Pt X,104,,,,,,
Curve Pt Y,104,,,,,,
Curve Pt Z,104,,,,,,
Link Is Hidden,104,false,,,,,
Street Name Is Hidden,104,false,,,,,
Up ID,105,3,,,,,
Lanes,105,1,,,,,
Name,105,23rd Ave,,,,,
Distance,105,650,,,,,
Speed,105,30,,,,,
Time,105,14.8,,,,,
Grade,105,0,,,,,
Median,105,12,,,,,
Offset,105,0,,,,,
TWLTL,105,0,,,,,
Crosswalk Width,105,16,,,,,
Mandatory Distance,105,200,,,,,
Mandatory Distance2,105,1320,,,,,
