[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/17/2016
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-4957,-133,0,,,,,,
2,0,-2327,-145,0,,,,,,
3,0,-1296,-147,0,,,,,,
4,0,82,-125,0,,,,,,
5,0,409,-133,0,,,,,,
6,0,1327,-127,0,,,,,,
7,0,2935,-116,0,,,,,,
8,0,4222,-97,0,,,,,,
9,0,5520,-77,0,,,,,,
10,1,2934,409,0,,,,,,
11,1,2936,-805,0,,,,,,
12,1,1176,561,0,,,,,,
13,1,1322,-619,0,,,,,,
14,1,4226,-824,0,,,,,,
15,1,-1298,511,0,,,,,,
16,1,-1294,-733,0,,,,,,
17,1,-6797,-138,0,,,,,,
18,1,-2325,453,0,,,,,,
19,1,-2331,-757,0,,,,,,
20,3,-671,-137,0,,,,,,
21,1,-669,255,0,,,,,,
22,1,-729,-463,0,,,,,,
23,3,-3654,-139,0,,,,,,
24,1,-3654,233,0,,,,,,
25,1,-3654,-479,0,,,,,,
26,3,2034,-122,0,,,,,,
27,1,2036,202,0,,,,,,
28,1,2031,-510,0,,,,,,
103,1,-4957,1135,0,,,,,,
104,1,131,1837,0,,,,,,
105,1,384,462,0,,,,,,
107,1,5507,1114,0,,,,,,
108,1,7766,-72,0,,,,,,
109,1,5529,-1302,0,,,,,,
111,1,359,-2234,0,,,,,,
112,1,111,-710,0,,,,,,
113,1,-4957,-1558,0,,,,,,
2001,2,6080,-80,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB
Up ID,1,113,103,17,23
Lanes,1,4,4,4,5
Name,1,N 35th Ave,N 35th Ave,Peoria Ave,Peoria Ave
Distance,1,1425,1268,1840,1303
Speed,1,40,40,40,40
Time,1,24.3,21.6,31.4,22.2
Grade,1,0,0,0,0
Median,1,12,12,12,12
Offset,1,0,0,0,0
TWLTL,1,0,0,1,0
Crosswalk Width,1,16,16,16,16
Mandatory Distance,1,575,575,575,575
Mandatory Distance2,1,1761,1761,1761,1761
Positioning Distance,1,1174,1174,1174,1174
Positioning Distance2,1,2348,2348,2348,2348
Curve Pt X,1,,,,
Curve Pt Y,1,,,,
Curve Pt Z,1,,,,
Link Is Hidden,1,false,false,false,false
Street Name Is Hidden,1,false,false,false,false
Up ID,2,19,18,23,3
Lanes,2,2,2,5,5
Name,2,N 31st Ave,N 31st Ave,Peoria Ave,Peoria Ave
Distance,2,612,598,1327,1031
Speed,2,30,30,40,40
Time,2,13.9,13.6,22.6,17.6
Grade,2,0,0,0,0
Median,2,12,12,24,24
Offset,2,0,0,0,0
TWLTL,2,0,0,0,0
Crosswalk Width,2,16,16,16,16
Mandatory Distance,2,575,575,575,575
Mandatory Distance2,2,1320,1320,1761,1761
Positioning Distance,2,880,880,1174,1174
Positioning Distance2,2,1760,1760,2348,2348
Curve Pt X,2,,,,
Curve Pt Y,2,,,,
Curve Pt Z,2,,,,
Link Is Hidden,2,false,false,false,false
Street Name Is Hidden,2,false,false,false,false
Up ID,3,16,15,2,20
Lanes,3,4,4,6,6
Name,3,N 28th Dr,N 28th Dr,Peoria Ave,Peoria Ave
Distance,3,586,658,1031,625
Speed,3,35,35,40,40
Time,3,11.4,12.8,17.6,10.7
Grade,3,0,0,0,0
Median,3,24,*12,24,24
Offset,3,0,0,0,0
TWLTL,3,0,0,0,0
Crosswalk Width,3,16,16,16,16
Mandatory Distance,3,575,575,575,575
Mandatory Distance2,3,1539,1539,1761,1761
Positioning Distance,3,1026,1026,1174,1174
Positioning Distance2,3,2052,2052,2348,2348
Curve Pt X,3,,,,
Curve Pt Y,3,,,,
Curve Pt Z,3,,,,
Link Is Hidden,3,false,false,false,false
Street Name Is Hidden,3,false,false,false,false
Up ID,4,112,104,20,5
Lanes,4,0,4,5,4
Name,4,I-17 SB Ramps,I-17 SB Ramps,Peoria Ave,Peoria Ave
Distance,4,586,1963,753,327
Speed,4,45,45,40,40
Time,4,8.9,29.7,12.8,5.6
Grade,4,0,0,0,0
Median,4,12,12,12,12
Offset,4,0,0,0,0
TWLTL,4,0,0,0,0
Crosswalk Width,4,16,16,16,16
Mandatory Distance,4,575,575,575,575
Mandatory Distance2,4,1980,1980,1761,1761
Positioning Distance,4,1320,1320,1174,1174
Positioning Distance2,4,2640,2640,2348,2348
Curve Pt X,4,,,,
Curve Pt Y,4,,,,
Curve Pt Z,4,,,,
Link Is Hidden,4,false,false,false,false
Street Name Is Hidden,4,false,false,false,false
Up ID,5,111,105,4,6
Lanes,5,4,0,4,4
Name,5,I-17 NB Ramps,I-17 NB Ramps,Peoria Ave,Peoria Ave
Distance,5,2102,596,327,918
Speed,5,45,45,40,40
Time,5,31.8,9.0,5.6,15.6
Grade,5,0,0,0,0
Median,5,24,24,12,12
Offset,5,0,0,0,0
TWLTL,5,0,0,0,0
Crosswalk Width,5,16,16,16,16
Mandatory Distance,5,*200,575,575,575
Mandatory Distance2,5,1980,1980,1761,1761
Positioning Distance,5,1320,1320,1174,1174
Positioning Distance2,5,2640,2640,2348,2348
Curve Pt X,5,,,,
Curve Pt Y,5,,,,
Curve Pt Z,5,,,,
Link Is Hidden,5,false,false,false,false
Street Name Is Hidden,5,false,false,false,false
Up ID,6,13,12,5,26
Lanes,6,3,2,5,3
Name,6,N 25th Ave,N 25th Ave,Peoria Ave,Peoria Ave
Distance,6,492,715,918,707
Speed,6,35,25,40,40
Time,6,9.6,19.5,15.6,12.1
Grade,6,0,0,0,0
Median,6,12,12,12,12
Offset,6,0,0,0,0
TWLTL,6,0,0,0,1
Crosswalk Width,6,16,16,16,16
Mandatory Distance,6,575,575,575,575
Mandatory Distance2,6,1539,1101,1761,1761
Positioning Distance,6,1026,734,1174,1174
Positioning Distance2,6,2052,1468,2348,2348
Curve Pt X,6,,1334,,
Curve Pt Y,6,,216,,
Curve Pt Z,6,,0,,
Link Is Hidden,6,false,false,false,false
Street Name Is Hidden,6,false,false,false,false
Up ID,7,11,10,26,8
Lanes,7,2,2,5,4
Name,7,N 23rd Ave,N 23rd Ave,Peoria Ave,Peoria Ave
Distance,7,689,525,901,1287
Speed,7,35,35,40,40
Time,7,13.4,10.2,15.4,21.9
Grade,7,0,0,0,0
Median,7,12,12,12,12
Offset,7,0,0,0,0
TWLTL,7,0,0,1,1
Crosswalk Width,7,16,16,16,16
Mandatory Distance,7,575,575,575,575
Mandatory Distance2,7,1539,1539,1761,1761
Positioning Distance,7,1026,1026,1174,1174
Positioning Distance2,7,2052,2052,2348,2348
Curve Pt X,7,,,,
Curve Pt Y,7,,,,
Curve Pt Z,7,,,,
Link Is Hidden,7,false,false,false,false
Street Name Is Hidden,7,false,false,false,false
Up ID,8,14,,7,9
Lanes,8,2,,3,3
Name,8,N 21st Ave,,Peoria Ave,Peoria Ave
Distance,8,727,,1287,1298
Speed,8,25,,40,40
Time,8,19.8,,21.9,22.1
Grade,8,0,,0,0
Median,8,12,,12,12
Offset,8,0,,0,0
TWLTL,8,0,,1,1
Crosswalk Width,8,16,,16,16
Mandatory Distance,8,575,,575,575
Mandatory Distance2,8,1101,,1761,1761
Positioning Distance,8,734,,1174,1174
Positioning Distance2,8,1468,,2348,2348
Curve Pt X,8,,,,
Curve Pt Y,8,,,,
Curve Pt Z,8,,,,
Link Is Hidden,8,false,,false,false
Street Name Is Hidden,8,false,,false,false
Up ID,9,109,107,8,2001
Lanes,9,4,4,4,3
Name,9,N 19th Ave,N 19th Ave,Peoria Ave,Peoria Ave
Distance,9,1225,1191,1298,560
Speed,9,40,40,40,35
Time,9,20.9,20.3,22.1,10.9
Grade,9,0,0,0,0
Median,9,12,12,12,12
Offset,9,0,0,0,0
TWLTL,9,1,1,1,1
Crosswalk Width,9,16,16,16,16
Mandatory Distance,9,575,575,575,575
Mandatory Distance2,9,1761,1761,1761,1539
Positioning Distance,9,1174,1174,1174,1026
Positioning Distance2,9,2348,2348,2348,2052
Curve Pt X,9,,,,
Curve Pt Y,9,,,,
Curve Pt Z,9,,,,
Link Is Hidden,9,false,false,false,false
Street Name Is Hidden,9,false,false,false,false
Up ID,10,7,,,
Lanes,10,1,,,
Name,10,23rd Ave,,,
Distance,10,525,,,
Speed,10,35,,,
Time,10,10.2,,,
Grade,10,0,,,
Median,10,12,,,
Offset,10,0,,,
TWLTL,10,0,,,
Crosswalk Width,10,16,,,
Mandatory Distance,10,200,,,
Mandatory Distance2,10,1539,,,
Positioning Distance,10,1026,,,
Positioning Distance2,10,2052,,,
Curve Pt X,10,,,,
Curve Pt Y,10,,,,
Curve Pt Z,10,,,,
Link Is Hidden,10,false,,,
Street Name Is Hidden,10,false,,,
Up ID,11,,7,,
Lanes,11,,1,,
Name,11,,23rd Ave,,
Distance,11,,689,,
Speed,11,,35,,
Time,11,,13.4,,
Grade,11,,0,,
Median,11,,12,,
Offset,11,,0,,
TWLTL,11,,0,,
Crosswalk Width,11,,16,,
Mandatory Distance,11,,200,,
Mandatory Distance2,11,,1539,,
