[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,04/22/2015

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-5207,13474,0,,,,,,
2,0,-3884,13484,0,,,,,,
3,0,-1916,13495,0,,,,,,
4,0,45,13516,0,,,,,,
5,0,750,13512,0,,,,,,
6,0,1450,13518,0,,,,,,
7,0,1883,13493,0,,,,,,
8,0,2672,13522,0,,,,,,
9,0,5315,13489,0,,,,,,
10,0,10601,13555,0,,,,,,
11,0,11779,13815,0,,,,,,
12,0,13047,14092,0,,,,,,
13,0,15661,14104,0,,,,,,
14,0,17059,14130,0,,,,,,
15,0,18308,14137,0,,,,,,
16,1,5317,14840,0,,,,,,
17,1,10595,14843,0,,,,,,
18,1,19634,14151,0,,,,,,
40,1,12993,15358,0,,,,,,
43,2,-853,13506,0,,,,,,
48,1,-1479,12701,0,,,,,,
64,1,-5190,17481,0,,,,,,
75,1,-5211,10838,0,,,,,,
107,2,2261,13507,0,,,,,,
111,1,18300,14736,0,,,,,,
112,1,12252,12788,0,,,,,,
116,1,18308,12960,0,,,,,,
117,1,1473,12923,0,,,,,,
118,1,11679,14075,0,,,,,,
119,1,748,13273,0,,,,,,
121,1,38,15361,0,,,,,,
123,2,39,12866,0,,,,,,
124,1,2672,14426,0,,,,,,
125,1,13055,13696,0,,,,,,
234,1,-1918,13957,0,,,,,,
236,1,-3882,12926,0,,,,,,
252,1,1205,9191,0,,,,,,
255,1,1784,12848,0,,,,,,
264,1,1539,14281,0,,,,,,
269,1,1821,14152,0,,,,,,
311,1,17428,15223,0,,,,,,
314,2,356,10730,0,,,,,,
322,1,753,13861,0,,,,,,
329,1,-6266,13481,0,,,,,,
376,1,2001,9421,0,,,,,,
377,2,2171,10587,0,,,,,,
378,2,2309,12129,0,,,,,,
379,2,69,12039,0,,,,,,
2850,1,15661,11454,0,,,,,,
2950,1,15657,16634,0,,,,,,
3600,1,10602,8307,0,,,,,,
4350,1,5315,9508,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB
Up ID,1,75,64,329,2
Lanes,1,3,3,3,3
Name,1,91st Ave,91st Ave,Union Hills Dr,Union Hills Dr
Distance,1,2636,4007,1059,1323
Speed,1,40,40,40,40
Time,1,44.9,68.3,18.1,22.6
Grade,1,0,0,0,0
Median,1,12,12,12,12
Offset,1,0,0,0,0
TWLTL,1,1,1,1,1
Crosswalk Width,1,16,16,16,16
Mandatory Distance,1,416,416,416,416
Mandatory Distance2,1,1761,1761,1761,1761
Positioning Distance,1,1174,1174,1174,1174
Positioning Distance2,1,2348,2348,2348,2348
Curve Pt X,1,,,,
Curve Pt Y,1,,,,
Curve Pt Z,1,,,,
Link Is Hidden,1,false,false,false,false
Street Name Is Hidden,1,false,false,false,false
Up ID,2,236,,1,3
Lanes,2,2,,2,3
Name,2,89th Ave,,Union Hills Dr,Union Hills Dr
Distance,2,558,,1323,1968
Speed,2,25,,40,40
Time,2,15.2,,22.6,33.5
Grade,2,0,,0,0
Median,2,12,,12,12
Offset,2,0,,0,0
TWLTL,2,0,,1,1
Crosswalk Width,2,16,,16,16
Mandatory Distance,2,416,,416,416
Mandatory Distance2,2,1101,,1761,1761
Positioning Distance,2,734,,1174,1174
Positioning Distance2,2,1468,,2348,2348
Curve Pt X,2,,,,
Curve Pt Y,2,,,,
Curve Pt Z,2,,,,
Link Is Hidden,2,false,,false,false
Street Name Is Hidden,2,false,,false,false
Up ID,3,48,234,2,43
Lanes,3,3,2,3,3
Name,3,Country Club Pw,Country Club Pw,Union Hills Dr,Union Hills Dr
Distance,3,962,462,1968,1063
Speed,3,25,30,40,40
Time,3,26.2,10.5,33.5,18.1
Grade,3,0,0,0,0
Median,3,12,12,12,12
Offset,3,0,0,0,0
TWLTL,3,0,0,1,0
Crosswalk Width,3,16,16,16,16
Mandatory Distance,3,416,416,416,416
Mandatory Distance2,3,1101,1320,1761,1761
Positioning Distance,3,734,880,1174,1174
Positioning Distance2,3,1468,1760,2348,2348
Curve Pt X,3,-1933,,,
Curve Pt Y,3,13097,,,
Curve Pt Z,3,0,,,
Link Is Hidden,3,false,false,false,false
Street Name Is Hidden,3,false,false,false,false
Up ID,4,123,121,43,5
Lanes,4,5,5,5,5
Name,4,83rd Ave,83rd Ave,Union Hills Dr,Union Hills Dr
Distance,4,650,1845,898,705
Speed,4,40,40,40,40
Time,4,11.1,31.4,15.3,12.0
Grade,4,0,0,0,0
Median,4,24,24,12,12
Offset,4,0,0,0,0
TWLTL,4,0,0,0,0
