[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,06/05/2013

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-516,6265,0,,,,,,
2,0,10000,1000,0,,,,,,
3,0,4723,3640,0,,,,,,
4,0,7326,3646,0,,,,,,
5,0,10000,3649,0,,,,,,
6,0,4723,5600,0,,,,,,
7,0,10000,5003,0,,,,,,
8,0,9348,1000,0,,,,,,
9,0,2192,6177,0,,,,,,
10,0,3452,6191,0,,,,,,
11,0,4780,6183,0,,,,,,
12,0,6012,6159,0,,,,,,
13,0,7420,6191,0,,,,,,
14,0,8252,6183,0,,,,,,
15,0,10048,6250,0,,,,,,
16,0,11268,6271,0,,,,,,
17,0,12580,6276,0,,,,,,
18,0,10020,5732,0,,,,,,
19,0,2212,8823,0,,,,,,
20,0,4748,8791,0,,,,,,
21,0,7388,8823,0,,,,,,
22,0,9983,8813,0,,,,,,
23,0,-3076,11399,0,,,,,,
24,0,-2132,11431,0,,,,,,
25,0,-360,11427,0,,,,,,
26,0,2188,11431,0,,,,,,
27,0,3476,11463,0,,,,,,
28,0,4788,11471,0,,,,,,
29,0,7364,11463,0,,,,,,
30,0,9956,11439,0,,,,,,
31,0,12588,11431,0,,,,,,
32,0,6085,15387,0,,,,,,
33,0,4812,12789,0,,,,,,
34,0,2200,14049,0,,,,,,
35,0,3472,14077,0,,,,,,
36,0,4812,14093,0,,,,,,
37,0,6112,14117,0,,,,,,
38,0,7372,14079,0,,,,,,
39,0,9988,14095,0,,,,,,
40,0,4816,15392,0,,,,,,
41,0,7380,15362,0,,,,,,
42,0,4816,16072,0,,,,,,
43,0,2191,16657,0,,,,,,
44,0,3511,16717,0,,,,,,
45,0,4816,16697,0,,,,,,
46,1,10692,5732,0,,,,,,
47,0,6055,16732,0,,,,,,
48,0,6770,16722,0,,,,,,
49,0,7385,16717,0,,,,,,
50,0,10018,16676,0,,,,,,
51,0,11306,16662,0,,,,,,
52,0,12601,16655,0,,,,,,
53,0,8702,19301,0,,,,,,
54,0,4835,17962,0,,,,,,
55,0,-433,19268,0,,,,,,
56,0,2220,19308,0,,,,,,
57,0,3424,19329,0,,,,,,
58,0,4082,19350,0,,,,,,
59,0,4789,19343,0,,,,,,
60,0,7372,19350,0,,,,,,
61,0,10074,19322,0,,,,,,
62,0,12608,19287,0,,,,,,
63,0,4803,20220,0,,,,,,
64,0,4823,20670,0,,,,,,
65,0,2223,21930,0,,,,,,
66,0,4813,21980,0,,,,,,
67,0,7353,21940,0,,,,,,
68,0,10123,21970,0,,,,,,
69,0,12603,21930,0,,,,,,
70,0,4783,23110,0,,,,,,
71,0,4803,24610,0,,,,,,
72,0,-240,15097,0,,,,,,
73,0,4893,27260,0,,,,,,
74,0,10012,7631,0,,,,,,
75,0,5285,16710,0,,,,,,
76,0,4820,17412,0,,,,,,
77,0,7335,1000,0,,,,,,
78,0,4883,33220,0,,,,,,
79,0,4893,28530,0,,,,,,
80,0,4913,29880,0,,,,,,
81,0,7326,20779,0,,,,,,
82,0,4933,32510,0,,,,,,
83,0,12468,5119,0,,,,,,
84,0,15165,6269,0,,,,,,
85,0,-484,8767,0,,,,,,
86,0,15196,11439,0,,,,,,
