[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,11
DefFlow,2000
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,06/10/2015

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,518810,78846,0,,,,,,
2,0,563760,78740,0,,,,,,
3,1,514924,78848,0,,,,,,
4,0,542790,79113,0,,,,,,
5,1,518655,78805,0,,,,,,
6,2,557970,69790,0,,,,,,
7,1,514893,78700,0,,,,,,
8,0,548055,82992,0,,,,,,
9,0,532424,78979,0,,,,,,
10,0,548023,85536,0,,,,,,
11,0,553351,85520,0,,,,,,
12,1,528847,79007,0,,,,,,
13,1,528505,78854,0,,,,,,
14,0,553311,82872,0,,,,,,
15,1,525316,78965,0,,,,,,
16,1,552055,82848,0,,,,,,
17,1,561168,81205,0,,,,,,
18,1,525319,78842,0,,,,,,
19,0,521936,79346,0,,,,,,
20,2,563680,73130,0,,,,,,
21,1,531149,79229,0,,,,,,
22,1,531116,79318,0,,,,,,
23,1,533765,79303,0,,,,,,
24,0,521946,78612,0,,,,,,
25,2,532990,90830,0,,,,,,
26,2,538068,90876,0,,,,,,
27,1,558610,86250,0,,,,,,
28,1,545520,90080,0,,,,,,
29,0,555991,85512,0,,,,,,
30,0,558608,85491,0,,,,,,
31,0,558588,84146,0,,,,,,
32,2,558541,81325,0,,,,,,
33,0,558591,82840,0,,,,,,
34,1,559503,82848,0,,,,,,
35,0,563839,85482,0,,,,,,
36,1,565048,85488,0,,,,,,
37,0,558526,79553,0,,,,,,
38,2,543130,90920,0,,,,,,
39,0,561318,85486,0,,,,,,
40,1,561318,85846,0,,,,,,
41,1,561314,84806,0,,,,,,
42,0,550380,85529,0,,,,,,
43,1,550375,85044,0,,,,,,
44,2,548480,90890,0,,,,,,
45,2,552392,90895,0,,,,,,
46,2,553840,90890,0,,,,,,
47,0,550772,80464,0,,,,,,
48,2,563169,90822,0,,,,,,
49,0,563696,71777,0,,,,,,
50,1,563011,73632,0,,,,,,
51,0,559928,85490,0,,,,,,
52,1,561135,70589,0,,,,,,
53,1,559929,85873,0,,,,,,
54,1,569373,75116,0,,,,,,
55,0,553273,79196,0,,,,,,
56,0,558540,71760,0,,,,,,
57,1,559805,71760,0,,,,,,
58,0,553277,69817,0,,,,,,
59,1,559929,84909,0,,,,,,
60,1,564614,73624,0,,,,,,
61,0,558527,69789,0,,,,,,
62,0,563756,69782,0,,,,,,
63,0,561166,69803,0,,,,,,
64,1,561173,69341,0,,,,,,
65,0,548020,79622,0,,,,,,
66,1,568983,73292,0,,,,,,
67,1,526588,88075,0,,,,,,
68,1,562606,71775,0,,,,,,
69,0,558529,77810,0,,,,,,
70,1,545428,79856,0,,,,,,
71,1,557871,77810,0,,,,,,
72,1,559290,77810,0,,,,,,
73,0,558541,76474,0,,,,,,
74,1,540153,81698,0,,,,,,
75,1,558149,76474,0,,,,,,
76,1,524590,90180,0,,,,,,
77,0,540158,80441,0,,,,,,
78,1,524520,85750,0,,,,,,
79,1,527750,88090,0,,,,,,
80,0,542794,79580,0,,,,,,
81,1,558941,76474,0,,,,,,
82,0,565025,75076,0,,,,,,
83,1,565020,75317,0,,,,,,
84,1,565032,74720,0,,,,,,
85,1,565081,70222,0,,,,,,
86,1,565093,69174,0,,,,,,
87,0,565086,69780,0,,,,,,
88,1,532047,88199,0,,,,,,
89,0,529804,75298,0,,,,,,
90,2,537663,81746,0,,,,,,
91,1,538248,88173,0,,,,,,
92,0,566394,69779,0,,,,,,
93,0,537640,79533,0,,,,,,
94,1,566382,70501,0,,,,,,
95,1,529807,74328,0,,,,,,
96,1,535053,81326,0,,,,,,
97,1,535053,80016,0,,,,,,
98,0,532421,81602,0,,,,,,
99,0,532436,79474,0,,,,,,
100,1,566385,69246,0,,,,,,
101,1,542300,88200,0,,,,,,
102,1,543540,88200,0,,,,,,
103,1,528040,82840,0,,,,,,
104,1,547510,88140,0,,,,,,
105,2,527186,81525,0,,,,,,
106,2,522420,85440,0,,,,,,
107,0,566708,69779,0,,,,,,
108,1,531746,81575,0,,,,,,
109,2,533048,80345,0,,,,,,
110,1,566705,70142,0,,,,,,
111,1,566713,69238,0,,,,,,
112,1,558527,69142,0,,,,,,
113,0,518106,80045,0,,,,,,
114,0,517616,80025,0,,,,,,
115,1,562110,79102,0,,,,,,
116,1,563839,86205,0,,,,,,
117,1,561944,78916,0,,,,,,
118,0,540233,85642,0,,,,,,
119,0,527068,77996,0,,,,,,
120,0,516691,80000,0,,,,,,
