[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,7.0
DontWalk,14.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,02/24/2015
ScenarioTime,4:00 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,612000,939291,0,X,,,,,
2,0,610248,944524,0,X,,,,,
3,0,610160,933955,5,X,,,,,
4,0,610212,939252,0,X,,,,,
5,0,610283,949754,0,,,,,,
6,0,607567,944482,0,X,,,,,
7,0,607548,941834,0,X,,,,,
8,0,607672,955004,0,X,,,,,
9,0,607513,936569,0,X,,,,,
10,0,607520,928641,0,X,,,,,
11,0,607675,958402,0,X,,,,,
12,0,607551,939194,0,X,,,,,
13,0,607593,947104,0,X,,,,,
14,0,607628,949724,0,,,,,,
15,0,606316,958739,0,,,,,,
16,0,604892,944410,0,X,,,,,
17,0,605009,933869,5,X,,,,,
18,0,604895,939136,0,X,,,,,
19,0,604950,949659,0,,,,,,
20,0,602212,944344,0,X,,,,,
21,0,602222,941721,0,x,,,,,
22,0,602300,975662,0,X,,,,,
23,0,602360,956410,0,X,,,,,
24,0,602195,933796,0,X,,,,,
25,0,603370,958560,0,,,,,,
26,0,602371,939799,0,X,,,,,
27,0,602761,939396,0,X,,,,,
28,0,602827,957789,0,X,,,,,
29,0,602275,946999,0,,,,,,
30,0,602296,949611,0,,,,,,
31,0,602320,965161,0,?????????????????????????????????????????????,,,,,
32,0,600981,959867,0,,,,,,
33,0,600902,939078,0,,,,,,
34,0,599666,959889,0,,,,,,
35,0,599587,944340,0,X,,,,,
36,0,599566,933761,0,X,,,,,
37,0,599609,939048,0,,,,,,
38,0,597060,970491,0,X,,,,,
39,0,597682,959888,0,,,,,,
40,0,596910,933735,0,X,,,,,
41,0,596911,939017,0,,,,,,
42,0,597018,949530,0,X,,,,,
43,0,597039,965153,0,X,,,,,
44,0,594680,949474,0,X,,,,,
45,0,594274,933661,0,X,,,,,
46,0,594254,938951,0,,,,,,
47,0,596210,949501,0,X,,,,,
48,0,600347,965144,0,X,,,,,
49,0,602171,928503,0,X,,,,,
50,0,596921,928438,0,X,,,,,
51,0,595560,928426,0,,,,,,
52,0,602313,968840,0,X,,,,,
53,0,602321,967800,0,X,,,,,
54,0,602301,970425,0,X,,,,,
55,0,601542,972099,0,,,,,,
56,0,599675,972669,0,,,,,,
57,0,597069,973110,0,,,,,,
58,0,601496,949597,0,,,,,,
59,0,602298,973571,0,X,,,,,
60,0,602228,941009,0,X,,,,,
61,0,602333,966160,0,X,,,,,
62,0,596930,944330,0,,,,,,
63,0,586503,978359,0,X,,,,,
64,0,597056,969160,0,X,,,,,
65,0,589480,970473,0,,,,,,
66,0,598410,949541,0,X,,,,,
67,0,607469,932950,0,x,,,,,
68,0,602290,948290,0,X,,,,,
69,0,598270,939040,0,,,,,,
70,0,586422,970466,0,X,,,,,
71,0,591890,933590,0,X,,,,,
72,0,604967,975688,0,X,,,,,
73,0,575865,996719,0,X,,,,,
74,0,596600,959887,0,,,,,,
75,0,597035,962517,0,X,,,,,
76,0,591806,986350,0,,,,,,
77,0,590947,981033,0,,,,,,
78,3,590530,979700,0,,,,,,
79,0,586347,928223,0,X,,,,,
80,0,592579,988960,0,X,,,,,
81,0,591784,984982,0,,,,,,
82,0,602377,981002,0,X,,,,,
83,0,603530,939110,0,,,,,,
84,0,597078,975727,0,X,,,,,
85,0,600855,992700,0,X,,,,,
86,0,603963,939116,0,,,,,,
87,0,592170,928365,0,X,,,,,
88,0,591587,928354,0,X,,,,,
89,0,590133,974115,0,??????????????????????????????????????????????????????????????????????????????,,,,,
90,0,589497,975753,0,,,,,,
91,0,596906,937793,0,X,,,,,
92,1,588975,933752,0,,,,,,
