[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,15.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/08/2018

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,9551,11240,0,,,,,,
2,0,11548,11240,0,,,,,,
3,0,12180,11240,0,,,,,,
4,0,14821,11233,0,,,,,,
5,0,18852,10940,0,,,,,,
6,0,20120,10289,0,,,,,,
7,0,21454,9443,0,,,,,,
8,0,25604,6982,0,,,,,,
9,0,20028,12528,0,,,,,,
10,1,12177,11966,0,,,,,,
11,1,12184,10428,0,,,,,,
13,1,14819,11987,0,,,,,,
14,1,14824,10365,0,,,,,,
17,1,18544,9758,0,,,,,,
19,1,20002,14268,0,,,,,,
20,1,20119,9002,0,,,,,,
22,1,21452,10271,0,,,,,,
23,1,21456,8499,0,,,,,,
25,1,25608,7811,0,,,,,,
26,1,25600,6075,0,,,,,,
29,1,21497,13981,0,,,,,,
30,1,8328,11240,0,,,,,,
31,1,28630,5124,0,,,,,,
32,1,9548,11880,0,,,,,,
33,1,9555,10502,0,,,,,,
34,1,11542,11938,0,,,,,,
35,1,11555,10444,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,SW
Up ID,1,33,32,30,2,,
Lanes,1,3,3,4,5,,
Name,1,Meridian Road,Meridian Road,Apache Trail,Apache Trail,,
Distance,1,738,640,1223,1997,,
Speed,1,35,35,40,40,,
Time,1,14.4,12.5,20.8,34.0,,
Grade,1,0,0,0,0,,
Median,1,12,12,*65,*65,,
Offset,1,0,0,0,0,,
TWLTL,1,0,0,0,0,,
Crosswalk Width,1,16,16,16,16,,
Mandatory Distance,1,500,500,500,500,,
Mandatory Distance2,1,1539,1539,1761,1761,,
Positioning Distance,1,1026,1026,1174,1174,,
Positioning Distance2,1,2052,2052,2348,2348,,
Curve Pt X,1,,,,,,
Curve Pt Y,1,,,,,,
Curve Pt Z,1,,,,,,
Link Is Hidden,1,false,false,false,false,,
Street Name Is Hidden,1,false,false,false,false,,
Up ID,2,35,34,1,3,,
Lanes,2,2,1,5,4,,
Name,2,Walmart Driveway,Walmart Driveway,Apache Trail,Apache Trail,,
Distance,2,796,698,1997,632,,
Speed,2,25,25,40,40,,
Time,2,21.7,19.0,34.0,10.8,,
Grade,2,0,0,0,0,,
Median,2,0,0,*65,*65,,
Offset,2,0,0,0,0,,
TWLTL,2,0,0,0,0,,
Crosswalk Width,2,16,16,16,16,,
Mandatory Distance,2,500,500,500,500,,
Mandatory Distance2,2,1101,1101,1761,1761,,
Positioning Distance,2,734,734,1174,1174,,
Positioning Distance2,2,1468,1468,2348,2348,,
Curve Pt X,2,,,,,,
Curve Pt Y,2,,,,,,
Curve Pt Z,2,,,,,,
Link Is Hidden,2,false,false,false,false,,
Street Name Is Hidden,2,false,false,false,false,,
