[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,21470,-33310,0,,,,,,
2,2,18595,-35933,0,,,,,,
3,1,18587,-28488,0,,,,,,
4,1,-10515,-30840,0,,,,,,
5,1,18592,-32805,0,,,,,,
6,1,13565,-28007,0,,,,,,
7,1,15630,22517,0,,,,,,
8,1,21266,-37272,0,,,,,,
9,3,16666,-27559,0,,,,,,
10,3,17037,-27564,0,,,,,,
11,3,17427,-27569,0,,,,,,
12,3,17801,-27574,0,,,,,,
13,0,19330,-27585,0,,,,,,
14,2,18568,-26715,0,,,,,,
15,1,20142,-30665,0,,,,,,
16,1,14560,-25403,0,,,,,,
17,2,13250,-25419,0,,,,,,
18,1,21288,-29996,0,,,,,,
19,1,20291,-28040,0,,,,,,
26,1,-8413,-29824,0,,,,,,
29,1,3992,7050,0,,,,,,
32,1,1272,7074,0,,,,,,
38,1,5320,7042,0,,,,,,
40,1,15905,-25159,0,,,,,,
42,3,159,8412,0,,,,,,
43,1,2648,7082,0,,,,,,
46,1,3992,9266,0,,,,,,
50,1,-9364,-39656,0,,,,,,
51,1,-9292,-39652,0,,,,,,
52,2,-9290,-39188,0,,,,,,
53,2,-9362,-39182,0,,,,,,
54,3,-9498,-38938,0,,,,,,
55,3,-9198,-38938,0,,,,,,
57,1,23888,-32007,0,,,,,,
58,2,2648,8560,0,,,,,,
59,3,-9498,-38588,0,,,,,,
60,3,-9198,-38588,0,,,,,,
61,1,-9342,-38498,0,,,,,,
62,2,-9405,-38346,0,,,,,,
63,3,-9308,-38338,0,,,,,,
64,2,-9306,-37576,0,,,,,,
65,1,-9370,-37238,0,,,,,,
66,1,-9308,-37228,0,,,,,,
67,1,-9514,-29215,0,,,,,,
68,1,-9442,-29211,0,,,,,,
69,2,-9512,-28741,0,,,,,,
70,2,-9440,-28747,0,,,,,,
71,3,-9648,-28497,0,,,,,,
72,3,-9348,-28497,0,,,,,,
76,3,-9648,-28147,0,,,,,,
77,3,-9348,-28147,0,,,,,,
78,1,-9492,-28057,0,,,,,,
79,2,-9555,-27905,0,,,,,,
80,3,-9458,-27897,0,,,,,,
81,2,-9456,-27135,0,,,,,,
82,1,-9520,-26797,0,,,,,,
83,1,-9458,-26787,0,,,,,,
84,1,-199,7327,0,,,,,,
85,1,-92,7305,0,,,,,,
86,2,-77,7823,0,,,,,,
87,2,30,7813,0,,,,,,
88,3,-141,8062,0,,,,,,
89,3,159,8062,0,,,,,,
90,3,-158,8237,0,,,,,,
91,0,17,8237,0,,,,,,
92,3,184,8237,0,,,,,,
93,3,-141,8412,0,,,,,,
94,1,65,8495,0,,,,,,
95,2,-9,8660,0,,,,,,
96,3,99,8655,0,,,,,,
97,2,153,9427,0,,,,,,
98,1,87,9798,0,,,,,,
99,1,192,9785,0,,,,,,
101,0,5320,19251,0,,,,,,
102,0,10590,18791,0,,,,,,
103,0,10602,19211,0,,,,,,
108,1,17801,-27125,0,,,,,,
110,1,3989,14462,0,,,,,,
114,1,22678,-35957,0,,,,,,
117,1,1457,12968,0,,,,,,
119,1,751,12968,0,,,,,,
120,1,14809,16572,0,,,,,,
