[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,09/14/2021
ScenarioTime,4:38 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,2,9431,9004,0,,,,,,
2,1,10105,8320,0,,,,,,
3,0,9838,8704,0,,,,,,
4,1,10068,8935,0,,,,,,
5,1,3344,11879,0,,,,,,
6,0,2868,11874,0,,,,,,
7,2,3115,10595,0,,,,,,
8,4,1728,15276,0,,,28,40,1,18
9,1,2706,11853,0,,,,,,
10,2,6363,8862,0,,,,,,
11,1,810,17137,0,,,,,,
12,1,1459,15139,0,,,,,,
13,0,2164,14404,0,,,,,,
14,1,2616,14648,0,,,,,,
15,1,1874,14248,0,,,,,,
16,1,1963,15396,0,,,,,,
17,0,1393,15944,0,,,,,,
18,1,965,15597,0,,,,,,
19,1,1655,16212,0,,,,,,
20,0,984,16782,0,,,,,,
21,1,1363,17251,0,,,,,,
22,1,813,16561,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,,,10,,,3,,
Lanes,1,,,2,,,2,,
Name,1,,,,,,SR260,,
Distance,1,,,3087,,,506,,
Speed,1,,,30,,,30,,
Time,1,,,70.2,,,11.5,,
Grade,1,,,0,,,0,,
Median,1,,,0,,,12,,
Offset,1,,,0,,,0,,
TWLTL,1,,,0,,,0,,
Crosswalk Width,1,,,16,,,16,,
Mandatory Distance,1,,,100,,,100,,
Mandatory Distance2,1,,,1320,,,1320,,
Positioning Distance,1,,,880,,,880,,
Positioning Distance2,1,,,1760,,,1760,,
Curve Pt X,1,,,8879,,,,,
Curve Pt Y,1,,,9330,,,,,
Curve Pt Z,1,,,0,,,,,
Link Is Hidden,1,,,false,,,false,,
Street Name Is Hidden,1,,,false,,,false,,
Up ID,2,,,,,,,3,
Lanes,2,,,,,,,2,
Name,2,,,,,,,SR260,
Distance,2,,,,,,,468,
Speed,2,,,,,,,30,
Time,2,,,,,,,10.6,
Grade,2,,,,,,,0,
Median,2,,,,,,,0,
Offset,2,,,,,,,0,
TWLTL,2,,,,,,,0,
Crosswalk Width,2,,,,,,,16,
Mandatory Distance,2,,,,,,,200,
Mandatory Distance2,2,,,,,,,1320,
Positioning Distance,2,,,,,,,880,
Positioning Distance2,2,,,,,,,1760,
Curve Pt X,2,,,,,,,,
Curve Pt Y,2,,,,,,,,
Curve Pt Z,2,,,,,,,,
Link Is Hidden,2,,,,,,,false,
Street Name Is Hidden,2,,,,,,,false,
Up ID,3,,,,,,2,1,4
Lanes,3,,,,,,3,3,2
Name,3,,,,,,SR260,SR260,Main St
Distance,3,,,,,,468,506,326
Speed,3,,,,,,30,30,30
Time,3,,,,,,10.6,11.5,7.4
Grade,3,,,,,,0,0,0
Median,3,,,,,,12,12,12
Offset,3,,,,,,0,0,0
TWLTL,3,,,,,,0,0,0
Crosswalk Width,3,,,,,,16,16,16
Mandatory Distance,3,,,,,,200,200,200
Mandatory Distance2,3,,,,,,1320,1320,1320
Positioning Distance,3,,,,,,880,880,880
Positioning Distance2,3,,,,,,1760,1760,1760
Curve Pt X,3,,,,,,,,
Curve Pt Y,3,,,,,,,,
Curve Pt Z,3,,,,,,,,
Link Is Hidden,3,,,,,,false,false,false
Street Name Is Hidden,3,,,,,,false,false,false
Up ID,4,,,,,3,,,
Lanes,4,,,,,1,,,
Name,4,,,,,Main St,,,
Distance,4,,,,,326,,,
Speed,4,,,,,30,,,
Time,4,,,,,7.4,,,
Grade,4,,,,,0,,,
Median,4,,,,,12,,,
Offset,4,,,,,0,,,
TWLTL,4,,,,,0,,,
Crosswalk Width,4,,,,,16,,,
Mandatory Distance,4,,,,,200,,,
