[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,294,1204,0,,,,,,
2,0,1230,945,0,,,,,,
3,0,2731,777,0,,,,,,
4,2,2952,559,0,,,,,,
5,1,2740,1045,0,,,,,,
6,2,3909,290,0,,,,,,
7,1,11947,2801,0,,,,,,
8,0,5217,127,0,,,,,,
9,1,5281,744,0,,,,,,
10,1,5191,-115,0,,,,,,
11,2,8419,-641,0,,,,,,
12,0,7363,-360,0,,,,,,
13,1,7369,-56,0,,,,,,
14,1,7393,-465,0,,,,,,
15,0,11462,2327,0,,,,,,
16,1,11270,2522,0,,,,,,
17,1,11920,2027,0,,,,,,
18,1,1188,427,0,,,,,,
19,1,3260,720,0,,,,,,
20,1,1190,1331,0,,,,,,
21,0,809,992,0,,,,,,
22,1,832,649,0,,,,,,
23,1,854,1617,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,,,,21,,,,
Lanes,1,,,,2,,,,
Name,1,,,,,,,,
Distance,1,,,,557,,,,
Speed,1,,,,30,,,,
Time,1,,,,12.7,,,,
Grade,1,,,,0,,,,
Median,1,,,,0,,,,
Offset,1,,,,0,,,,
TWLTL,1,,,,0,,,,
Crosswalk Width,1,,,,16,,,,
Mandatory Distance,1,,,,200,,,,
Mandatory Distance2,1,,,,1320,,,,
Positioning Distance,1,,,,880,,,,
Positioning Distance2,1,,,,1760,,,,
Curve Pt X,1,,,,,,,,
Curve Pt Y,1,,,,,,,,
Curve Pt Z,1,,,,,,,,
Link Is Hidden,1,,,,false,,,,
Street Name Is Hidden,1,,,,false,,,,
Up ID,2,18,20,21,3,,,,
Lanes,2,2,0,3,2,,,,
Name,2,,,,,,,,
Distance,2,520,388,424,1510,,,,
Speed,2,30,30,30,30,,,,
Time,2,11.8,8.8,9.6,34.3,,,,
Grade,2,0,0,0,0,,,,
Median,2,0,0,24,24,,,,
Offset,2,0,0,0,0,,,,
TWLTL,2,0,0,0,0,,,,
Crosswalk Width,2,16,16,16,16,,,,
Mandatory Distance,2,229,229,229,229,,,,
Mandatory Distance2,2,1320,1320,1320,1320,,,,
Positioning Distance,2,880,880,880,880,,,,
Positioning Distance2,2,1760,1760,1760,1760,,,,
Curve Pt X,2,,,,,,,,
Curve Pt Y,2,,,,,,,,
Curve Pt Z,2,,,,,,,,
Link Is Hidden,2,false,false,false,false,,,,
Street Name Is Hidden,2,false,false,false,false,,,,
Up ID,3,4,5,2,19,,,,
Lanes,3,2,2,3,2,,,,
Name,3,,Grandview Ave,,Beale St,,,,
Distance,3,310,268,1510,532,,,,
Speed,3,30,30,30,30,,,,
Time,3,7.0,6.1,34.3,12.1,,,,
Grade,3,0,0,0,0,,,,
Median,3,12,12,12,12,,,,
Offset,3,0,0,0,0,,,,
TWLTL,3,0,0,0,0,,,,
Crosswalk Width,3,16,16,16,16,,,,
Mandatory Distance,3,291,291,291,291,,,,
Mandatory Distance2,3,1320,1320,1320,1320,,,,
Positioning Distance,3,880,880,880,880,,,,
Positioning Distance2,3,1760,1760,1760,1760,,,,
Curve Pt X,3,,,,,,,,
Curve Pt Y,3,,,,,,,,
Curve Pt Z,3,,,,,,,,
Link Is Hidden,3,false,false,false,false,,,,
Street Name Is Hidden,3,false,false,false,false,,,,
Up ID,4,,,,6,,,3,
Lanes,4,,,,2,,,2,
Name,4,,,,,,,,
Distance,4,,,,1031,,,310,
Speed,4,,,,30,,,30,
Time,4,,,,23.4,,,7.0,
Grade,4,,,,0,,,0,
Median,4,,,,0,,,0,
Offset,4,,,,0,,,0,
TWLTL,4,,,,0,,,0,
Crosswalk Width,4,,,,16,,,16,
Mandatory Distance,4,,,,100,,,100,
Mandatory Distance2,4,,,,1320,,,1320,
Positioning Distance,4,,,,880,,,880,
Positioning Distance2,4,,,,1760,,,1760,
Curve Pt X,4,,,,3167,,,,
Curve Pt Y,4,,,,448,,,,
Curve Pt Z,4,,,,0,,,,
Link Is Hidden,4,,,,false,,,false,
Street Name Is Hidden,4,,,,false,,,false,
Up ID,5,3,,,,,,,
Lanes,5,1,,,,,,,
Name,5,Grandview Ave,,,,,,,
Distance,5,268,,,,,,,
Speed,5,30,,,,,,,
Time,5,6.1,,,,,,,
Grade,5,0,,,,,,,
Median,5,0,,,,,,,
Offset,5,0,,,,,,,
TWLTL,5,0,,,,,,,
Crosswalk Width,5,16,,,,,,,
Mandatory Distance,5,200,,,,,,,
Mandatory Distance2,5,1320,,,,,,,
Positioning Distance,5,880,,,,,,,
Positioning Distance2,5,1760,,,,,,,
Curve Pt X,5,,,,,,,,
Curve Pt Y,5,,,,,,,,
Curve Pt Z,5,,,,,,,,
Link Is Hidden,5,false,,,,,,,
Street Name Is Hidden,5,false,,,,,,,
Up ID,6,,,,8,,,4,
Lanes,6,,,,2,,,2,
Name,6,,,,,,,,
Distance,6,,,,1318,,,1031,
Speed,6,,,,30,,,30,
Time,6,,,,30.0,,,23.4,
Grade,6,,,,0,,,0,
Median,6,,,,12,,,0,
Offset,6,,,,0,,,0,
TWLTL,6,,,,0,,,0,
Crosswalk Width,6,,,,16,,,16,
Mandatory Distance,6,,,,100,,,100,
Mandatory Distance2,6,,,,1320,,,1320,
Positioning Distance,6,,,,880,,,880,
Positioning Distance2,6,,,,1760,,,1760,
Curve Pt X,6,,,,,,,3316,
Curve Pt Y,6,,,,,,,728,
Curve Pt Z,6,,,,,,,0,
Link Is Hidden,6,,,,false,,,false,
Street Name Is Hidden,6,,,,false,,,false,
Up ID,7,,,,,15,,,
Lanes,7,,,,,2,,,
Name,7,,,,,,,,
Distance,7,,,,,678,,,
Speed,7,,,,,30,,,
Time,7,,,,,15.4,,,
Grade,7,,,,,0,,,
Median,7,,,,,12,,,
Offset,7,,,,,0,,,
TWLTL,7,,,,,0,,,
Crosswalk Width,7,,,,,16,,,
Mandatory Distance,7,,,,,200,,,
Mandatory Distance2,7,,,,,1320,,,
Positioning Distance,7,,,,,880,,,
Positioning Distance2,7,,,,,1760,,,
Curve Pt X,7,,,,,,,,
Curve Pt Y,7,,,,,,,,
Curve Pt Z,7,,,,,,,,
Link Is Hidden,7,,,,,false,,,
Street Name Is Hidden,7,,,,,false,,,
Up ID,8,10,9,6,12,,,,
Lanes,8,2,1,3,3,,,,
Name,8,,4th St,,,,,,
Distance,8,243,620,1318,2210,,,,
Speed,8,30,30,30,30,,,,
Time,8,5.5,14.1,30.0,50.2,,,,
Grade,8,0,0,0,0,,,,
Median,8,0,0,12,12,,,,
Offset,8,0,0,0,0,,,,
TWLTL,8,0,0,0,0,,,,
Crosswalk Width,8,16,16,16,16,,,,
Mandatory Distance,8,200,200,200,200,,,,
Mandatory Distance2,8,1320,1320,1320,1320,,,,
Positioning Distance,8,880,880,880,880,,,,
Positioning Distance2,8,1760,1760,1760,1760,,,,
Curve Pt X,8,,,,6219,,,,
Curve Pt Y,8,,,,34,,,,
Curve Pt Z,8,,,,0,,,,
Link Is Hidden,8,false,false,false,false,,,,
Street Name Is Hidden,8,false,false,false,false,,,,
Up ID,9,8,,,,,,,
Lanes,9,1,,,,,,,
Name,9,4th St,,,,,,,
Distance,9,620,,,,,,,
Speed,9,30,,,,,,,
Time,9,14.1,,,,,,,
Grade,9,0,,,,,,,
Median,9,0,,,,,,,
Offset,9,0,,,,,,,
TWLTL,9,0,,,,,,,
Crosswalk Width,9,16,,,,,,,
Mandatory Distance,9,200,,,,,,,
Mandatory Distance2,9,1320,,,,,,,
Positioning Distance,9,880,,,,,,,
Positioning Distance2,9,1760,,,,,,,
Curve Pt X,9,,,,,,,,
Curve Pt Y,9,,,,,,,,
Curve Pt Z,9,,,,,,,,
Link Is Hidden,9,false,,,,,,,
Street Name Is Hidden,9,false,,,,,,,
Up ID,10,,8,,,,,,
Lanes,10,,1,,,,,,
