[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,08/25/2021
ScenarioTime,7:56 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,7749,65790,0,,,,,,
3,0,7953,65055,0,,,,,,
4,1,7582,64913,0,,,,,,
5,1,8200,62823,0,,,,,,
6,0,8589,62851,0,,,,,,
7,0,8891,61837,0,,,,,,
8,1,8515,61722,0,,,,,,
9,0,9199,60782,0,,,,,,
10,1,8822,60679,0,,,,,,
11,1,9436,60845,0,,,,,,
12,0,9674,59160,0,,,,,,
13,1,9934,59243,0,,,,,,
14,1,9085,59113,0,,,,,,
17,0,13184,42468,0,,,,,,
18,1,13524,42463,0,,,,,,
19,1,12789,42417,0,,,,,,
20,0,13204,37287,0,,,,,,
21,1,12826,37290,0,,,,,,
22,1,13558,37289,0,,,,,,
23,0,13212,34778,0,,,,,,
24,1,12867,34778,0,,,,,,
25,1,13543,34774,0,,,,,,
26,0,13212,33861,0,,,,,,
27,1,12849,33857,0,,,,,,
28,1,13567,33861,0,,,,,,
29,0,13233,29925,0,,,,,,
30,1,13564,29930,0,,,,,,
31,1,12846,29851,0,,,,,,
33,0,11479,53117,0,,,,,,
34,0,14071,26921,0,,,,,,
35,1,14340,27160,0,,,,,,
36,1,13873,26743,0,,,,,,
37,0,14881,26039,0,,,,,,
38,1,15088,26231,0,,,,,,
39,1,14724,25892,0,,,,,,
40,0,16221,24539,0,,,,,,
41,1,15978,24318,0,,,,,,
42,1,16446,24739,0,,,,,,
43,1,18279,21784,0,,,,,,
44,1,10739,53108,0,,,,,,
45,0,17666,22717,0,,,,,,
46,1,17314,22473,0,,,,,,
47,1,18027,22892,0,,,,,,
48,0,17804,22789,0,,,,,,
49,1,17607,23093,0,,,,,,
50,1,18207,22153,0,,,,,,
51,1,12199,53125,0,,,,,,
54,1,12054,49284,0,,,,,,
55,0,12590,49310,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,3,,,,,,,
Lanes,1,2,,,,,,,
Name,1,SR95,,,,,,,
Distance,1,763,,,,,,,
Speed,1,30,,,,,,,
Time,1,17.3,,,,,,,
Grade,1,0,,,,,,,
Median,1,0,,,,,,,
Offset,1,0,,,,,,,
TWLTL,1,0,,,,,,,
Crosswalk Width,1,16,,,,,,,
Mandatory Distance,1,200,,,,,,,
Mandatory Distance2,1,1320,,,,,,,
Positioning Distance,1,880,,,,,,,
Positioning Distance2,1,1760,,,,,,,
Curve Pt X,1,,,,,,,,
Curve Pt Y,1,,,,,,,,
Curve Pt Z,1,,,,,,,,
Link Is Hidden,1,false,,,,,,,
Street Name Is Hidden,1,false,,,,,,,
Up ID,3,6,1,4,,,,,
Lanes,3,3,3,2,,,,,
Name,3,SR95,SR95,London Bridge Rd,,,,,
Distance,3,2294,763,397,,,,,
Speed,3,30,30,30,,,,,
Time,3,52.1,17.3,9.0,,,,,
Grade,3,0,0,0,,,,,
Median,3,12,12,12,,,,,
Offset,3,0,0,0,,,,,
TWLTL,3,0,0,0,,,,,
Crosswalk Width,3,16,16,16,,,,,
Mandatory Distance,3,229,229,229,,,,,
Mandatory Distance2,3,1320,1320,1320,,,,,
Positioning Distance,3,880,880,880,,,,,
Positioning Distance2,3,1760,1760,1760,,,,,
Curve Pt X,3,,,,,,,,
Curve Pt Y,3,,,,,,,,
Curve Pt Z,3,,,,,,,,
Link Is Hidden,3,false,false,false,,,,,
Street Name Is Hidden,3,false,false,false,,,,,
Up ID,4,,,,3,,,,
Lanes,4,,,,1,,,,
Name,4,,,,London Bridge Rd,,,,
Distance,4,,,,397,,,,
Speed,4,,,,30,,,,
Time,4,,,,9.0,,,,
Grade,4,,,,0,,,,
Median,4,,,,12,,,,
Offset,4,,,,0,,,,
TWLTL,4,,,,0,,,,
Crosswalk Width,4,,,,16,,,,
Mandatory Distance,4,,,,200,,,,
Mandatory Distance2,4,,,,1320,,,,
Positioning Distance,4,,,,880,,,,
Positioning Distance2,4,,,,1760,,,,
Curve Pt X,4,,,,,,,,
Curve Pt Y,4,,,,,,,,
Curve Pt Z,4,,,,,,,,
Link Is Hidden,4,,,,false,,,,
Street Name Is Hidden,4,,,,false,,,,
Up ID,5,,,,6,,,,
Lanes,5,,,,2,,,,
Name,5,,,,Centre Loop,,,,
Distance,5,,,,390,,,,
Speed,5,,,,30,,,,
Time,5,,,,8.9,,,,
Grade,5,,,,0,,,,
