[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,07/09/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,422,651,0,,,,,,
3,0,1044,971,0,,,,,,
4,1,707,1639,0,,,,,,
6,0,1585,-101,0,,,,,,
7,1,1250,-268,0,,,,,,
8,1,1703,-43,0,,,,,,
9,0,5107,3072,0,,,,,,
10,1,3627,-4453,0,,,,,,
11,0,3447,-3881,0,,,,,,
12,1,2889,-4168,0,,,,,,
13,1,3975,-3610,0,,,,,,
14,1,4867,3554,0,,,,,,
15,1,5243,2798,0,,,,,,
16,1,8470,4768,0,,,,,,
17,0,7807,4436,0,,,,,,
18,1,7570,4957,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB
Up ID,1,,,,3
Lanes,1,,,,2
Name,1,,,,Riverside Dr
Distance,1,,,,699
Speed,1,,,,30
Time,1,,,,15.9
Grade,1,,,,0
Median,1,,,,12
Offset,1,,,,0
TWLTL,1,,,,0
Crosswalk Width,1,,,,16
Mandatory Distance,1,,,,200
Mandatory Distance2,1,,,,1320
Positioning Distance,1,,,,880
Positioning Distance2,1,,,,1760
Curve Pt X,1,,,,
Curve Pt Y,1,,,,
Curve Pt Z,1,,,,
Link Is Hidden,1,,,,false
Street Name Is Hidden,1,,,,false
Up ID,3,6,4,1,9
Lanes,3,3,3,3,3
Name,3,SR 95/California Ave,,Riverside Dr,Riverside Dr
Distance,3,1201,748,699,4574
Speed,3,30,30,30,30
Time,3,27.3,17.0,15.9,104.0
Grade,3,0,0,0,0
Median,3,12,12,24,24
Offset,3,0,0,0,0
TWLTL,3,0,0,0,0
Crosswalk Width,3,16,16,16,16
Mandatory Distance,3,304,304,304,304
Mandatory Distance2,3,1320,1320,1320,1320
Positioning Distance,3,880,880,880,880
Positioning Distance2,3,1760,1760,1760,1760
Curve Pt X,3,,,,
Curve Pt Y,3,,,,
Curve Pt Z,3,,,,
