[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/25/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
2,0,9469,10754,0,,,,,,
3,2,6879,5140,0,,,,,,
4,1,8951,10783,0,,,,,,
5,0,17922,12891,0,,,,,,
6,0,10251,10736,0,,,,,,
7,1,10249,10963,0,,,,,,
8,1,9677,17580,0,,,,,,
9,0,11312,10875,0,,,,,,
10,1,10253,10515,0,,,,,,
11,1,11312,11136,0,,,,,,
12,1,11374,10694,0,,,,,,
13,0,9523,12317,0,,,,,,
14,1,9834,12311,0,,,,,,
15,2,9350,12314,0,,,,,,
16,1,9286,12383,0,,,,,,
17,0,9586,14218,0,,,,,,
18,1,9381,14222,0,,,,,,
19,1,9884,14212,0,,,,,,
20,0,9435,9279,0,,,,,,
21,1,9215,9282,0,,,,,,
22,1,9683,9275,0,,,,,,
23,1,18601,13211,0,,,,,,
24,0,8790,7115,0,,,,,,
25,1,8580,7273,0,,,,,,
26,1,9060,6913,0,,,,,,
28,1,17784,13296,0,,,,,,
29,1,18099,12621,0,,,,,,
30,4,9652,16951,0,,,28,40,1,18
31,1,6706,1816,0,,,,,,
32,0,6757,4873,0,,,,,,
33,1,6817,1834,0,,,,,,
34,0,6655,3119,0,,,,,,
35,0,6759,3127,0,,,,,,
36,1,6457,3103,0,,,,,,
37,1,6992,3145,0,,,,,,
38,1,9156,16699,0,,,,,,
39,1,9978,17116,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,2,20,13,4,6,,,,
Lanes,2,4,5,4,4,,,,
Name,2,SR 87,SR 87,Longhorn Rd,SR 260,,,,
Distance,2,1475,1564,519,782,,,,
Speed,2,30,30,30,30,,,,
Time,2,33.5,35.5,11.8,17.8,,,,
Grade,2,0,0,0,0,,,,
Median,2,24,24,36,36,,,,
Offset,2,0,0,0,0,,,,
TWLTL,2,0,0,0,0,,,,
Crosswalk Width,2,16,16,16,16,,,,
Mandatory Distance,2,266,266,266,266,,,,
Mandatory Distance2,2,1320,1320,1320,1320,,,,
Positioning Distance,2,880,880,880,880,,,,
Positioning Distance2,2,1760,1760,1760,1760,,,,
Curve Pt X,2,,,,,,,,
Curve Pt Y,2,,,,,,,,
Curve Pt Z,2,,,,,,,,
Link Is Hidden,2,false,false,false,false,,,,
Street Name Is Hidden,2,false,false,false,false,,,,
Up ID,3,32,,,,,,,24
Lanes,3,*2,,,,,,,*2
Name,3,,,,,,,,
Distance,3,294,,,,,,,2748
Speed,3,30,,,,,,,30
Time,3,6.7,,,,,,,62.5
Grade,3,0,,,,,,,0
Median,3,0,,,,,,,12
Offset,3,0,,,,,,,0
TWLTL,3,0,,,,,,,0
Crosswalk Width,3,16,,,,,,,16
Mandatory Distance,3,100,,,,,,,100
Mandatory Distance2,3,1320,,,,,,,1320
Positioning Distance,3,880,,,,,,,880
Positioning Distance2,3,1760,,,,,,,1760
Curve Pt X,3,,,,,,,,
Curve Pt Y,3,,,,,,,,
Curve Pt Z,3,,,,,,,,
Link Is Hidden,3,false,,,,,,,false
Street Name Is Hidden,3,false,,,,,,,false
Up ID,4,,,,2,,,,
Lanes,4,,,,1,,,,
Name,4,,,,Longhorn Rd,,,,
Distance,4,,,,519,,,,
Speed,4,,,,30,,,,
Time,4,,,,11.8,,,,
Grade,4,,,,0,,,,
Median,4,,,,24,,,,
Offset,4,,,,0,,,,
TWLTL,4,,,,0,,,,
Crosswalk Width,4,,,,16,,,,
Mandatory Distance,4,,,,200,,,,
Mandatory Distance2,4,,,,1320,,,,
Positioning Distance,4,,,,880,,,,
Positioning Distance2,4,,,,1760,,,,
Curve Pt X,4,,,,,,,,
Curve Pt Y,4,,,,,,,,
Curve Pt Z,4,,,,,,,,
Link Is Hidden,4,,,,false,,,,
Street Name Is Hidden,4,,,,false,,,,
Up ID,5,29,28,9,23,,,,
Lanes,5,1,2,4,4,,,,
Name,5,,,,,,,,
Distance,5,323,434,7026,751,,,,
Speed,5,30,30,30,30,,,,
Time,5,7.3,9.9,159.7,17.1,,,,
Grade,5,0,0,0,0,,,,
Median,5,12,12,12,12,,,,
Offset,5,0,0,0,0,,,,
TWLTL,5,0,0,0,0,,,,
Crosswalk Width,5,16,16,16,16,,,,
Mandatory Distance,5,320,320,320,320,,,,
Mandatory Distance2,5,1320,1320,1320,1320,,,,
Positioning Distance,5,880,880,880,880,,,,
Positioning Distance2,5,1760,1760,1760,1760,,,,
Curve Pt X,5,,17781,12925,,,,,
Curve Pt Y,5,,13121,11268,,,,,
Curve Pt Z,5,,0,0,,,,,
Link Is Hidden,5,false,false,false,false,,,,
Street Name Is Hidden,5,false,false,false,false,,,,
Up ID,6,10,7,2,9,,,,
Lanes,6,1,2,4,4,,,,
Name,6,,,SR 260,SR 260,,,,
Distance,6,221,227,782,1075,,,,
Speed,6,30,30,30,30,,,,
Time,6,5.0,5.2,17.8,24.4,,,,
Grade,6,0,0,0,0,,,,
Median,6,0,0,12,12,,,,
Offset,6,0,0,0,0,,,,
TWLTL,6,0,0,0,0,,,,
Crosswalk Width,6,16,16,16,16,,,,
Mandatory Distance,6,229,229,229,229,,,,
