[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,374,975,0,,,,,,
2,1,1629,969,0,,,,,,
3,0,1001,972,0,,,,,,
4,1,990,-285,0,,,,,,
5,2,1013,2244,0,,,,,,
6,2,3408,8965,0,,,,,,
7,1,10366,8913,0,,,,,,
8,3,7477,8957,0,,,,,,
9,1,8840,7023,0,,,,,,
10,1,1648,10768,0,,,,,,
11,1,2825,9322,0,,,,,,
12,0,2780,9240,0,,,,,,
13,2,2222,8113,0,,,,,,
14,2,1032,5277,0,,,,,,
15,2,1049,5588,0,,,,,,
16,2,1030,5220,0,,,,,,
17,3,6340,8959,0,,,,,,
18,1,6339,8694,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NW,SE
Up ID,1,,,,3,,
Lanes,1,,,,1,,
Name,1,,,,Central Ave,,
Distance,1,,,,627,,
Speed,1,,,,30,,
Time,1,,,,14.3,,
Grade,1,,,,0,,
Median,1,,,,12,,
Offset,1,,,,0,,
TWLTL,1,,,,0,,
Crosswalk Width,1,,,,16,,
Mandatory Distance,1,,,,200,,
Mandatory Distance2,1,,,,1320,,
Positioning Distance,1,,,,880,,
Positioning Distance2,1,,,,1760,,
Curve Pt X,1,,,,,,
Curve Pt Y,1,,,,,,
Curve Pt Z,1,,,,,,
Link Is Hidden,1,,,,false,,
Street Name Is Hidden,1,,,,false,,
Up ID,2,,,3,,,
Lanes,2,,,1,,,
Name,2,,,Central Ave,,,
Distance,2,,,628,,,
Speed,2,,,30,,,
Time,2,,,14.3,,,
Grade,2,,,0,,,
Median,2,,,12,,,
Offset,2,,,0,,,
TWLTL,2,,,0,,,
Crosswalk Width,2,,,16,,,
Mandatory Distance,2,,,200,,,
Mandatory Distance2,2,,,1320,,,
Positioning Distance,2,,,880,,,
Positioning Distance2,2,,,1760,,,
Curve Pt X,2,,,,,,
Curve Pt Y,2,,,,,,
Curve Pt Z,2,,,,,,
Link Is Hidden,2,,,false,,,
Street Name Is Hidden,2,,,false,,,
