[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,9015,11337,0,,,,,,
2,0,9480,11337,0,,,,,,
3,1,9385,10790,0,,,,,,
4,1,9065,10785,0,,,,,,
5,1,9128,11905,0,,,,,,
6,1,9375,11905,0,,,,,,
8,1,8170,11342,0,,,,,,
9,1,10275,11070,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,SE
Up ID,1,4,5,8,2,
Lanes,1,0,4,5,4,
Name,1,,EB Ramp,Cortaro,,
Distance,1,554,579,845,465,
Speed,1,30,30,30,30,
Time,1,12.6,13.2,19.2,10.6,
Grade,1,0,0,0,0,
Median,1,12,12,12,12,
Offset,1,0,0,0,0,
TWLTL,1,0,0,0,0,
Crosswalk Width,1,16,16,16,16,
Mandatory Distance,1,375,375,375,375,
Mandatory Distance2,1,1320,1320,1320,1320,
Positioning Distance,1,880,880,880,880,
Positioning Distance2,1,1760,1760,1760,1760,
Curve Pt X,1,,,,,
Curve Pt Y,1,,,,,
Curve Pt Z,1,,,,,
Link Is Hidden,1,false,false,false,false,
Street Name Is Hidden,1,false,false,false,false,
Up ID,2,3,6,1,9,
Lanes,2,4,0,3,4,
Name,2,WB Ramp,,,Cortaro,
Distance,2,555,578,465,852,
Speed,2,30,30,30,30,
Time,2,12.6,13.1,10.6,19.4,
Grade,2,0,0,0,0,
Median,2,24,24,12,12,
Offset,2,0,0,0,0,
TWLTL,2,0,0,0,0,
Crosswalk Width,2,16,16,16,16,
Mandatory Distance,2,375,375,375,375,
Mandatory Distance2,2,1320,1320,1320,1320,
Positioning Distance,2,880,880,880,880,
Positioning Distance2,2,1760,1760,1760,1760,
Curve Pt X,2,,,,9813,
Curve Pt Y,2,,,,11323,
Curve Pt Z,2,,,,0,
Link Is Hidden,2,false,false,false,false,
Street Name Is Hidden,2,false,false,false,false,
Up ID,3,,2,,,
Lanes,3,,0,,,
Name,3,,WB Ramp,,,
Distance,3,,555,,,
Speed,3,,30,,,
Time,3,,12.6,,,
Grade,3,,0,,,
Median,3,,0,,,
Offset,3,,0,,,
TWLTL,3,,0,,,
Crosswalk Width,3,,16,,,
Mandatory Distance,3,,200,,,
Mandatory Distance2,3,,1320,,,
Positioning Distance,3,,880,,,
Positioning Distance2,3,,1760,,,
Curve Pt X,3,,,,,
Curve Pt Y,3,,,,,
Curve Pt Z,3,,,,,
Link Is Hidden,3,,false,,,
Street Name Is Hidden,3,,false,,,
Up ID,4,,1,,,
Lanes,4,,2,,,
Name,4,,,,,
Distance,4,,554,,,
Speed,4,,30,,,
Time,4,,12.6,,,
Grade,4,,0,,,
Median,4,,0,,,
Offset,4,,0,,,
TWLTL,4,,0,,,
Crosswalk Width,4,,16,,,
Mandatory Distance,4,,200,,,
Mandatory Distance2,4,,1320,,,
Positioning Distance,4,,880,,,
Positioning Distance2,4,,1760,,,
Curve Pt X,4,,,,,
Curve Pt Y,4,,,,,
Curve Pt Z,4,,,,,
Link Is Hidden,4,,false,,,
Street Name Is Hidden,4,,false,,,
Up ID,5,1,,,,
Lanes,5,0,,,,
Name,5,EB Ramp,,,,
Distance,5,579,,,,
Speed,5,30,,,,
Time,5,13.2,,,,
Grade,5,0,,,,
Median,5,0,,,,
Offset,5,0,,,,
TWLTL,5,0,,,,
Crosswalk Width,5,16,,,,
Mandatory Distance,5,200,,,,
Mandatory Distance2,5,1320,,,,
Positioning Distance,5,880,,,,
Positioning Distance2,5,1760,,,,
Curve Pt X,5,,,,,
Curve Pt Y,5,,,,,
Curve Pt Z,5,,,,,
Link Is Hidden,5,false,,,,
Street Name Is Hidden,5,false,,,,
Up ID,6,2,,,,
Lanes,6,1,,,,
Name,6,,,,,
Distance,6,578,,,,
Speed,6,30,,,,
Time,6,13.1,,,,
Grade,6,0,,,,
Median,6,0,,,,
Offset,6,0,,,,
TWLTL,6,0,,,,
Crosswalk Width,6,16,,,,
Mandatory Distance,6,200,,,,
Mandatory Distance2,6,1320,,,,
Positioning Distance,6,880,,,,
Positioning Distance2,6,1760,,,,
Curve Pt X,6,,,,,
Curve Pt Y,6,,,,,
Curve Pt Z,6,,,,,
Link Is Hidden,6,false,,,,
Street Name Is Hidden,6,false,,,,
Up ID,8,,,,1,
Lanes,8,,,,3,
Name,8,,,,Cortaro,
Distance,8,,,,845,
Speed,8,,,,30,
Time,8,,,,19.2,
Grade,8,,,,0,
Median,8,,,,0,
Offset,8,,,,0,
TWLTL,8,,,,0,
Crosswalk Width,8,,,,16,
Mandatory Distance,8,,,,200,
Mandatory Distance2,8,,,,1320,
Positioning Distance,8,,,,880,
Positioning Distance2,8,,,,1760,
Curve Pt X,8,,,,,
Curve Pt Y,8,,,,,
Curve Pt Z,8,,,,,
Link Is Hidden,8,,,,false,
Street Name Is Hidden,8,,,,false,
Up ID,9,,,,,2
Lanes,9,,,,,2
Name,9,,,,,Cortaro
Distance,9,,,,,852
Speed,9,,,,,30
Time,9,,,,,19.4
Grade,9,,,,,0
Median,9,,,,,0
Offset,9,,,,,0
TWLTL,9,,,,,0
Crosswalk Width,9,,,,,16
Mandatory Distance,9,,,,,200
Mandatory Distance2,9,,,,,1320
Positioning Distance,9,,,,,880
Positioning Distance2,9,,,,,1760
Curve Pt X,9,,,,,10050
Curve Pt Y,9,,,,,11227
Curve Pt Z,9,,,,,0
Link Is Hidden,9,,,,,false
Street Name Is Hidden,9,,,,,false

[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,PED,HOLD
Up Node,1,4,4,4,5,5,5,8,8,8,2,2,2,,
Dest Node,1,8,5,2,2,4,8,5,2,4,4,8,5,,
Lanes,1,0,0,0,1,2,1,0,3,2,1,3,0,,
Shared,1,0,0,,0,1,,0,0,,0,1,,,
Width,1,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,1,,,,,,,,,500,,,,,
Taper,1,,,,,,,,,25,,,,,
StLanes,1,,,,,,,,,2,,,,,
Grade,1,,,,,,,,,,,,,,
Speed,1,,30,,,30,,,30,,,30,,,
Phase1,1,,,,4,4,,,2,,3,3,,,
Phase2,1,,,,,,,,,,,6,,,
PermPhase1,1,,,,,,4,,,4,,,,,
LostTime,1,4,4,4,4.5,4.5,4.5,4,4.5,4.5,4.5,4.5,4,,
Lost Time Adjust,1,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,1,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,1,0,0,0,1610,3309,1583,0,5085,2787,1522,4801,0,,
SatFlowPerm,1,0,0,0,1610,3309,1583,0,5085,2787,1522,4508,0,,
Allow RTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,1,0,0,0,0,0,288,0,0,404,0,0,0,,
Volume,1,0,0,0,237,119,265,0,635,372,279,1076,0,,
