[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,05/19/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,3,2405,-1648,0,,,,,,
2,3,2398,-2913,0,,,,,,
3,0,2390,-4253,0,,,,,,
4,3,4431,-4273,0,,,,,,
5,3,4910,-4270,0,,,,,,
6,3,7680,-4267,0,,,,,,
7,3,2395,-3490,0,,,,,,
8,3,2387,-3846,0,,,,,,
9,3,3085,-4256,0,,,,,,
10,3,3770,-4260,0,,,,,,
11,1,3431,-2891,0,,,,,,
12,1,2411,-701,0,,,,,,
13,1,7681,-3011,0,,,,,,
14,1,1571,-4251,0,,,,,,
15,1,4419,-4964,0,,,,,,
16,1,9421,-4271,0,,,,,,
17,1,4896,-4948,0,,,,,,
18,1,7677,-4784,0,,,,,,
19,1,81,-1641,0,,,,,,
20,1,2797,-3484,0,,,,,,
21,1,3451,-1651,0,,,,,,
22,1,2811,-3839,0,,,,,,
23,1,4416,-3691,0,,,,,,
24,1,2381,-5791,0,,,,,,
25,1,3100,-3778,0,,,,,,
26,1,81,-2961,0,,,,,,
27,1,3767,-3815,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB
Up ID,1,2,12,19,21
Lanes,1,3,4,1,1
Name,1,State Route 387,State Route 387,Hopi Drive,Hopi Drive
Distance,1,1265,947,2324,1046
Speed,1,45,45,25,25
Time,1,19.2,14.3,63.4,28.5
Grade,1,0,0,0,0
Median,1,12,12,0,0
Offset,1,0,0,0,0
TWLTL,1,0,0,0,0
Crosswalk Width,1,16,16,16,16
Mandatory Distance,1,200,200,200,200
Mandatory Distance2,1,1980,1980,1101,1101
Positioning Distance,1,1320,1320,734,734
Positioning Distance2,1,2640,2640,1468,1468
Curve Pt X,1,,,,
Curve Pt Y,1,,,,
Curve Pt Z,1,,,,
Link Is Hidden,1,false,false,false,false
Street Name Is Hidden,1,false,false,false,false
Up ID,2,7,1,26,11
Lanes,2,3,3,2,1
Name,2,State Route 387,State Route 387,Havasupai Drive,Havasupai Drive
Distance,2,577,1265,2317,1033
Speed,2,30,30,25,25
Time,2,13.1,28.8,63.2,28.2
Grade,2,0,0,0,0
Median,2,12,12,0,0
Offset,2,0,0,0,0
TWLTL,2,0,0,0,0
Crosswalk Width,2,16,16,16,16
Mandatory Distance,2,200,200,200,200
Mandatory Distance2,2,1320,1320,1101,1101
Positioning Distance,2,880,880,734,734
Positioning Distance2,2,1760,1760,1468,1468
Curve Pt X,2,,,,
Curve Pt Y,2,,,,
Curve Pt Z,2,,,,
Link Is Hidden,2,false,false,false,false
Street Name Is Hidden,2,false,false,false,false
Up ID,3,24,8,14,9
Lanes,3,4,4,2,2
Name,3,State Route 387,State Route 387,Val Vista Boulevard,Val Vista Boulevard
Distance,3,1538,407,819,695
Speed,3,45,45,45,45
Time,3,23.3,6.2,12.4,10.5
Grade,3,0,0,0,0
Median,3,12,12,12,12
Offset,3,0,0,0,0
TWLTL,3,0,0,0,0
Crosswalk Width,3,16,16,16,16
Mandatory Distance,3,458,458,458,458
Mandatory Distance2,3,1980,1980,1980,1980
Positioning Distance,3,1320,1320,1320,1320
Positioning Distance2,3,2640,2640,2640,2640
Curve Pt X,3,,,,
Curve Pt Y,3,,,,
Curve Pt Z,3,,,,
Link Is Hidden,3,false,false,false,false
Street Name Is Hidden,3,false,true,false,false
Up ID,4,15,23,10,5
Lanes,4,1,1,2,2
Name,4,West CGPD Driveway,Driveway E,Val Vista Boulevard,Val Vista Boulevard
Distance,4,691,582,661,479
Speed,4,25,30,45,45
Time,4,18.8,13.2,10.0,7.3
Grade,4,0,0,0,0
Median,4,0,0,0,0
Offset,4,0,0,0,0
TWLTL,4,0,0,0,1
Crosswalk Width,4,16,16,16,16
Mandatory Distance,4,200,200,200,200
Mandatory Distance2,4,1101,1320,1980,1980
Positioning Distance,4,734,880,1320,1320
Positioning Distance2,4,1468,1760,2640,2640
Curve Pt X,4,,,,
Curve Pt Y,4,,,,
Curve Pt Z,4,,,,
Link Is Hidden,4,false,false,false,false
