[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,08/28/2023
ScenarioTime,10:52 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,3671,8231,0,,,,,,
2,1,5110,8629,0,,,,,,
3,0,4507,8340,0,,,,,,
4,1,4493,8585,0,,,,,,
5,1,4588,8008,0,,,,,,
6,3,-10209,4050,0,,,,,,
7,0,3701,8356,0,,,,,,
8,1,3701,8548,0,,,,,,
9,0,36,8837,0,,,,,,
10,0,1443,8710,0,,,,,,
11,1,1434,9006,0,,,,,,
12,1,1451,8453,0,,,,,,
13,1,-10083,4254,0,,,,,,
14,0,-1294,8642,0,,,,,,
15,1,-1309,8967,0,,,,,,
16,1,-1276,8264,0,,,,,,
17,1,46,9161,0,,,,,,
18,1,44,8349,0,,,,,,
20,0,-2767,8437,0,,,,,,
21,1,-2751,8308,0,,,,,,
22,1,-2823,8736,0,,,,,,
24,0,-6068,7857,0,,,,,,
25,1,-6126,8154,0,,,,,,
26,1,-5940,7607,0,,,,,,
30,1,-10853,3373,0,,,,,,
31,0,-9969,3859,0,,,,,,
32,1,-10454,4206,0,,,,,,
33,1,-9883,3503,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW
Up ID,1,,7,,,,
Lanes,1,,1,,,,
Name,1,,,,,,
Distance,1,,129,,,,
Speed,1,,30,,,,
Time,1,,2.9,,,,
Grade,1,,0,,,,
Median,1,,0,,,,
Offset,1,,0,,,,
TWLTL,1,,0,,,,
Crosswalk Width,1,,16,,,,
Mandatory Distance,1,,200,,,,
Mandatory Distance2,1,,1320,,,,
Positioning Distance,1,,880,,,,
Positioning Distance2,1,,1760,,,,
Curve Pt X,1,,,,,,
Curve Pt Y,1,,,,,,
Curve Pt Z,1,,,,,,
Link Is Hidden,1,,false,,,,
Street Name Is Hidden,1,,false,,,,
Up ID,2,,,,,3,
Lanes,2,,,,,*2,
Name,2,,,,,SR 89A,
Distance,2,,,,,679,
Speed,2,,,,,30,
Time,2,,,,,15.4,
Grade,2,,,,,0,
Median,2,,,,,12,
Offset,2,,,,,0,
TWLTL,2,,,,,0,
Crosswalk Width,2,,,,,16,
Mandatory Distance,2,,,,,200,
Mandatory Distance2,2,,,,,1320,
Positioning Distance,2,,,,,880,
Positioning Distance2,2,,,,,1760,
Curve Pt X,2,,,,,5004,
Curve Pt Y,2,,,,,8539,
Curve Pt Z,2,,,,,0,
Link Is Hidden,2,,,,,false,
Street Name Is Hidden,2,,,,,false,
Up ID,3,5,4,7,2,,
Lanes,3,2,2,4,4,,
Name,3,Airport Rd,,SR 89A,SR 89A,,
Distance,3,342,246,813,679,,
Speed,3,30,30,35,35,,
Time,3,7.8,5.6,15.8,13.2,,
Grade,3,0,0,0,0,,
Median,3,12,12,12,12,,
Offset,3,0,0,0,0,,
TWLTL,3,0,0,0,0,,
Crosswalk Width,3,16,16,16,16,,
Mandatory Distance,3,583,583,583,583,,
Mandatory Distance2,3,1320,1320,1539,1539,,
Positioning Distance,3,880,880,1026,1026,,
Positioning Distance2,3,1760,1760,2052,2052,,
Curve Pt X,3,,4488,4242,4949,,
Curve Pt Y,3,,8414,8301,8460,,
Curve Pt Z,3,,0,0,0,,
Link Is Hidden,3,false,false,false,false,,
Street Name Is Hidden,3,false,false,false,false,,
Up ID,4,3,,,,,
Lanes,4,1,,,,,
Name,4,,,,,,
Distance,4,246,,,,,
Speed,4,30,,,,,
Time,4,5.6,,,,,
Grade,4,0,,,,,
Median,4,0,,,,,
Offset,4,0,,,,,
TWLTL,4,0,,,,,
Crosswalk Width,4,16,,,,,
Mandatory Distance,4,200,,,,,
Mandatory Distance2,4,1320,,,,,
Positioning Distance,4,880,,,,,
Positioning Distance2,4,1760,,,,,
Curve Pt X,4,4511,,,,,
Curve Pt Y,4,8510,,,,,
Curve Pt Z,4,0,,,,,
Link Is Hidden,4,false,,,,,
Street Name Is Hidden,4,false,,,,,
Up ID,5,,3,,,,
Lanes,5,,1,,,,
Name,5,,Airport Rd,,,,
Distance,5,,342,,,,
Speed,5,,30,,,,
Time,5,,7.8,,,,
Grade,5,,0,,,,
Median,5,,0,,,,
Offset,5,,0,,,,
TWLTL,5,,0,,,,
Crosswalk Width,5,,16,,,,
Mandatory Distance,5,,200,,,,
Mandatory Distance2,5,,1320,,,,
Positioning Distance,5,,880,,,,
Positioning Distance2,5,,1760,,,,
Curve Pt X,5,,,,,,
Curve Pt Y,5,,,,,,
Curve Pt Z,5,,,,,,
Link Is Hidden,5,,false,,,,
Street Name Is Hidden,5,,false,,,,
Up ID,6,,13,32,,,31
Lanes,6,,2,2,,,2
Name,6,,,,,,
Distance,6,,240,290,,,314
Speed,6,,30,30,,,30
Time,6,,5.5,6.6,,,7.1
Grade,6,,0,0,,,0
Median,6,,12,0,,,24
Offset,6,,0,0,,,0
TWLTL,6,,0,0,,,0
Crosswalk Width,6,,16,16,,,16
Mandatory Distance,6,,200,200,,,200
Mandatory Distance2,6,,1320,1320,,,1320
Positioning Distance,6,,880,880,,,880
Positioning Distance2,6,,1760,1760,,,1760
Curve Pt X,6,,,,,,-10172
Curve Pt Y,6,,,,,,4007
Curve Pt Z,6,,,,,,0
Link Is Hidden,6,,false,false,,,false
Street Name Is Hidden,6,,false,false,,,false
Up ID,7,1,8,10,3,,
Lanes,7,1,2,3,3,,
Name,7,,Soldiers Pass,,SR 89A,,
Distance,7,129,192,2286,813,,
Speed,7,30,30,35,35,,
Time,7,2.9,4.4,44.5,15.8,,
Grade,7,0,0,0,0,,
Median,7,12,12,12,12,,
Offset,7,0,0,0,0,,
TWLTL,7,0,0,0,0,,
Crosswalk Width,7,16,16,16,16,,
Mandatory Distance,7,583,583,583,583,,
Mandatory Distance2,7,1320,1320,1539,1539,,
Positioning Distance,7,880,880,1026,1026,,
Positioning Distance2,7,1760,1760,2052,2052,,
Curve Pt X,7,,,,3967,,
Curve Pt Y,7,,,,8273,,
Curve Pt Z,7,,,,0,,
Link Is Hidden,7,false,false,false,false,,
Street Name Is Hidden,7,false,false,false,false,,
Up ID,8,7,,,,,
Lanes,8,1,,,,,
Name,8,Soldiers Pass,,,,,
Distance,8,192,,,,,
Speed,8,30,,,,,
Time,8,4.4,,,,,
Grade,8,0,,,,,
Median,8,12,,,,,
Offset,8,0,,,,,
TWLTL,8,0,,,,,
Crosswalk Width,8,16,,,,,
Mandatory Distance,8,200,,,,,
Mandatory Distance2,8,1320,,,,,
Positioning Distance,8,880,,,,,
Positioning Distance2,8,1760,,,,,
Curve Pt X,8,,,,,,
Curve Pt Y,8,,,,,,
Curve Pt Z,8,,,,,,
Link Is Hidden,8,false,,,,,
Street Name Is Hidden,8,false,,,,,
Up ID,9,18,17,14,10,,
Lanes,9,3,3,4,4,,
Name,9,Coffee Pot Dr,,SR 89A,SR 89A,,
Distance,9,488,324,1344,1418,,
Speed,9,30,30,35,35,,
Time,9,11.1,7.4,26.2,27.6,,
Grade,9,0,0,0,0,,
Median,9,12,12,12,12,,
Offset,9,0,0,0,0,,
TWLTL,9,0,0,0,0,,
Crosswalk Width,9,16,16,16,16,,
Mandatory Distance,9,583,583,583,583,,
Mandatory Distance2,9,1320,1320,1539,1539,,
Positioning Distance,9,880,880,1026,1026,,
Positioning Distance2,9,1760,1760,2052,2052,,
Curve Pt X,9,,,-395,549,,
Curve Pt Y,9,,,8767,8869,,
Curve Pt Z,9,,,0,0,,
Link Is Hidden,9,false,false,false,false,,
Street Name Is Hidden,9,false,false,false,false,,
Up ID,10,12,11,9,7,,
Lanes,10,2,2,3,3,,
Name,10,Mountain Shadows Dr,,SR 89A,SR 89A,,
Distance,10,257,296,1418,2286,,
Speed,10,30,30,35,35,,
Time,10,5.8,6.7,27.6,44.5,,
Grade,10,0,0,0,0,,
Median,10,12,12,12,12,,
Offset,10,0,0,0,0,,
TWLTL,10,0,0,0,0,,
Crosswalk Width,10,16,16,16,16,,
Mandatory Distance,10,583,583,583,583,,
Mandatory Distance2,10,1320,1320,1539,1539,,
Positioning Distance,10,880,880,1026,1026,,
Positioning Distance2,10,1760,1760,2052,2052,,
Curve Pt X,10,,,941,,,
Curve Pt Y,10,,,8805,,,
Curve Pt Z,10,,,0,,,
Link Is Hidden,10,false,false,false,false,,
Street Name Is Hidden,10,false,false,false,false,,
Up ID,11,10,,,,,
Lanes,11,1,,,,,
Name,11,,,,,,
Distance,11,296,,,,,
Speed,11,30,,,,,
Time,11,6.7,,,,,
Grade,11,0,,,,,
Median,11,12,,,,,
Offset,11,0,,,,,
TWLTL,11,0,,,,,
Crosswalk Width,11,16,,,,,
Mandatory Distance,11,200,,,,,
Mandatory Distance2,11,1320,,,,,
Positioning Distance,11,880,,,,,
Positioning Distance2,11,1760,,,,,
Curve Pt X,11,,,,,,
Curve Pt Y,11,,,,,,
Curve Pt Z,11,,,,,,
Link Is Hidden,11,false,,,,,
Street Name Is Hidden,11,false,,,,,
Up ID,12,,10,,,,
Lanes,12,,1,,,,
Name,12,,Mountain Shadows Dr,,,,
Distance,12,,257,,,,
Speed,12,,30,,,,
Time,12,,5.8,,,,
Grade,12,,0,,,,
Median,12,,12,,,,
Offset,12,,0,,,,
TWLTL,12,,0,,,,
Crosswalk Width,12,,16,,,,
Mandatory Distance,12,,200,,,,
Mandatory Distance2,12,,1320,,,,
Positioning Distance,12,,880,,,,
Positioning Distance2,12,,1760,,,,
Curve Pt X,12,,,,,,
Curve Pt Y,12,,,,,,
Curve Pt Z,12,,,,,,
Link Is Hidden,12,,false,,,,
Street Name Is Hidden,12,,false,,,,
Up ID,13,6,,,,,
Lanes,13,0,,,,,
Name,13,,,,,,
Distance,13,240,,,,,
Speed,13,30,,,,,
Time,13,5.5,,,,,
Grade,13,0,,,,,
Median,13,0,,,,,
Offset,13,0,,,,,
TWLTL,13,0,,,,,
Crosswalk Width,13,16,,,,,
Mandatory Distance,13,200,,,,,
Mandatory Distance2,13,1320,,,,,
Positioning Distance,13,880,,,,,
Positioning Distance2,13,1760,,,,,
Curve Pt X,13,,,,,,
