INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed,x_coord,y_coord,INTID_base,TYPE_DESC
1,1,3671,8231,0,,,,,,,-111.78330883307751,34.86223688260402,0,External Node
2,1,5110,8629,0,,,,,,,-111.77850156566636,34.86356648123477,0,External Node
3,0,4507,8340,0,,,,,,,-111.78051600781293,34.86260101891244,1,Signalized
4,1,4493,8585,0,,,,,,,-111.78056277761402,34.86341949043137,0,External Node
5,1,4588,8008,0,,,,,,,-111.78024541110668,34.8614919064868,0,External Node
6,3,-10209,4050,0,,,,,,,-111.82967775014966,34.848269415581065,0,Unsignalized
7,0,3701,8356,0,,,,,,,-111.7832086120752,34.86265447011368,0,Signalized
8,1,3701,8548,0,,,,,,,-111.7832086120752,34.86329588452851,0,External Node
9,0,36,8837,0,,,,,,,-111.79545227785829,34.86426134685083,0,Signalized
10,0,1443,8710,0,,,,,,,-111.79075191284961,34.86383707794102,0,Signalized
11,1,1434,9006,0,,,,,,,-111.79078197915031,34.864825925163885,0,External Node
12,1,1451,8453,0,,,,,,,-111.790725187249,34.86297851802117,0,External Node
13,1,-10083,4254,0,,,,,,,-111.82925682193992,34.848950918396824,0,External Node
14,0,-1294,8642,0,,,,,,,-111.79989540896102,34.86360991033577,0,Signalized
15,1,-1309,8967,0,,,,,,,-111.79994551946218,34.864695637860876,0,External Node
16,1,-1276,8264,0,,,,,,,-111.79983527635963,34.86234712570657,0,External Node
17,1,46,9161,0,,,,,,,-111.79541887085752,34.86534373367586,0,External Node
18,1,44,8349,0,,,,,,,-111.79542555225767,34.86263108521314,0,External Node
20,0,-2767,8437,0,,,,,,,-111.8048162601748,34.86292506681993,0,Signalized
21,1,-2751,8308,0,,,,,,,-111.80476280897358,34.86249411650997,0,External Node
22,1,-2823,8736,0,,,,,,,-111.80500333937913,34.86392393614303,0,External Node
24,0,-6068,7857,0,,,,,,,-111.81584391112979,34.860987460775135,0,Signalized
25,1,-6126,8154,0,,,,,,,-111.81603767173426,34.861979648698075,0,External Node
26,1,-5940,7607,0,,,,,,,-111.8154163015199,34.860152285755824,0,External Node
30,1,-10853,3373,0,,,,,,,-111.8318291609994,34.84600776162877,0,External Node
31,0,-9969,3859,0,,,,,,,-111.82887598213112,34.84763134186631,0,Signalized
32,1,-10454,4206,0,,,,,,,-111.83049622166858,34.84879056479311,0,External Node
33,1,-9883,3503,0,,,,,,,-111.82858868192447,34.846442052638814,0,External Node
