node_id,mvmt_id,offroad_link_id,phase_num,protection,mvmt_text_id
1,1,,1,Protected,EBL
1,6,,6,Protected,EBT
1,61,,6,RTOR,EBR
1,5,,5,Protected,WBL
1,2,,2,Protected,WBT
1,21,,2,RTOR,WBR
1,3,,3,Protected,NBL
1,8,,8,Protected,NBT
1,81,,8,RTOR,NBR
1,7,,7,Protected,SBL
1,4,,4,Protected,SBT
1,41,,4,RTOR,SBR
7,1,,1,Protected,EBL
7,6,,6,Protected,EBT
7,61,,6,RTOR,EBR
7,5,,5,Protected,WBL
7,2,,2,Protected,WBT
7,21,,2,RTOR,WBR
7,3,,3,Protected,NBL
7,8,,8,Protected,NBT
7,81,,8,RTOR,NBR
7,7,,7,Protected,SBL
7,4,,4,Protected,SBT
7,41,,4,RTOR,SBR
9,1,,1,Protected,EBL
9,6,,6,Protected,EBT
9,61,,6,RTOR,EBR
9,5,,5,Protected,WBL
9,2,,2,Protected,WBT
9,21,,2,RTOR,WBR
9,3,,3,Protected,NBL
9,8,,8,Protected,NBT
9,81,,8,RTOR,NBR
9,7,,7,Protected,SBL
9,4,,4,Protected,SBT
9,41,,4,RTOR,SBR
11,1,,1,Protected,EBL
11,6,,6,Protected,EBT
11,61,,6,RTOR,EBR
11,5,,5,Protected,WBL
11,2,,2,Protected,WBT
11,21,,2,RTOR,WBR
11,3,,3,Protected,NBL
11,8,,8,Protected,NBT
11,81,,8,RTOR,NBR
11,7,,7,Protected,SBL
11,4,,4,Protected,SBT
11,41,,4,RTOR,SBR
13,1,,1,Protected,EBL
13,6,,6,Protected,EBT
13,61,,6,RTOR,EBR
13,5,,5,Protected,WBL
13,2,,2,Protected,WBT
13,21,,2,RTOR,WBR
13,3,,3,Protected,NBL
13,8,,8,Protected,NBT
13,81,,8,RTOR,NBR
13,7,,7,Protected,SBL
13,4,,4,Protected,SBT
13,41,,4,RTOR,SBR
17,9,,9,Protected,EBL
17,6,,6,Protected,EBT
17,61,,6,RTOR,EBR
17,5,,5,Protected,WBL
17,2,,2,Protected,WBT
17,21,,2,RTOR,WBR
17,4,,4,Protected,SBL
17,41,,4,RTOR,SBR
21,7,,7,Protected,EBL
21,4,,4,Protected,EBT
21,41,,4,RTOR,EBR
21,3,,3,Protected,WBL
21,8,,8,Protected,WBT
21,81,,8,RTOR,WBR
21,5,,5,Protected,NBL
21,2,,2,Protected,NBT
21,21,,2,RTOR,NBR
21,1,,1,Protected,SBL
21,6,,6,Protected,SBT
21,61,,6,RTOR,SBR
25,62,,6,Permissive,EBL
25,6,,6,Protected,EBT
25,61,,6,RTOR,EBR
25,5,,5,Protected,WBL
25,2,,2,Protected,WBT
25,21,,2,RTOR,WBR
25,4,,4,Protected,NBL
26,62,,6,Permissive,EBL
26,6,,6,Protected,EBT
26,61,,6,RTOR,EBR
26,5,,5,Protected,WBL
26,2,,2,Protected,WBT
26,21,,2,RTOR,WBR
26,8,,8,Protected,NBL
27,62,,6,Permissive,EBL
27,6,,6,Protected,EBT
27,61,,6,RTOR,EBR
27,5,,5,Protected,WBL
27,2,,2,Protected,WBT
27,21,,2,RTOR,WBR
27,4,,4,Protected,NBL
28,62,,6,Permissive,EBL
28,6,,6,Protected,EBT
28,61,,6,RTOR,EBR
28,5,,5,Protected,WBL
28,2,,2,Protected,WBT
28,21,,2,RTOR,WBR
28,4,,4,Protected,NBL
31,62,,6,Permissive,EBL
31,6,,6,Protected,EBT
31,61,,6,RTOR,EBR
31,5,,5,Protected,WBL
31,2,,2,Protected,WBT
31,21,,2,RTOR,WBR
31,4,,4,Protected,NBL
33,62,,6,Permissive,EBL
33,6,,6,Protected,EBT
33,61,,6,RTOR,EBR
33,5,,5,Protected/Permissive,WBL
33,2,,2,Protected,WBT
33,21,,2,RTOR,WBR
33,4,,4,Protected,NBL
34,1,,1,Protected,EBL
34,6,,6,Protected,EBT
34,61,,6,RTOR,EBR
34,5,,5,Protected,WBL
34,2,,2,Protected,WBT
34,21,,2,RTOR,WBR
34,3,,3,Protected,NBL
34,8,,8,Protected,NBT
34,81,,8,RTOR,NBR
34,7,,7,Protected,SBL
34,4,,4,Protected,SBT
34,41,,4,RTOR,SBR
36,1,,1,Protected,EBL
36,6,,6,Protected,EBT
36,61,,6,RTOR,EBR
36,5,,5,Protected,WBL
36,2,,2,Protected,WBT
36,21,,2,RTOR,WBR
36,3,,3,Protected,NBL
36,8,,8,Protected,NBT
36,81,,8,RTOR,NBR
36,7,,7,Protected,SBL
36,4,,4,Protected,SBT
36,41,,4,RTOR,SBR
39,12,,1,Permissive,EBL
39,1,,1,Protected,EBT
39,11,,1,RTOR,EBR
39,2,,2,Protected,WBL
39,1,,1,Protected,WBT
39,11,,1,RTOR,WBR
39,3,,3,Protected,NBL
39,21,,2,RTOR,NBR
44,1,,1,Protected,EBL
44,6,,6,Protected,EBT
44,61,,6,RTOR,EBR
44,5,,5,Protected,WBL
44,2,,2,Protected,WBT
44,21,,2,RTOR,WBR
44,7,,7,Protected,NBL
44,4,,4,Protected,NBT
44,41,,4,RTOR,NBR
44,3,,3,Protected,SBL
44,8,,8,Protected,SBT
44,81,,8,RTOR,SBR
