node_id,signal_phase_id,ring,barrier
1,1,1,1
1,2,1,1
1,3,1,2
1,4,1,2
1,5,2,1
1,6,2,1
1,7,2,2
1,8,2,2
7,1,1,1
7,2,1,1
7,3,1,2
7,4,1,2
7,5,2,1
7,6,2,1
7,7,2,2
7,8,2,2
9,1,1,1
9,2,1,1
9,3,1,2
9,4,1,2
9,5,2,1
9,6,2,1
9,7,2,2
9,8,2,2
11,1,1,1
11,2,1,1
11,3,1,2
11,4,1,2
11,5,2,1
11,6,2,1
11,7,2,2
11,8,2,2
13,1,1,1
13,2,1,1
13,3,1,2
13,4,1,2
13,5,2,1
13,6,2,1
13,7,2,2
13,8,2,2
17,1,1,1
17,2,1,1
17,4,1,2
17,5,2,1
17,6,2,1
17,8,2,2
21,1,1,1
21,2,1,1
21,3,1,2
21,4,1,2
21,5,2,1
21,6,2,1
21,7,2,2
21,8,2,2
25,2,1,1
25,4,1,2
25,5,2,1
25,6,2,1
26,2,1,1
26,5,2,1
26,6,2,1
26,8,2,2
27,2,1,1
27,4,1,2
27,5,2,1
27,6,2,1
28,2,1,1
28,4,1,2
28,5,2,1
28,6,2,1
31,2,1,1
31,4,1,2
31,5,2,1
31,6,2,1
33,2,1,1
33,4,1,2
33,5,2,1
33,6,2,1
34,1,1,1
34,2,1,1
34,3,1,2
34,4,1,2
34,5,2,1
34,6,2,1
34,7,2,2
34,8,2,2
36,1,1,1
36,2,1,1
36,3,1,2
36,4,1,2
36,5,2,1
36,6,2,1
36,7,2,2
36,8,2,2
39,1,1,1
39,2,1,1
39,3,1,2
39,4,1,2
44,1,1,1
44,2,1,1
44,3,1,2
44,4,1,2
44,5,2,1
44,6,2,1
44,7,2,2
44,8,2,2
46,2,1,1
46,4,1,2
46,5,2,1
46,6,2,1
49,2,1,1
49,4,1,2
49,5,2,1
49,6,2,1
