timing_phase_id,node_id,signal_phase_num,min_green,max_green,extension,clearance,walk_time,ped_clearance,mvmt_text_id,geometry
1,1,1,6,17,2.5,7,,,EBL,0
1,1,2,15,45.6,3,6.8,0,0,WBT,0
1,1,3,6,8,2.5,6.8,,,NBL,0
1,1,4,6,42.2,2.5,6.6,7,30,SBT,0
1,1,5,6,6,2.5,7,,,WBL,0
1,1,6,15,56.6,3,6.8,7,28,EBT,0
1,1,7,6,9.2,2.5,6.8,,,SBL,0
1,1,8,6,41,2.5,6.6,7,30,NBT,0
1,7,1,6,19.4,2.5,6.8,,,EBL,0
1,7,2,20,43.2,3.5,7,0,0,WBT,0
1,7,3,6,10.5,2.5,7.7,,,NBL,0
1,7,4,7,38.8,3.5,6.6,0,0,SBT,0
1,7,5,6,6.3,2.5,7.1,,,WBL,0
1,7,6,20,55.9,3.5,7.1,7,32,EBT,0
1,7,7,7,7.3,3.5,7.7,,,SBL,0
1,7,8,6,41.6,2.5,7,7,31,NBT,0
1,9,1,6,14.5,2.5,6.7,,,EBL,0
1,9,2,10,49.2,2.5,6.4,0,0,WBT,0
1,9,3,6,6.3,2.5,6.9,,,NBL,0
1,9,4,5,43.2,3,6.8,7,33,SBT,0
1,9,5,6,6.3,2.5,6.7,,,WBL,0
1,9,6,10,57,2.5,6.8,7,16,EBT,0
1,9,7,6,12.1,3,6.9,,,SBL,0
1,9,8,5,37.2,3,7,0,0,NBT,0
1,11,1,6,20.6,2.5,6.3,,,EBL,0
1,11,2,20,48,4,6.4,0,0,WBT,0
1,11,3,6,18.1,2.5,6.5,,,NBL,0
1,11,4,8,27.3,3.6,6.8,0,0,SBT,0
1,11,5,6,18,2,6.3,,,WBL,0
1,11,6,20,50.6,4,6.4,7,17,EBT,0
1,11,7,6,6,2.5,6,,,SBL,0
1,11,8,8,40,2,6.7,7,30,NBT,0
1,13,1,6,6,2,7,,,EBL,0
1,13,2,20,34.4,3.5,7,0,0,WBT,0
1,13,3,6,6,2,7.4,,,NBL,0
1,13,4,7,63,2,9.2,0,0,SBT,0
1,13,5,7,17.1,2,7.9,,,WBL,0
1,13,6,20,22.8,3.5,6.6,0,0,EBT,0
1,13,7,7,7.3,2,7.7,,,SBL,0
1,13,8,6,61.7,2,8.9,7,34,NBT,0
1,17,1,10,18,2.5,6.8,,,,0
1,17,2,15,27.3,2.5,6.6,0,0,WBT,0
1,17,4,8,45,3.5,8,7,35,SBL,0
1,17,5,6,6.3,2.5,7.7,,,WBL,0
1,17,6,15,38.2,2.5,6.5,7,26,EBT,0
1,17,8,8,46,2.5,7.3,7,36,,0
1,21,1,6,7.3,2.5,7.7,,,SBL,0
1,21,2,20,56,3,8.2,7,45,NBT,0
1,21,3,6,6.7,2.5,9,,,WBL,0
1,21,4,7,37.9,3,7.2,7,24,EBT,0
1,21,5,6,9.2,2.5,8.6,,,NBL,0
1,21,6,20,53.3,3,8.1,7,41,SBT,0
1,21,7,6,6.7,2.5,9,,,EBL,0
1,21,8,7,38,3,7.1,7,27,WBT,0
1,25,2,25,100.7,2.5,6.3,0,0,WBT,0
1,25,4,10,26.7,2.5,6.3,0,0,NBL,0
1,25,5,5,10,2.5,6,,,WBL,0
1,25,6,25,84.7,2.5,6.3,7,11,EBT,0
1,26,2,15,87.5,2.5,6.5,0,0,WBT,0
1,26,5,6,22.6,2.5,6.4,,,WBL,0
