node_id,timing_plan_id,time_day,cycle_length,coord_node_id,coord_phase,offset
1,1,00:00_15:00,90,0,206,0
7,1,00:00_15:00,90,0,206,70
9,1,00:00_15:00,90,0,206,75
11,1,00:00_15:00,90,0,206,12
13,1,00:00_15:00,90,0,206,96
17,1,00:00_15:00,90,0,206,24.8
21,1,00:00_15:00,90,0,408,67
25,1,00:00_15:00,90,0,206,114
26,1,00:00_15:00,90,0,206,25
27,1,00:00_15:00,90,0,206,134
28,1,00:00_15:00,90,0,206,59
31,1,00:00_15:00,90,0,206,112
33,1,00:00_15:00,90,0,206,60
34,1,00:00_15:00,90,0,206,45
36,1,00:00_15:00,90,0,206,108
39,1,00:00_15:00,90,0,2,1
44,1,00:00_15:00,90,0,206,19.7
46,1,00:00_15:00,90,0,206,44
49,1,00:00_15:00,90,0,206,52
