osm_node_id,time_window,time_interval,travel_time_delta,capacity,v_over_c,cycle_no,cycle_length,green_time,red_time,stage_no,mvmt_text_id,start_green_time,end_green_time,geometry,
1,000156_000000,None,None,751.3,0.29,0,90,17,73,1,EBL,000156,000000,0,
1,00029_000052.4,None,None,1587,1.05,0,90,35,55,1,EBT,00029,000052.4,0,
1,00029_000052.4,None,None,0,0,0,90,35,55,1,EBR,00029,000052.4,0,
1,000156_00029,None,None,475.9,0.04,0,90,10,80,1,WBL,000156,00029,0,
1,000000_000052.4,None,None,1177.5,1.38,0,90,28,62,1,WBT,000000,000052.4,0,
1,000000_000052.4,None,None,0,0,0,90,28,62,1,WBR,000000,000052.4,0,
1,000052.4_00017.2,None,None,621.5,0.07,0,90,10,80,2,NBL,000052.4,00017.2,0,
1,00018.40000000000001_000156,None,None,1116.8,0.23,0,90,35,55,2,NBT,00018.40000000000001,000156,0,
1,00018.40000000000001_000156,None,None,500,0.066,0,90,35,55,2,NBR,00018.40000000000001,000156,0,
1,000052.4_00018.40000000000001,None,None,621.5,0.16,0,90,10,80,2,SBL,000052.4,00018.40000000000001,0,
1,00017.2_000156,None,None,1116.8,0.12,0,90,35,55,2,SBT,00017.2,000156,0,
1,00017.2_000156,None,None,500,0.076,0,90,35,55,2,SBR,00017.2,000156,0,
7,000043.8_000110,None,None,710,0.26,0,90,14,76,1,EBL,000043.8,000110,0,
7,000057.2_00020.200000000000003,None,None,1631.2,1.15,0,90,36,54,1,EBT,000057.2,00020.200000000000003,0,
7,000057.2_00020.200000000000003,None,None,0,0,0,90,36,54,1,EBR,000057.2,00020.200000000000003,0,
7,000043.8_000057.2,None,None,509.4,0.08,0,90,9,81,1,WBL,000043.8,000057.2,0,
7,000110_00020.200000000000003,None,None,1341.1,0.99,0,90,31,59,1,WBT,000110,00020.200000000000003,0,
7,000110_00020.200000000000003,None,None,0,0,0,90,31,59,1,WBR,000110,00020.200000000000003,0,
7,00020.200000000000003_000218.4,None,None,733.6,0.08,0,90,17,73,2,NBL,00020.200000000000003,000218.4,0,
7,000215.2_000043.8,None,None,1101,0.15,0,90,35,55,2,NBT,000215.2,000043.8,0,
7,000215.2_000043.8,None,None,492,0.042682927,0,90,35,55,2,NBR,000215.2,000043.8,0,
7,00020.200000000000003_000215.2,None,None,466.1,0.12,0,90,10,80,2,SBL,00020.200000000000003,000215.2,0,
7,000218.4_000043.8,None,None,783.5,0.26,0,90,28,62,2,SBT,000218.4,000043.8,0,
7,000218.4_000043.8,None,None,0,0,0,90,28,62,2,SBR,000218.4,000043.8,0,
9,000053.8_000115,None,None,560.5,0.22,0,90,14,76,1,EBL,000053.8,000115,0,
9,00016.8_000210.6,None,None,1195.4,1.53,0,90,28,62,1,EBT,00016.8,000210.6,0,
9,00016.8_000210.6,None,None,0,0,0,90,28,62,1,EBR,00016.8,000210.6,0,
9,000053.8_00016.8,None,None,430.7,0.05,0,90,10,80,1,WBL,000053.8,00016.8,0,
9,000115_000210.6,None,None,1032.1,1.43,0,90,25,65,1,WBT,000115,000210.6,0,
9,000115_000210.6,None,None,0,0,0,90,25,65,1,WBR,000115,000210.6,0,
9,000210.6_000003.8,None,None,592,0.06,0,90,11,79,2,NBL,000210.6,000003.8,0,
9,000009.6_000053.8,None,None,538.2,0.2,0,90,33,57,2,NBT,000009.6,000053.8,0,
9,000009.6_000053.8,None,None,457,0.028446389,0,90,33,57,2,NBR,000009.6,000053.8,0,
9,000210.6_000009.6,None,None,890.9,0.08,0,90,19,71,2,SBL,000210.6,000009.6,0,
9,000003.8_000053.8,None,None,687.2,0.12,0,90,40,50,2,SBT,000003.8,000053.8,0,
9,000003.8_000053.8,None,None,584,0.049657534,0,90,40,50,2,SBR,000003.8,000053.8,0,
