[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,4.0
allRedTime,1.0
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.90
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,04/19/2016
ScenarioTime,9:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,2218665,261695,0,,,,,,
2,0,2218123,260485,0,,,,,,
3,1,2217593,260709,0,,,,,,
4,0,2220558,259441,0,,,,,,
6,1,2220753,259817,0,,,,,,
7,1,2220425,259200,0,,,,,,
8,0,2220921,259267,0,,,,,,
9,1,2221234,259729,0,,,,,,
10,1,2220693,258911,0,,,,,,
11,0,2221511,258983,0,,,,,,
12,1,2221753,259376,0,,,,,,
13,1,2221073,258621,0,,,,,,
14,1,2217675,259472,0,,,,,,
15,1,2224180,257800,0,,,,,,
16,0,2222995,258335,0,,,,,,
17,1,2223350,259066,0,,,,,,
18,1,2222780,257893,0,,,,,,
19,0,2222531,258551,0,,,,,,
20,1,2222680,258909,0,,,,,,
21,1,2222396,258228,0,,,,,,
22,0,2221783,258857,0,,,,,,
23,1,2221951,259192,0,,,,,,
24,1,2221537,258415,0,,,,,,
25,1,2218262,259227,0,,,,,,
33,0,2219297,259995,0,,,,,,
58,1,2220597,261020,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,SW
Up ID,1,2,,,,,
Lanes,1,1,,,,,
Name,1,Hickory Valley Rd.,,,,,
Distance,1,1326,,,,,
Speed,1,45,,,,,
Time,1,20.1,,,,,
Grade,1,0,,,,,
Median,1,*0,,,,,
Offset,1,0,,,,,
TWLTL,1,0,,,,,
Crosswalk Width,1,16,,,,,
Mandatory Distance,1,200,,,,,
Mandatory Distance2,1,1980,,,,,
Positioning Distance,1,1320,,,,,
Positioning Distance2,1,2640,,,,,
Curve Pt X,1,,,,,,
Curve Pt Y,1,,,,,,
Curve Pt Z,1,,,,,,
Link Is Hidden,1,false,,,,,
Street Name Is Hidden,1,false,,,,,
Up ID,2,14,1,3,33,,
Lanes,2,2,2,3,3,,
Name,2,Hickory Valley,Hickory Valley Rd.,Shallowford Rd.,Shallowford Rd.,,
Distance,2,1108,1326,575,1272,,
Speed,2,35,45,40,40,,
Time,2,21.6,20.1,9.8,21.7,,
Grade,2,0,0,0,0,,
Median,2,12,12,*12,*12,,
Offset,2,0,0,0,0,,
TWLTL,2,0,0,1,1,,
Crosswalk Width,2,16,16,16,16,,
Mandatory Distance,2,416,416,416,416,,
Mandatory Distance2,2,1539,1980,1761,1761,,
Positioning Distance,2,1026,1320,1174,1174,,
Positioning Distance2,2,2052,2640,2348,2348,,
Curve Pt X,2,,,,,,
Curve Pt Y,2,,,,,,
Curve Pt Z,2,,,,,,
Link Is Hidden,2,false,false,false,false,,
Street Name Is Hidden,2,false,false,false,false,,
Up ID,3,,,,2,,
Lanes,3,,,,2,,
Name,3,,,,Shallowford Rd.,,
Distance,3,,,,575,,
Speed,3,,,,40,,
Time,3,,,,9.8,,
