Lanes,Name,Distance,Speed,Time,Grade,Median,Offset,TWLTL,Crosswalk Width,Mandatory Distance,Mandatory Distance2,Positioning Distance,Positioning Distance2,Curve Pt X,Curve Pt Y,Curve Pt Z,Link Is Hidden,Street Name Is Hidden,geometry,Link_ID
1,Hickory Valley Rd.,1326,45,20.1,0,*0,0,0,16,200,1980,1320,2640,,,,false,false,"LINESTRING (-85.16447464598933 35.049527055950406, -85.1662850796407 35.04620260000186)",1_2
2,Hickory Valley,1108,35,21.6,0,12,0,0,16,416,1539,1026,2052,,,,false,false,"LINESTRING (-85.1662850796407 35.04620260000186, -85.16778141178172 35.043419377816896)",2_14
3,Shallowford Rd.,575,40,9.8,0,*12,0,1,16,416,1761,1174,2348,,,,false,false,"LINESTRING (-85.1662850796407 35.04620260000186, -85.16805575473296 35.046817884997914)",2_3
3,Shallowford Rd.,1272,40,21.7,0,*12,0,1,16,416,1761,1174,2348,,,,false,false,"LINESTRING (-85.1662850796407 35.04620260000186, -85.16236296269967 35.04485657545937)",2_33
2,Amin Dr.,275,15,12.5,0,*0,0,0,16,416,660,440,880,,,,false,false,"LINESTRING (-85.15815033817577 35.043334590756956, -85.15859463964277 35.04267246719171)",4_7
2,Shallowford Village Dr.,424,20,14.5,0,12,0,0,16,416,879,586,1172,,,,false,false,"LINESTRING (-85.15815033817577 35.043334590756956, -85.15749890527556 35.04436761025218)",4_6
3,Shallowford Rd.,1377,40,23.5,0,*12,0,1,16,416,1761,1174,2348,,,,false,false,"LINESTRING (-85.15815033817577 35.043334590756956, -85.16236296269967 35.04485657545937)",4_33
3,Shallowford Rd.,403,40,6.9,0,*12,0,1,16,416,1761,1174,2348,,,,false,true,"LINESTRING (-85.15815033817577 35.043334590756956, -85.15693769310609 35.04285653757236)",4_8
0,,423,30,9.6,0,12,0,0,16,416,1320,880,1760,,,,false,false,"LINESTRING (-85.15693769310609 35.04285653757236, -85.15769935984692 35.041878469248964)",8_10
3,I-75 SB Off Ramp,558,30,12.7,0,12,0,0,16,416,1320,880,1760,,,,false,false,"LINESTRING (-85.15693769310609 35.04285653757236, -85.1558920441088 35.04412582007064)",8_9
4,Shallowford Rd.,655,40,11.2,0,24,0,0,16,416,1761,1174,2348,,,,false,true,"LINESTRING (-85.15693769310609 35.04285653757236, -85.15496675755963 35.042076240960824)",8_11
0,,462,30,10.5,0,0,0,0,16,416,1320,880,1760,,,,false,false,"LINESTRING (-85.15496675755963 35.042076240960824, -85.15415828267834 35.043155944265244)",11_12
4,Shallowford Rd.,300,40,5.1,0,12,0,0,16,416,1761,1174,2348,,,,false,true,"LINESTRING (-85.15496675755963 35.042076240960824, -85.15405813481385 35.04173004159407)",11_22
4,I-75 NB Off Ramp,568,30,12.9,0,12,0,0,16,416,1320,880,1760,,,,false,false,"LINESTRING (-85.15496675755963 35.042076240960824, -85.15642995606761 35.04108171247013)",11_13
2,Shallowford Rd.,1300,40,22.2,0,12,0,0,16,200,1761,1174,2348,,,,false,false,"LINESTRING (-85.14605120668297 35.038825507108825, -85.15000950118645 35.04029569563617)",15_16
3,Gunbarrel Road,492,40,8.4,0,24,0,1,16,416,1761,1174,2348,,,,false,false,"LINESTRING (-85.15000950118645 35.04029569563617, -85.1507278219002 35.03908139143229)",16_18
3,Gunbarrel Road,813,40,13.9,0,*12,0,0,16,416,1761,1174,2348,,,,false,false,"LINESTRING (-85.15000950118645 35.04029569563617, -85.14882338984923 35.04230395824785)",16_17
4,Shallowford Rd.,512,40,8.7,0,12,0,1,16,416,1761,1174,2348,,,,false,true,"LINESTRING (-85.15000950118645 35.04029569563617, -85.15155945285356 35.04088922778246)",16_19
2,Lifestyle Way,350,15,15.9,0,*0,0,0,16,416,660,440,880,,,,false,false,"LINESTRING (-85.15155945285356 35.04088922778246, -85.15201049213266 35.04000184174026)",19_21
2,Lifestyle Way,388,25,10.6,0,12,0,0,16,416,1101,734,1468,,,,false,false,"LINESTRING (-85.15155945285356 35.04088922778246, -85.15106162744868 35.04187276821733)",19_20
3,Shallowford Rd.,808,40,13.8,0,12,0,1,16,416,1761,1174,2348,,,,false,false,"LINESTRING (-85.15155945285356 35.04088922778246, -85.15405813481385 35.04173004159407)",19_22
3,Hamilton Place Blvd.,506,35,9.9,0,12,0,0,16,416,1539,1026,2052,,,,false,false,"LINESTRING (-85.15405813481385 35.04173004159407, -85.15487996444959 35.04051571654109)",22_24
2,Napier Dr.,375,25,10.2,0,*0,0,0,16,416,1101,734,1468,,,,false,false,"LINESTRING (-85.15405813481385 35.04173004159407, -85.15349686616585 35.04265039958749)",22_23
2,Lee Hwy,1289,40,22.0,0,12,0,0,16,200,1761,1174,2348,,,,false,false,"LINESTRING (-85.16582039147124 35.04274640530259, -85.16236296269967 35.04485657545937)",25_33
4,Lee Hwy,1655,40,28.2,0,12,0,1,16,416,1761,1174,2348,,,,false,false,"LINESTRING (-85.16236296269967 35.04485657545937, -85.15802004634784 35.047672729248646)",33_58
