INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed,x_coord,y_coord,INTID_base,TYPE_DESC
1,1,2218665,261695,0,,,,,,,-85.16447464598933,35.049527055950406,0,External Node
2,0,2218123,260485,0,,,,,,,-85.1662850796407,35.04620260000186,0,Signalized
3,1,2217593,260709,0,,,,,,,-85.16805575473296,35.046817884997914,0,External Node
4,0,2220558,259441,0,,,,,,,-85.15815033817577,35.043334590756956,1,Signalized
6,1,2220753,259817,0,,,,,,,-85.15749890527556,35.04436761025218,0,External Node
7,1,2220425,259200,0,,,,,,,-85.15859463964277,35.04267246719171,0,External Node
8,0,2220921,259267,0,,,,,,,-85.15693769310609,35.04285653757236,0,Signalized
9,1,2221234,259729,0,,,,,,,-85.1558920441088,35.04412582007064,0,External Node
10,1,2220693,258911,0,,,,,,,-85.15769935984692,35.041878469248964,0,External Node
11,0,2221511,258983,0,,,,,,,-85.15496675755963,35.042076240960824,0,Signalized
12,1,2221753,259376,0,,,,,,,-85.15415828267834,35.043155944265244,0,External Node
13,1,2221073,258621,0,,,,,,,-85.15642995606761,35.04108171247013,0,External Node
14,1,2217675,259472,0,,,,,,,-85.16778141178172,35.043419377816896,0,External Node
15,1,2224180,257800,0,,,,,,,-85.14605120668297,35.038825507108825,0,External Node
16,0,2222995,258335,0,,,,,,,-85.15000950118645,35.04029569563617,0,Signalized
17,1,2223350,259066,0,,,,,,,-85.14882338984923,35.04230395824785,0,External Node
18,1,2222780,257893,0,,,,,,,-85.1507278219002,35.03908139143229,0,External Node
19,0,2222531,258551,0,,,,,,,-85.15155945285356,35.04088922778246,0,Signalized
20,1,2222680,258909,0,,,,,,,-85.15106162744868,35.04187276821733,0,External Node
21,1,2222396,258228,0,,,,,,,-85.15201049213266,35.04000184174026,0,External Node
22,0,2221783,258857,0,,,,,,,-85.15405813481385,35.04173004159407,0,Signalized
23,1,2221951,259192,0,,,,,,,-85.15349686616585,35.04265039958749,0,External Node
24,1,2221537,258415,0,,,,,,,-85.15487996444959,35.04051571654109,0,External Node
25,1,2218262,259227,0,,,,,,,-85.16582039147124,35.04274640530259,0,External Node
33,0,2219297,259995,0,,,,,,,-85.16236296269967,35.04485657545937,0,Signalized
58,1,2220597,261020,0,,,,,,,-85.15802004634784,35.047672729248646,0,External Node
