RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,SBR2,EBL,EBT,EBR,WBL,WBT,WBR,NEL2,NEL,NET,NER,SWL,SWT,SWR,PED,HOLD
Up Node,2,14,14,14,1,1,1,,3,3,3,33,33,33,,,,,,,,,
Dest Node,2,3,1,33,33,14,3,,1,33,14,14,3,1,,,,,,,,,
Lanes,2,1,1,0,1,1,0,,1,2,0,1,2,0,,,,,,,,,
Shared,2,0,2,,0,2,,,0,2,,0,2,,,,,,,,,,
Width,2,12,12,12,12,12,12,,12,12,12,12,12,12,,,,,,,,,
Storage,2,115,,,75,,,,150,,,110,,,,,,,,,,,
Taper,2,25,,,25,,,,25,,,25,,,,,,,,,,,
StLanes,2,1,,,1,,,,1,,,1,,,,,,,,,,,
Grade,2,,,,,,,,,,,,,,,,,,,,,,
Speed,2,,35,,,45,,,,40,,,40,,,,,,,,,,
Phase1,2,3,8,,7,4,,,5,2,,1,6,,,,,,,,,,
PermPhase1,2,8,,,4,,,,2,,,6,,,,,,,,,,,
LostTime,2,4,4,4,4,4,4,,4,4,4,4,4,4,,,,,,,,,
Lost Time Adjust,2,-2.1,-1.9,0,-2.1,-1.9,0,,-1.2,-1.2,0,-1.2,-1.2,0,,,,,,,,,
IdealFlow,2,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,1900,1900,,,,,,,,,
SatFlow,2,1770,1833,0,1770,1703,0,,1770,3468,0,1770,3493,0,,,,,,,,,
SatFlowPerm,2,272,1833,0,1196,1703,0,,222,3468,0,779,3493,0,,,,,,,,,
Allow RTOR,2,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,
SatFlowRTOR,2,0,7,0,0,71,0,,0,16,0,0,9,0,,,,,,,,,
Volume,2,118,140,17,73,188,256,,163,426,66,41,812,74,,,,,,,,,
Peds,2,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,
Bicycles,2,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,
PHF,2,0.90,0.90,0.90,0.90,0.90,0.90,,0.90,0.90,0.90,0.90,0.90,0.90,,,,,,,,,
Growth,2,100,100,100,100,100,100,,100,100,100,100,100,100,,,,,,,,,
HeavyVehicles,2,2,2,2,2,2,2,,2,2,2,2,2,2,,,,,,,,,
BusStops,2,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,
Midblock,2,,0,,,0,,,,0,,,0,,,,,,,,,,
Distance,2,,1108,,,1326,,,,575,,,1272,,,,,,,,,,
TravelTime,2,,21.6,,,20.1,,,,9.8,,,21.7,,,,,,,,,,
Right Channeled,2,,,0,,,0,,,,0,,,0,,,,,,,,,
Alignment,2,0,0,1,0,0,1,,0,0,1,0,0,1,,,,,,,,,
Enter Blocked,2,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,
HeadwayFact,2,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,
Turning Speed,2,15,60,9,15,60,9,,15,60,9,15,60,9,,,,,,,,,
FirstDetect,2,50,50,,50,50,,,50,50,,50,50,,,,,,,,,,
LastDetect,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectPhase1,2,3,8,,7,4,,,5,2,,1,6,,,,,,,,,,
DetectPhase2,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectPhase3,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectPhase4,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
SwitchPhase,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
numDetects,2,1,1,,1,1,,,1,1,,1,1,,,,,,,,,,
DetectPos1,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectSize1,2,50,50,,50,50,,,50,50,,50,50,,,,,,,,,,
DetectType1,2,3,3,,3,3,,,3,3,,3,3,,,,,,,,,,
DetectExtend1,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectQueue1,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectDelay1,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
Exit Lanes,2,,0,,,0,,,,0,,,0,,,,,,,,,,
CBD,2,,0,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,2,131,175,0,81,493,0,,181,546,0,46,984,0,,,,,,,,,
Up Node,4,7,7,7,6,6,6,,33,33,33,8,8,8,,,,,,,,,
