RECORDNAME,INTID,NB,SB,EB,WB,NE,SW
Up ID,1,2,,,,,
Lanes,1,1,,,,,
Name,1,Hickory Valley Rd.,,,,,
Distance,1,1326,,,,,
Speed,1,45,,,,,
Time,1,20.1,,,,,
Grade,1,0,,,,,
Median,1,*0,,,,,
Offset,1,0,,,,,
TWLTL,1,0,,,,,
Crosswalk Width,1,16,,,,,
Mandatory Distance,1,200,,,,,
Mandatory Distance2,1,1980,,,,,
Positioning Distance,1,1320,,,,,
Positioning Distance2,1,2640,,,,,
Curve Pt X,1,,,,,,
Curve Pt Y,1,,,,,,
Curve Pt Z,1,,,,,,
Link Is Hidden,1,false,,,,,
Street Name Is Hidden,1,false,,,,,
Up ID,2,14,1,3,33,,
Lanes,2,2,2,3,3,,
Name,2,Hickory Valley,Hickory Valley Rd.,Shallowford Rd.,Shallowford Rd.,,
Distance,2,1108,1326,575,1272,,
Speed,2,35,45,40,40,,
Time,2,21.6,20.1,9.8,21.7,,
Grade,2,0,0,0,0,,
Median,2,12,12,*12,*12,,
Offset,2,0,0,0,0,,
TWLTL,2,0,0,1,1,,
Crosswalk Width,2,16,16,16,16,,
Mandatory Distance,2,416,416,416,416,,
Mandatory Distance2,2,1539,1980,1761,1761,,
Positioning Distance,2,1026,1320,1174,1174,,
Positioning Distance2,2,2052,2640,2348,2348,,
Curve Pt X,2,,,,,,
Curve Pt Y,2,,,,,,
Curve Pt Z,2,,,,,,
Link Is Hidden,2,false,false,false,false,,
Street Name Is Hidden,2,false,false,false,false,,
Up ID,3,,,,2,,
Lanes,3,,,,2,,
Name,3,,,,Shallowford Rd.,,
Distance,3,,,,575,,
Speed,3,,,,40,,
Time,3,,,,9.8,,
Grade,3,,,,0,,
Median,3,,,,12,,
Offset,3,,,,0,,
TWLTL,3,,,,1,,
Crosswalk Width,3,,,,16,,
Mandatory Distance,3,,,,200,,
Mandatory Distance2,3,,,,1761,,
Positioning Distance,3,,,,1174,,
Positioning Distance2,3,,,,2348,,
Curve Pt X,3,,,,,,
Curve Pt Y,3,,,,,,
Curve Pt Z,3,,,,,,
Link Is Hidden,3,,,,false,,
Street Name Is Hidden,3,,,,false,,
Up ID,4,7,6,33,8,,
Lanes,4,2,2,3,3,,
Name,4,Amin Dr.,Shallowford Village Dr.,Shallowford Rd.,Shallowford Rd.,,
Distance,4,275,424,1377,403,,
Speed,4,15,20,40,40,,
Time,4,12.5,14.5,23.5,6.9,,
Grade,4,0,0,0,0,,
Median,4,*0,12,*12,*12,,
Offset,4,0,0,0,0,,
TWLTL,4,0,0,1,1,,
Crosswalk Width,4,16,16,16,16,,
Mandatory Distance,4,416,416,416,416,,
Mandatory Distance2,4,660,879,1761,1761,,
Positioning Distance,4,440,586,1174,1174,,
Positioning Distance2,4,880,1172,2348,2348,,
Curve Pt X,4,,,,,,
Curve Pt Y,4,,,,,,
Curve Pt Z,4,,,,,,
Link Is Hidden,4,false,false,false,false,,
Street Name Is Hidden,4,false,false,false,true,,
Up ID,6,4,,,,,
