INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,2218665,261695,0,,,,,,
2,0,2218123,260485,0,,,,,,
3,1,2217593,260709,0,,,,,,
4,0,2220558,259441,0,,,,,,
6,1,2220753,259817,0,,,,,,
7,1,2220425,259200,0,,,,,,
8,0,2220921,259267,0,,,,,,
9,1,2221234,259729,0,,,,,,
10,1,2220693,258911,0,,,,,,
11,0,2221511,258983,0,,,,,,
12,1,2221753,259376,0,,,,,,
13,1,2221073,258621,0,,,,,,
14,1,2217675,259472,0,,,,,,
15,1,2224180,257800,0,,,,,,
16,0,2222995,258335,0,,,,,,
17,1,2223350,259066,0,,,,,,
18,1,2222780,257893,0,,,,,,
19,0,2222531,258551,0,,,,,,
20,1,2222680,258909,0,,,,,,
21,1,2222396,258228,0,,,,,,
22,0,2221783,258857,0,,,,,,
23,1,2221951,259192,0,,,,,,
24,1,2221537,258415,0,,,,,,
25,1,2218262,259227,0,,,,,,
33,0,2219297,259995,0,,,,,,
58,1,2220597,261020,0,,,,,,
