RECORDNAME,INTID,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D14,D15,D16
BRP,2,111,112,211,212,121,122,221,222,311,312,411,412,322,421,422
MinGreen,2,4,15,4,12,4,15,4,12,,,,,,,
MaxGreen,2,12.8,21.8,13.9,29.1,12.8,21.8,8.9,34.1,,,,,,,
VehExt,2,2,3,2,2,2,3,2,2,,,,,,,
TimeBeforeReduce,2,0,0,0,0,0,0,0,0,,,,,,,
TimeToReduce,2,0,0,0,0,0,0,0,0,,,,,,,
MinGap,2,3,3,3,3,3,3,3,3,,,,,,,
Yellow,2,3,3.6,3,4.3,3,3.6,3,4.3,,,,,,,
AllRed,2,2.2,1.6,3.1,1.6,2.2,1.6,3.1,1.6,,,,,,,
Recall,2,0,1,0,0,0,1,0,0,,,,,,,
Walk,2,,5,,5,,5,,5,,,,,,,
DontWalk,2,,12,,19,,12,,19,,,,,,,
PedCalls,2,,0,,0,,0,,0,,,,,,,
MinSplit,2,9.2,22.2,10.1,29.9,9.2,22.2,10.1,29.9,,,,,,,
DualEntry,2,0,1,0,1,0,1,0,1,,,,,,,
InhibitMax,2,1,1,1,1,1,1,1,1,,,,,,,
Start,2,52,70,97,17,52,70,97,12,,,,,,,
End,2,70,97,17,52,70,97,12,52,,,,,,,
Yield,2,64.8,91.8,10.9,46.1,64.8,91.8,5.9,46.1,,,,,,,
Yield170,2,64.8,79.8,10.9,46.1,64.8,79.8,5.9,46.1,,,,,,,
LocalStart,2,82,0,27,47,82,0,27,42,,,,,,,
LocalYield,2,94.8,21.8,40.9,76.1,94.8,21.8,35.9,76.1,,,,,,,
LocalYield170,2,94.8,9.8,40.9,76.1,94.8,9.8,35.9,76.1,,,,,,,
ActGreen,2,4.1,34.6,8.8,30.1,10.3,28.4,6,32.9,,,,,,,
BRP,4,111,112,211,212,121,122,221,222,311,312,411,412,322,421,422
MinGreen,4,4,15,,8,4,15,,8,,,,,,,
MaxGreen,4,7,50,,29,7,50,,29,,,,,,,
VehExt,4,1,2,,2,1,2,,2,,,,,,,
TimeBeforeReduce,4,0,0,,0,0,0,,0,,,,,,,
TimeToReduce,4,0,0,,0,0,0,,0,,,,,,,
MinGap,4,3,3,,3,3,3,,3,,,,,,,
Yellow,4,4,4,,4,4,4,,4,,,,,,,
AllRed,4,0,1,,1,0,1,,1,,,,,,,
Recall,4,0,1,,0,0,1,,0,,,,,,,
Walk,4,,5,,5,,5,,5,,,,,,,
DontWalk,4,,9,,13,,9,,13,,,,,,,
PedCalls,4,,0,,0,,0,,0,,,,,,,
MinSplit,4,8,20,,23,8,20,,23,,,,,,,
DualEntry,4,0,1,,1,0,1,,1,,,,,,,
InhibitMax,4,1,1,,1,1,1,,1,,,,,,,
Start,4,5,16,,71,5,16,,71,,,,,,,
End,4,16,71,,5,16,71,,5,,,,,,,
Yield,4,12,66,,0,12,66,,0,,,,,,,
Yield170,4,12,57,,0,12,57,,0,,,,,,,
LocalStart,4,89,0,,55,89,0,,55,,,,,,,
LocalYield,4,96,50,,84,96,50,,84,,,,,,,
LocalYield170,4,96,41,,84,96,41,,84,,,,,,,
ActGreen,4,2.5,70.8,,12.7,2.6,70.7,,12.7,,,,,,,
BRP,8,111,112,211,212,121,122,213,214,311,312,411,412,322,421,422
MinGreen,8,6,10,,10,,10,,,,,,,,,
MaxGreen,8,29,33,,22.5,,67,,,,,,,,,
VehExt,8,3,3,,4,,3,,,,,,,,,
TimeBeforeReduce,8,0,0,,0,,0,,,,,,,,,
TimeToReduce,8,0,0,,0,,0,,,,,,,,,
MinGap,8,3,3,,3,,3,,,,,,,,,
Yellow,8,4,4,,4,,4,,,,,,,,,
AllRed,8,1,1,,1.5,,1,,,,,,,,,
Recall,8,0,1,,0,,1,,,,,,,,,
Walk,8,,,,,,,,,,,,,,,
DontWalk,8,,,,,,,,,,,,,,,
PedCalls,8,,,,,,,,,,,,,,,
MinSplit,8,11,15,,15.5,,15,,,,,,,,,
DualEntry,8,0,1,,1,,1,,,,,,,,,
InhibitMax,8,1,1,,1,,1,,,,,,,,,
Start,8,69,3,,41,,69,,,,,,,,,
End,8,3,41,,69,,41,,,,,,,,,
Yield,8,98,36,,63.5,,36,,,,,,,,,
Yield170,8,98,36,,63.5,,36,,,,,,,,,
LocalStart,8,66,0,,38,,66,,,,,,,,,
LocalYield,8,95,33,,60.5,,33,,,,,,,,,
LocalYield170,8,95,33,,60.5,,33,,,,,,,,,
ActGreen,8,20.6,29.3,,34.6,,54.9,,,,,,,,,
BRP,11,111,112,211,212,121,122,221,222,311,312,411,412,322,421,422
MinGreen,11,5,10,,10,,10,,,,,,,,,
MaxGreen,11,8.4,38.4,,38.3,,50.1,,,,,,,,,
VehExt,11,1,3,,1.5,,3,,,,,,,,,
TimeBeforeReduce,11,0,0,,0,,0,,,,,,,,,
TimeToReduce,11,0,0,,0,,0,,,,,,,,,
MinGap,11,3,3,,3,,3,,,,,,,,,
Yellow,11,3,3.6,,3,,3.6,,,,,,,,,
AllRed,11,2.6,0,,2.7,,2.3,,,,,,,,,
Recall,11,0,1,,0,,1,,,,,,,,,
Walk,11,,,,,,,,,,,,,,,
DontWalk,11,,,,,,,,,,,,,,,
PedCalls,11,,,,,,,,,,,,,,,
MinSplit,11,10.6,15.2,,15.7,,15.9,,,,,,,,,
DualEntry,11,0,1,,1,,1,,,,,,,,,
InhibitMax,11,1,1,,1,,1,,,,,,,,,
Start,11,98,12,,54,,98,,,,,,,,,
End,11,12,54,,98,,54,,,,,,,,,
Yield,11,6.4,50.4,,92.3,,48.1,,,,,,,,,
Yield170,11,6.4,50.4,,92.3,,48.1,,,,,,,,,
LocalStart,11,86,0,,42,,86,,,,,,,,,
