lane_id,link_id,lane_num,length_m,speed_mps,geometry,type,movement_name,mvmt_id,up_node,dest_node,volume,numDetects,is_turn_bay_lane,is_added_turn_bay_lane
100_416_0,100_416,0,285.211037,17.8816,"POLYGON ((-111.892653 33.382087, -111.893437 33.3796, -111.893399 33.379592, -111.892615 33.382079, -111.892653 33.382087))",thru,,,100,,,,False,False
100_416_1,100_416,1,285.211037,17.8816,"POLYGON ((-111.892615 33.382079, -111.893399 33.379592, -111.893361 33.379583, -111.892577 33.38207, -111.892615 33.382079))",thru,,,100,,,,False,False
101_2_0,101_2,0,770.064488,15.6464,"POLYGON ((-111.935094 33.45841, -111.935213 33.451465, -111.935174 33.451465, -111.935055 33.458409, -111.935094 33.45841))",thru,,,101,,,,False,False
101_2_bay_0,101_2_bay,0,38.1,15.6464,"POLYGON ((-111.935233 33.451466, -111.935238 33.451122, -111.935199 33.451122, -111.935193 33.451465, -111.935233 33.451466))",thru,SBT,101_2_357_SBT,101,357,,1,False,False
101_2_bay_1,101_2_bay,1,38.1,15.6464,"POLYGON ((-111.935193 33.451465, -111.935199 33.451122, -111.93516 33.451121, -111.935154 33.451465, -111.935193 33.451465))",left,SBL,101_2_3_SBL,101,3,,1,True,True
101_360_0,101_360,0,293.438011,15.6464,"POLYGON ((-111.935055 33.458409, -111.935035 33.461056, -111.935075 33.461056, -111.935094 33.45841, -111.935055 33.458409))",thru,,,101,,,,False,False
101_361_0,101_361,0,267.532365,15.6464,"POLYGON ((-111.935074 33.458393, -111.932196 33.458396, -111.932196 33.458429, -111.935075 33.458426, -111.935074 33.458393))",thru,,,101,,,,False,False
101_362_0,101_362,0,231.282093,15.6464,"POLYGON ((-111.935074 33.458426, -111.937563 33.458445, -111.937563 33.458412, -111.935075 33.458393, -111.935074 33.458426))",thru,,,101,,,,False,False
102_103_0,102_103,0,449.416018,20.1168,"POLYGON ((-111.897763 33.407363, -111.89293 33.407362, -111.89293 33.407395, -111.897763 33.407396, -111.897763 33.407363))",thru,,,102,,,,False,False
102_103_1,102_103,1,449.416018,20.1168,"POLYGON ((-111.897763 33.407396, -111.89293 33.407395, -111.89293 33.407427, -111.897763 33.407429, -111.897763 33.407396))",thru,,,102,,,,False,False
