link_id,from_node_id,to_node_id,lanes,length_m,free_speed_mps,geometry,main_link_id,is_turn_bay_link
100_416,100,416,2,285.211037,17.8816,"POLYGON ((-111.892653 33.382087, -111.893437 33.3796, -111.893361 33.379583, -111.892577 33.38207, -111.892653 33.382087))",100_416,False
101_2,101,101_2_bay_node,1,770.064488,15.6464,"POLYGON ((-111.935094 33.45841, -111.935213 33.451465, -111.935174 33.451465, -111.935055 33.458409, -111.935094 33.45841))",101_2,False
101_2_bay,101_2_bay_node,2,2,38.1,15.6464,"POLYGON ((-111.935233 33.451466, -111.935238 33.451122, -111.93516 33.451121, -111.935154 33.451465, -111.935233 33.451466))",101_2,True
101_360,101,360,1,293.438011,15.6464,"POLYGON ((-111.935055 33.458409, -111.935035 33.461056, -111.935075 33.461056, -111.935094 33.45841, -111.935055 33.458409))",101_360,False
101_361,101,361,1,267.532365,15.6464,"POLYGON ((-111.935074 33.458393, -111.932196 33.458396, -111.932196 33.458429, -111.935075 33.458426, -111.935074 33.458393))",101_361,False
101_362,101,362,1,231.282093,15.6464,"POLYGON ((-111.935074 33.458426, -111.937563 33.458445, -111.937563 33.458412, -111.935075 33.458393, -111.935074 33.458426))",101_362,False
102_103,102,102_103_bay_node,5,449.416018,20.1168,"POLYGON ((-111.897763 33.407363, -111.89293 33.407362, -111.89293 33.407526, -111.897763 33.407528, -111.897763 33.407363))",102_103,False
102_103_bay,102_103_bay_node,103,6,71.628,20.1168,"POLYGON ((-111.89293 33.407345, -111.89216 33.407345, -111.89216 33.407543, -111.89293 33.407543, -111.89293 33.407345))",102_103,True
102_5276,102,5276,1,88.030377,13.4112,"POLYGON ((-111.897744 33.40745, -111.89783 33.407702, -111.897999 33.407985, -111.897995 33.408196, -111.898035 33.408196, -111.898038 33.407978, -111.897867 33.40769, -111.897782 33.407441, -111.897744 33.40745))",102_5276,False
102_7299,102,7299,1,152.352111,13.4112,"POLYGON ((-111.897783 33.407446, -111.897783 33.406071, -111.897744 33.406071, -111.897743 33.407446, -111.897783 33.407446))",102_7299,False
102_99,102,102_99_bay_node,3,990.268962,20.1168,"POLYGON ((-111.897763 33.407495, -111.908412 33.407498, -111.908412 33.407399, -111.897763 33.407396, -111.897763 33.407495))",102_99,False
102_99_bay,102_99_bay_node,99,5,67.056,20.1168,"POLYGON ((-111.908412 33.407531, -111.909133 33.407531, -111.909133 33.407366, -111.908412 33.407366, -111.908412 33.407531))",102_99,True
103_102,103,103_102_bay_node,3,470.752018,20.1168,"POLYGON ((-111.89216 33.407493, -111.897222 33.407495, -111.897222 33.407396, -111.89216 33.407394, -111.89216 33.407493))",103_102,False
103_102_bay,103_102_bay_node,102,4,50.292,20.1168,"POLYGON ((-111.897222 33.407511, -111.897763 33.407512, -111.897763 33.40738, -111.897222 33.407379, -111.897222 33.407511))",103_102,True
103_303,103,303,5,152.351947,20.1168,"POLYGON ((-111.89216 33.407361, -111.890522 33.407361, -111.890522 33.407526, -111.89216 33.407526, -111.89216 33.407361))",103_303,False
103_5291,103,5291,3,106.646358,17.8816,"POLYGON ((-111.892219 33.407444, -111.89222 33.406482, -111.892102 33.406482, -111.892101 33.407444, -111.892219 33.407444))",103_5291,False
104_109,104,104_109_bay_node,2,344.304481,17.8816,"POLYGON ((-111.960943 33.403711, -111.960942 33.400606, -111.960863 33.400606, -111.960864 33.403711, -111.960943 33.403711))",104_109,False
104_109_bay,104_109_bay_node,109,3,51.816,17.8816,"POLYGON ((-111.960962 33.400606, -111.960961 33.400138, -111.960843 33.400139, -111.960844 33.400606, -111.960962 33.400606))",104_109,True
104_7057,104,7057,1,243.766532,13.4112,"POLYGON ((-111.960903 33.403728, -111.963525 33.403727, -111.963525 33.403694, -111.960903 33.403695, -111.960903 33.403728))",104_7057,False
104_7251,104,7251,1,243.766401,13.4112,"POLYGON ((-111.960903 33.403695, -111.958282 33.403695, -111.958282 33.403728, -111.960903 33.403728, -111.960903 33.403695))",104_7251,False
104_86,104,104_86_bay_node,2,348.870962,17.8816,"POLYGON ((-111.960864 33.403711, -111.960865 33.406858, -111.960944 33.406857, -111.960943 33.403711, -111.960864 33.403711))",104_86,False
104_86_bay,104_86_bay_node,86,5,65.532,17.8816,"POLYGON ((-111.960806 33.406858, -111.960806 33.407449, -111.961003 33.407449, -111.961003 33.406857, -111.960806 33.406858))",104_86,True
105_109,105,105_109_bay_node,2,348.874646,20.1168,"POLYGON ((-111.960862 33.396511, -111.960863 33.399657, -111.960942 33.399657, -111.960941 33.396511, -111.960862 33.396511))",105_109,False
105_109_bay,105_109_bay_node,109,3,53.34,20.1168,"POLYGON ((-111.960843 33.399657, -111.960843 33.400139, -111.960961 33.400138, -111.960961 33.399657, -111.960843 33.399657))",105_109,True
105_5242,105,5242,1,130.001859,13.4112,"POLYGON ((-111.960898 33.396527, -111.962274 33.396733, -111.962281 33.396701, -111.960905 33.396495, -111.960898 33.396527))",105_5242,False
105_5243,105,5243,2,286.730939,20.1168,"POLYGON ((-111.960941 33.396511, -111.960946 33.393925, -111.960868 33.393925, -111.960862 33.396511, -111.960941 33.396511))",105_5243,False
105_7252,105,7252,1,243.766405,13.4112,"POLYGON ((-111.960901 33.396494, -111.95828 33.396495, -111.95828 33.396528, -111.960901 33.396527, -111.960901 33.396494))",105_7252,False
106_113,106,106_113_bay_node,3,321.452094,15.6464,"POLYGON ((-111.926395 33.403466, -111.926395 33.400567, -111.926277 33.400567, -111.926277 33.403466, -111.926395 33.403466))",106_113,False
106_113_bay,106_113_bay_node,113,4,41.148,15.6464,"POLYGON ((-111.926415 33.400567, -111.926415 33.400196, -111.926258 33.400196, -111.926258 33.400567, -111.926415 33.400567))",106_113,True
106_7255,106,7255,1,243.764834,13.4112,"POLYGON ((-111.926336 33.403483, -111.928957 33.403483, -111.928957 33.40345, -111.926336 33.40345, -111.926336 33.403483))",106_7255,False
106_7256,106,7256,1,243.764707,13.4112,"POLYGON ((-111.926336 33.40345, -111.923715 33.403449, -111.923715 33.403482, -111.926336 33.403483, -111.926336 33.40345))",106_7256,False
106_94,106,106_94_bay_node,3,358.003641,15.6464,"POLYGON ((-111.926277 33.403466, -111.926277 33.406695, -111.926395 33.406695, -111.926395 33.403466, -111.926277 33.403466))",106_94,False
106_94_bay,106_94_bay_node,94,5,83.82,15.6464,"POLYGON ((-111.926237 33.406695, -111.926237 33.407451, -111.926434 33.407451, -111.926434 33.406695, -111.926237 33.406695))",106_94,True
107_108,107,107_108_bay_node,2,319.927579,20.1168,"POLYGON ((-111.978305 33.40361, -111.978317 33.400725, -111.978239 33.400725, -111.978226 33.40361, -111.978305 33.40361))",107_108,False
107_108_bay,107_108_bay_node,108,4,67.056,20.1168,"POLYGON ((-111.978357 33.400725, -111.978359 33.40012, -111.978202 33.40012, -111.978199 33.400724, -111.978357 33.400725))",107_108,True
107_430,107,430,1,187.707076,13.4112,"POLYGON ((-111.978266 33.403627, -111.980284 33.40364, -111.980284 33.403607, -111.978266 33.403594, -111.978266 33.403627))",107_430,False
107_431,107,431,1,128.285802,13.4112,"POLYGON ((-111.978266 33.403594, -111.976886 33.403586, -111.976886 33.403619, -111.978266 33.403627, -111.978266 33.403594))",107_431,False
107_456,107,456,3,283.383573,20.1168,"POLYGON ((-111.978207 33.40361, -111.978192 33.406166, -111.97831 33.406166, -111.978325 33.40361, -111.978207 33.40361))",107_456,False
