mvmt_id,node_id,ib_link_id,ob_link_id,type,movement_name,num_lanes,volume,ib_lane_indices,ob_lane_indices,sumo_dir,is_turn_bay_connector,control,turning_speed_mps
101_2_to_101_2_bay,101_2_bay_node,101_2,101_2_bay,thru,TURN_BAY_CONNECTOR,2,0.0,"0,0","0,1",s,True,free,
101_2_3_SBL,2,101_2_bay,2_3,left,SBL,1,0.0,1,1,l,False,,6.7056
101_2_357_SBT,2,101_2_bay,2_357,thru,SBT,1,0.0,0,0,s,False,,26.8224
102_103_to_102_103_bay,102_103_bay_node,102_103,102_103_bay,thru,TURN_BAY_CONNECTOR,6,0.0,"0,0,1,2,3,4","0,1,2,3,4,5",s,True,free,
102_103_303_EBT,103,102_103_bay,103_303,thru,EBT,5,568.0,"1,2,3,4,5","0,0,1,1,2",s,False,,26.8224
102_103_5291_EBR,103,102_103_bay,103_5291,right,EBR,1,320.0,0,0,r,False,,4.02336
102_99_to_102_99_bay,102_99_bay_node,102_99,102_99_bay,thru,TURN_BAY_CONNECTOR,5,0.0,"0,1,2,2,2","0,1,2,3,4",s,True,free,
102_99_114_WBL,99,102_99_bay,99_114,left,WBL,2,114.0,"3,4","1,0",l,False,,6.7056
102_99_97_WBT,99,102_99_bay,99_97,thru,WBT,3,1132.0,"0,1,2","0,1,2",s,False,,26.8224
102_99_525_WBR,99,102_99_bay,99_525,right,WBR,1,189.0,0,0,r,False,,4.02336
103_102_to_103_102_bay,103_102_bay_node,103_102,103_102_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,1,2,2","0,1,2,3",s,True,free,
103_102_7299_WBL,102,103_102_bay,102_7299,left,WBL,1,105.0,3,0,l,False,,6.7056
103_102_99_WBT,102,103_102_bay,102_99,thru,WBT,3,1850.0,"0,1,2","0,1,2",s,False,,26.8224
103_102_5276_WBR,102,103_102_bay,102_5276,right,WBR,1,4.0,0,0,r,False,,4.02336
103_303_5282_EBL,303,103_303,303_5282,left,EBL,2,442.0,"3,4","1,0",l,False,,6.7056
103_303_79_EBT,303,103_303,303_79,thru,EBT,3,661.0,"0,1,2","0,1,2",s,False,,26.8224
103_5291_7260_SBL,5291,103_5291,5291_7260,left,SBL,1,0.0,2,1,l,False,,6.7056
103_5291_283_SBT,5291,103_5291,5291_283,thru,SBT,2,0.0,"0,1","0,1",s,False,,26.8224
104_109_to_104_109_bay,104_109_bay_node,104_109,104_109_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
104_109_5240_SBL,109,104_109_bay,109_5240,left,SBL,1,63.0,2,1,l,False,,6.7056
104_109_105_SBT,109,104_109_bay,109_105,thru,SBT,2,504.0,"0,1","0,1",s,False,,26.8224
104_109_478_SBR,109,104_109_bay,109_478,right,SBR,1,86.0,0,0,r,False,,4.02336
104_86_to_104_86_bay,104_86_bay_node,104_86,104_86_bay,thru,TURN_BAY_CONNECTOR,5,0.0,"0,0,1,1,1","0,1,2,3,4",s,True,free,
104_86_85_NBL,86,104_86_bay,86_85,left,NBL,2,204.0,"3,4","2,1",l,False,,6.7056
104_86_68_NBT,86,104_86_bay,86_68,thru,NBT,2,876.0,"1,2","0,1",s,False,,26.8224
104_86_5287_NBR,86,104_86_bay,86_5287,right,NBR,1,48.0,0,0,r,False,,4.02336
105_109_to_105_109_bay,105_109_bay_node,105_109,105_109_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
105_109_478_NBL,109,105_109_bay,109_478,left,NBL,1,174.0,2,1,l,False,,6.7056
105_109_104_NBT,109,105_109_bay,109_104,thru,NBT,2,1207.0,"0,1","0,1",s,False,,26.8224
105_109_5240_NBR,109,105_109_bay,109_5240,right,NBR,1,88.0,0,0,r,False,,4.02336
106_113_to_106_113_bay,106_113_bay_node,106_113,106_113_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,1,2,2","0,1,2,3",s,True,free,
106_113_7257_SBL,113,106_113_bay,113_7257,left,SBL,1,13.0,3,0,l,False,,6.7056
106_113_127_SBT,113,106_113_bay,113_127,thru,SBT,3,704.0,"0,1,2","0,1,2",s,False,,26.8224
106_113_112_SBR,113,106_113_bay,113_112,right,SBR,1,7.0,0,0,r,False,,4.02336
106_94_to_106_94_bay,106_94_bay_node,106_94,106_94_bay,thru,TURN_BAY_CONNECTOR,5,0.0,"0,1,2,2,2","0,1,2,3,4",s,True,free,
106_94_549_NBL,94,106_94_bay,94_549,left,NBL,2,317.0,"3,4","1,0",l,False,,6.7056
106_94_93_NBT,94,106_94_bay,94_93,thru,NBT,3,1730.0,"0,1,2","0,1,2",s,False,,26.8224
106_94_96_NBR,94,106_94_bay,94_96,right,NBR,1,189.0,0,0,r,False,,4.02336
107_108_to_107_108_bay,107_108_bay_node,107_108,107_108_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,0,1,1","0,1,2,3",s,True,free,
107_108_473_SBL,108,107_108_bay,108_473,left,SBL,1,0.0,3,1,l,False,,6.7056
107_108_118_SBT,108,107_108_bay,108_118,thru,SBT,2,0.0,"1,2","0,1",s,False,,26.8224
107_108_363_SBR,108,107_108_bay,108_363,right,SBR,1,0.0,0,0,r,False,,4.02336
