RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,171,,,,,,,
Lanes,1,1,,,,,,,
Name,1,Priest,,,,,,,
Distance,1,1170,,,,,,,
Speed,1,30,,,,,,,
Time,1,26.6,,,,,,,
Grade,1,0,,,,,,,
Median,1,0,,,,,,,
Offset,1,0,,,,,,,
TWLTL,1,0,,,,,,,
Crosswalk Width,1,16,,,,,,,
Mandatory Distance,1,200,,,,,,,
Mandatory Distance2,1,1320,,,,,,,
Positioning Distance,1,880,,,,,,,
Positioning Distance2,1,1760,,,,,,,
Curve Pt X,1,9615,,,,,,,
Curve Pt Y,1,1741,,,,,,,
Curve Pt Z,1,1443,,,,,,,
Link Is Hidden,1,FALSE,,,,,,,
Street Name Is Hidden,1,FALSE,,,,,,,
Up ID,2,357,101,356,3,,,,
Lanes,2,2,2,2,3,,,,
Name,2,College,College,McKellips,McKellips,,,,
Distance,2,1556,2652,800,2657,,,,
Speed,2,35,35,40,40,,,,
Time,2,30.3,51.7,13.6,45.3,,,,
Grade,2,0,0,0,0,,,,
Median,2,12,12,12,12,,,,
Offset,2,0,0,0,0,,,,
TWLTL,2,0,0,0,0,,,,
Crosswalk Width,2,16,16,16,16,,,,
Mandatory Distance,2,333,333,333,333,,,,
Mandatory Distance2,2,1539,1539,1761,1761,,,,
Positioning Distance,2,1026,1026,1174,1174,,,,
Positioning Distance2,2,2052,2052,2348,2348,,,,
Curve Pt X,2,,,,,,,,
Curve Pt Y,2,,,,,,,,
Curve Pt Z,2,,,,,,,,
Link Is Hidden,2,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,2,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,3,225,351,2,352,,,,
Lanes,3,5,5,3,3,,,,
Name,3,Scottsdale Road,Scottsdale Road,McKellips,McKellips,,,,
Distance,3,1640,2102,2657,2663,,,,
Speed,3,40,40,40,40,,,,
Time,3,28,35.8,45.3,45.4,,,,
Grade,3,0,0,0,0,,,,
Median,3,24,24,12,12,,,,
Offset,3,0,0,0,0,,,,
TWLTL,3,0,0,0,0,,,,
Crosswalk Width,3,16,16,16,16,,,,
Mandatory Distance,3,458,458,458,458,,,,
Mandatory Distance2,3,1761,1761,1761,1761,,,,
Positioning Distance,3,1174,1174,1174,1174,,,,
Positioning Distance2,3,2348,2348,2348,2348,,,,
Curve Pt X,3,,,,,,,,
Curve Pt Y,3,,,,,,,,
Curve Pt Z,3,,,,,,,,
Link Is Hidden,3,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,3,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,4,411,378,,,,,,377
Lanes,4,3,0,,,,,,0
Name,4,Price Freeway NB,,,,,,,Price Freeway NB
Distance,4,455,736,,,,,,1120
Speed,4,30,30,,,,,,30
