INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,9627,2165,0,,,,,,
2,0,18139,37296,0,,,,,,
3,0,20795,37353,0,,,,,,
4,3,30878,6433,0,,,,,,
5,0,12159,34945,0,,,,,,
6,0,10281,32209,0,,,,,,
7,0,20798,34732,0,,,,,,
8,0,15641,32409,0,,,,,,
9,0,19452,33336,0,,,,,,
10,0,20821,33368,0,,,,,,
11,0,23377,33413,0,,,,,,
12,0,25952,33388,0,,,,,,
13,0,10294,29465,0,,,,,,
14,0,12904,29965,0,,,,,,
15,1,33942,15675,0,,,,,,
16,0,15800,29377,0,,,,,,
17,0,20830,31833,0,,,,,,
18,0,20844,29165,0,,,,,,
19,0,25999,32060,0,,,,,,
20,0,26094,29305,0,,,,,,
21,0,19984,29105,0,,,,,,
22,0,31274,29375,0,,,,,,
23,0,15634,27965,0,,,,,,
24,0,10294,27995,0,,,,,,
25,0,11646,26685,0,,,,,,
26,1,19189,27565,0,,,,,,
27,0,16654,27965,0,,,,,,
28,0,16654,28325,0,,,,,,
29,0,16654,29465,0,,,,,,
30,0,16654,27555,0,,,,,,
31,0,16654,27135,0,,,,,,
32,1,8307,11376,0,,,,,,
33,0,20839,27608,0,,,,,,
34,0,8970,26682,0,,,,,,
35,0,7680,26680,0,,,,,,
36,0,10294,26685,0,,,,,,
37,0,27414,29305,0,,,,,,
38,0,12904,26685,0,,,,,,
39,0,14450,26685,0,,,,,,
40,0,15394,26685,0,,,,,,
41,0,15924,26685,0,,,,,,
42,0,26058,30344,0,,,,,,
43,0,16654,26685,0,,,,,,
44,0,17214,26685,0,,,,,,
45,0,17674,26685,0,,,,,,
46,0,18194,26685,0,,,,,,
47,0,19470,26685,0,,,,,,
48,3,19984,27525,0,,,,,,
49,0,20844,26685,0,,,,,,
50,0,23464,26685,0,,,,,,
51,0,26094,26685,0,,,,,,
52,0,18834,24045,0,,,,,,
53,0,28714,26685,0,,,,,,
54,0,19922,24041,0,,,,,,
55,0,31274,26685,0,,,,,,
56,0,17457,29734,0,,,,,,
57,0,34004,26685,0,,,,,,
58,0,18097,29685,0,,,,,,
59,0,19333,29229,0,,,,,,
60,0,16654,25635,0,,,,,,
61,0,28718,29341,0,,,,,,
62,0,20034,25385,0,,,,,,
63,0,20844,25635,0,,,,,,
64,0,20844,24795,0,,,,,,
65,0,19685,24409,0,,,,,,
66,0,26094,25025,0,,,,,,
67,0,7660,23660,0,,,,,,
68,0,10294,23495,0,,,,,,
69,0,10294,24045,0,,,,,,
70,0,12904,24045,0,,,,,,
71,0,16657,24045,0,,,,,,
72,0,16768,24517,0,,,,,,
73,0,17544,24045,0,,,,,,
74,0,18174,24045,0,,,,,,
75,0,19484,24045,0,,,,,,
76,0,20844,24045,0,,,,,,
77,1,4382,10781,0,,,,,,
78,1,35304,26685,0,,,,,,
79,1,32338,21410,0,,,,,,
80,0,7656,22074,0,,,,,,
81,1,4961,202,0,,,,,,
82,0,20844,23375,0,,,,,,
83,0,5001,21405,0,,,,,,
84,0,5010,22130,0,,,,,,
85,0,8721,21443,0,,,,,,
86,0,10294,21405,0,,,,,,
87,0,11964,21405,0,,,,,,
88,0,12924,21405,0,,,,,,
89,0,14234,21405,0,,,,,,
90,0,6520,21790,0,,,,,,
91,0,16684,21405,0,,,,,,
92,0,18174,21405,0,,,,,,
93,0,20844,22365,0,,,,,,
94,0,20844,21405,0,,,,,,
95,0,19494,21405,0,,,,,,
96,0,21974,21405,0,,,,,,
97,0,23464,21405,0,,,,,,
98,2,31132,14121,0,,,,,,
99,0,26094,21405,0,,,,,,
100,2,31139,12175,0,,,,,,
101,0,18177,39948,0,,,,,,
102,0,29564,21405,0,,,,,,
103,0,31274,21405,0,,,,,,
104,0,10294,20045,0,,,,,,
105,0,10294,17425,0,,,,,,
106,0,20844,19955,0,,,,,,
107,0,4995,20010,0,,,,,,
108,0,4990,18740,0,,,,,,
109,0,10294,18745,0,,,,,,
110,0,12924,18745,0,,,,,,
111,0,16724,18745,0,,,,,,
112,3,18174,18765,0,,,,,,
113,0,20844,18765,0,,,,,,
114,0,26094,18725,0,,,,,,
115,0,26094,18085,0,,,,,,
116,0,26094,17455,0,,,,,,
117,0,16690,19637,0,,,,,,
118,0,4980,16100,0,,,,,,
119,0,6820,16100,0,,,,,,
120,0,10294,16125,0,,,,,,
121,0,12984,16125,0,,,,,,
122,0,14244,16125,0,,,,,,
123,0,15514,16125,0,,,,,,
124,0,16754,16125,0,,,,,,
125,0,18174,16125,0,,,,,,
126,0,25410,16125,0,,,,,,
127,0,20844,16125,0,,,,,,
128,0,21864,16125,0,,,,,,
129,0,23474,16125,0,,,,,,
130,0,26094,16125,0,,,,,,
131,0,27404,16125,0,,,,,,
132,0,28714,16125,0,,,,,,
133,2,31703,12617,0,,,,,,
134,3,17344,24045,0,,,,,,
135,0,31274,16125,0,,,,,,
136,2,31753,14287,0,,,,,,
137,2,31770,14950,0,,,,,,
138,0,33947,16125,0,,,,,,
139,0,16784,14425,0,,,,,,
140,0,10294,14365,0,,,,,,
141,0,16804,13625,0,,,,,,
142,0,20784,13645,0,,,,,,
143,3,15780,29545,0,,,,,,
144,0,26054,13675,0,,,,,,
145,1,33471,5567,0,,,,,,
146,1,19919,11543,0,,,,,,
147,0,20779,12533,0,,,,,,
148,1,29541,-4671,0,,,,,,
149,0,20122,8559,0,,,,,,
150,0,20213,11392,0,,,,,,
151,1,30742,9486,0,,,,,,
152,0,6270,10787,0,,,,,,
153,0,6914,10790,0,,,,,,
154,0,7588,10802,0,,,,,,
155,0,7944,10815,0,,,,,,
156,0,9605,10794,0,,,,,,
157,0,10219,10793,0,,,,,,
158,2,31115,10542,0,,,,,,
159,0,12857,10789,0,,,,,,
160,0,14840,10790,0,,,,,,
161,2,12038,2252,0,,,,,,
162,0,16850,10800,0,,,,,,
163,0,18101,10808,0,,,,,,
164,1,28067,5804,0,,,,,,
165,0,20111,10820,0,,,,,,
166,0,22586,10835,0,,,,,,
167,1,16939,-484,0,,,,,,
168,0,26033,10856,0,,,,,,
169,1,9837,13784,0,,,,,,
170,0,28672,10871,0,,,,,,
171,3,9815,1052,0,,,,,,
172,0,30801,10884,0,,,,,,
173,1,23387,32792,0,,,,,,
174,0,20124,6877,0,,,,,,
175,0,25421,8582,0,,,,,,
176,1,22599,10589,0,,,,,,
177,0,25423,7602,0,,,,,,
178,0,12214,5500,0,,,,,,
179,1,7121,1010,0,,,,,,
180,0,14860,5502,0,,,,,,
181,0,17110,5510,0,,,,,,
182,1,28677,10596,0,,,,,,
183,0,20139,5520,0,,,,,,
184,0,22780,5517,0,,,,,,
185,1,25633,8591,0,,,,,,
186,0,25426,5513,0,,,,,,
187,1,9973,-1115,0,,,,,,
188,0,28072,5534,0,,,,,,
189,1,6998,-674,0,,,,,,
190,1,12246,1223,0,,,,,,
191,0,30680,5553,0,,,,,,
192,1,28664,11265,0,,,,,,
193,0,20147,3369,0,,,,,,
194,1,11033,411,0,,,,,,
195,0,25429,4037,0,,,,,,
196,0,14881,2262,0,,,,,,
197,0,20156,2889,0,,,,,,
198,0,25438,2953,0,,,,,,
199,1,32640,310,0,,,,,,
200,1,22573,11096,0,,,,,,
201,3,16654,24835,0,,,,,,
202,0,6630,210,0,,,,,,
203,0,8747,217,0,,,,,,
204,0,9590,220,0,,,,,,
205,0,11000,223,0,,,,,,
206,0,12271,223,0,,,,,,
207,1,17116,5958,0,,,,,,
208,0,14919,223,0,,,,,,
209,0,17016,237,0,,,,,,
210,0,20150,244,0,,,,,,
211,1,25052,4044,0,,,,,,
212,1,25780,4030,0,,,,,,
213,0,22805,232,0,,,,,,
214,1,28077,5250,0,,,,,,
215,0,25462,232,0,,,,,,
216,0,26784,243,0,,,,,,
217,1,25084,7608,0,,,,,,
218,1,25699,7598,0,,,,,,
219,0,29490,270,0,,,,,,
220,0,30570,283,0,,,,,,
221,0,9578,-1118,0,,,,,,
222,0,20178,-2414,0,,,,,,
223,3,30757,10539,0,,,,,,
224,0,20826,30937,0,,,,,,
225,0,20763,35713,0,,,,,,
226,0,9590,-3020,0,,,,,,
227,1,20624,12548,0,,,,,,
228,0,8501,-5096,0,,,,,,
229,0,9606,-5090,0,,,,,,
230,1,22782,4623,0,,,,,,
231,0,12290,-5080,0,,,,,,
232,0,14936,-5072,0,,,,,,
233,1,22760,32134,0,,,,,,
234,1,19246,3347,0,,,,,,
235,1,21099,3376,0,,,,,,
236,0,20194,-5048,0,,,,,,
237,1,22798,604,0,,,,,,
238,1,22812,-145,0,,,,,,
239,1,22779,6080,0,,,,,,
240,0,25463,-5027,0,,,,,,
241,1,29477,-108,0,,,,,,
242,1,25111,8568,0,,,,,,
243,0,9611,-8230,0,,,,,,
244,0,29540,-4980,0,,,,,,
245,0,30810,-4970,0,,,,,,
246,0,7615,29636,0,,,,,,
247,0,14071,30026,0,,,,,,
248,0,20217,-7694,0,,,,,,
249,0,23467,29330,0,,,,,,
250,0,8900,10810,0,,,,,,
251,0,10270,13130,0,,,,,,
252,0,10070,11640,0,,,,,,
253,0,20240,-9030,0,,,,,,
254,3,31137,-4600,0,,,,,,
255,1,21143,-2405,0,,,,,,
256,1,30854,-5580,0,,,,,,
257,1,31131,-5574,0,,,,,,
258,1,8900,10681,0,,,,,,
259,1,6918,11019,0,,,,,,
260,1,19274,-2408,0,,,,,,
261,1,9615,-10763,0,,,,,,
262,1,25458,-6546,0,,,,,,
263,1,20259,-10367,0,,,,,,
264,3,5005,25673,0,,,,,,
265,1,19790,-7694,0,,,,,,
266,1,20721,-7694,0,,,,,,
267,1,19887,-9034,0,,,,,,
268,3,30815,-4522,0,,,,,,
269,1,14953,-7682,0,,,,,,
270,1,17101,1022,0,,,,,,
271,1,10118,13136,0,,,,,,
272,2,8468,-4599,0,,,,,,
273,1,8446,-5616,0,,,,,,
274,1,16862,10007,0,,,,,,
275,1,24704,24275,0,,,,,,
276,1,6709,-4394,0,,,,,,
277,1,6651,-5735,0,,,,,,
278,1,6828,16716,0,,,,,,
279,1,6964,-4459,0,,,,,,
280,3,30568,6439,0,,,,,,
281,1,20461,11276,0,,,,,,
282,2,31042,9871,0,,,,,,
283,2,31280,17530,0,,,,,,
284,1,11763,35021,0,,,,,,
285,1,7943,10392,0,,,,,,
286,2,12228,9093,0,,,,,,
287,1,11584,5497,0,,,,,,
288,1,33959,-4939,0,,,,,,
289,2,30811,-4673,0,,,,,,
290,2,25420,9198,0,,,,,,
291,1,6744,-716,0,,,,,,
292,1,27344,23605,0,,,,,,
293,2,26014,10384,0,,,,,,
294,2,9840,11336,0,,,,,,
295,2,7647,28324,0,,,,,,
296,1,3524,16100,0,,,,,,
297,1,3811,21407,0,,,,,,
298,1,7694,21441,0,,,,,,
299,1,5017,22704,0,,,,,,
300,1,3964,22529,0,,,,,,
301,1,8676,21022,0,,,,,,
302,1,19024,27207,0,,,,,,
303,0,31774,21405,0,,,,,,
304,1,6498,23663,0,,,,,,
305,1,7125,21414,0,,,,,,
306,0,10295,32734,0,,,,,,
307,2,11268,33977,0,,,,,,
308,2,31349,11762,0,,,,,,
309,1,15402,2265,0,,,,,,
310,1,29487,537,0,,,,,,
311,1,8014,-4194,0,,,,,,
