node_id,mvmt_id,offroad_link_id,phase_num,protection,mvmt_text_id
2,42,,4,Permissive,EBL
2,4,,4,Protected,EBT
2,41,,4,RTOR,EBR
2,82,,8,Permissive,WBL
2,8,,8,Protected,WBT
2,81,,8,RTOR,WBR
2,5,,5,Protected,NBL
2,2,,2,Protected,NBT
2,21,,2,RTOR,NBR
2,62,,6,Permissive,SBL
2,6,,6,Protected,SBT
2,61,,6,RTOR,SBR
3,42,,4,Permissive,EBL
3,4,,4,Protected,EBT
3,41,,4,RTOR,EBR
3,82,,8,Permissive,WBL
3,8,,8,Protected,WBT
3,81,,8,RTOR,WBR
3,5,,5,Protected,NBL
3,2,,2,Protected,NBT
3,21,,2,RTOR,NBR
3,1,,1,Protected,SBL
3,6,,6,Protected,SBT
3,61,,6,RTOR,SBR
5,42,,4,Permissive,EBL
5,4,,4,Protected,EBT
5,41,,4,RTOR,EBR
5,3,,3,Protected,WBL
5,8,,8,Protected,WBT
5,81,,8,RTOR,WBR
5,5,,5,Protected,NBL
5,2,,2,Protected,NBT
5,21,,2,RTOR,NBR
5,62,,6,Permissive,SBL
5,6,,6,Protected,SBT
5,61,,6,RTOR,SBR
6,4,,4,Permissive,EBL
6,4,,4,Protected,EBT
6,41,,4,RTOR,EBR
6,22,,2,Permissive,NBL
6,2,,2,Protected,NBT
6,21,,2,RTOR,NBR
6,62,,6,Permissive,SBL
6,6,,6,Protected,SBT
6,61,,6,RTOR,SBR
7,42,,4,Permissive,EBL
7,4,,4,Protected,EBT
7,41,,4,RTOR,EBR
7,82,,8,Permissive,WBL
7,8,,8,Protected,WBT
7,81,,8,RTOR,WBR
7,5,,5,Protected,NBL
7,2,,2,Protected,NBT
7,21,,2,RTOR,NBR
7,62,,6,Permissive,SBL
7,6,,6,Protected,SBT
7,61,,6,RTOR,SBR
8,5,,5,Protected,EBL
8,2,,2,Protected,EBT
8,21,,2,RTOR,EBR
8,1,,1,Protected,WBL
8,6,,6,Protected,WBT
8,61,,6,RTOR,WBR
8,3,,3,Protected,NBL
8,8,,8,Protected,NBT
8,81,,8,RTOR,NBR
8,7,,7,Protected,SBL
8,4,,4,Protected,SBT
8,41,,4,RTOR,SBR
9,5,,5,Protected,EBL
9,2,,2,Protected,EBT
9,21,,2,RTOR,EBR
9,1,,1,Protected/Permissive,WBL
9,6,,6,Protected,WBT
9,61,,6,RTOR,WBR
9,3,,3,Protected,NBL
9,8,,8,Protected,NBT
9,81,,8,RTOR,NBR
9,42,,4,Permissive,SBL
9,4,,4,Protected,SBT
9,41,,4,RTOR,SBR
10,7,,7,Protected,EBL
10,4,,4,Protected,EBT
10,41,,4,RTOR,EBR
10,3,,3,Protected,WBL
10,8,,8,Protected,WBT
10,81,,8,RTOR,WBR
10,5,,5,Protected,NBL
10,2,,2,Protected,NBT
10,21,,2,RTOR,NBR
10,1,,1,Protected,SBL
10,6,,6,Protected,SBT
10,61,,6,RTOR,SBR
11,42,,4,Permissive,EBL
11,4,,4,Protected,EBT
11,41,,4,RTOR,EBR
11,82,,8,Permissive,WBL
11,8,,8,Protected,WBT
11,81,,8,RTOR,WBR
11,5,,5,Protected,NBL
11,2,,2,Protected,NBT
11,21,,2,RTOR,NBR
11,62,,6,Permissive,SBL
11,6,,6,Protected,SBT
11,61,,6,RTOR,SBR
12,4,,4,Permissive,EBL
12,4,,4,Protected,EBT
12,41,,4,RTOR,EBR
12,5,,5,Protected,NBL
12,2,,2,Protected,NBT
12,21,,2,RTOR,NBR
12,62,,6,Protected/Permissive,SBL
12,6,,6,Protected,SBT
12,61,,6,RTOR,SBR
13,7,,7,Protected,EBL
13,4,,4,Protected,EBT
13,41,,4,RTOR,EBR
13,3,,3,Protected,WBL
13,8,,8,Protected,WBT
13,81,,8,RTOR,WBR
13,5,,5,Protected,NBL
13,2,,2,Protected,NBT
13,21,,2,RTOR,NBR
13,1,,1,Protected,SBL
13,6,,6,Protected,SBT
13,61,,6,RTOR,SBR
14,22,,2,Permissive,EBL
14,2,,2,Protected,EBT
14,21,,2,RTOR,EBR
14,62,,6,Permissive,WBL
14,6,,6,Protected,WBT
14,61,,6,RTOR,WBR
14,3,,3,Protected,NBL
14,8,,8,Protected,NBT
14,81,,8,RTOR,NBR
14,42,,4,Permissive,SBL
14,4,,4,Protected,SBT
