node_id,signal_phase_id,ring,barrier
2,2,1,1
2,4,1,2
2,5,2,1
2,6,2,1
2,8,2,2
3,1,1,1
3,2,1,1
3,4,1,2
3,5,2,1
3,6,2,1
3,8,2,2
5,2,1,1
5,3,1,2
5,4,1,2
5,5,2,1
5,6,2,1
5,8,2,2
6,2,1,1
6,4,1,2
6,6,2,1
7,2,1,1
7,4,1,2
7,5,2,1
7,6,2,1
7,8,2,2
8,1,1,1
8,2,1,1
8,3,1,2
8,4,1,2
8,5,2,1
8,6,2,1
8,7,2,2
8,8,2,2
9,1,1,1
9,2,1,1
9,3,1,2
9,4,1,2
9,5,2,1
9,6,2,1
9,8,2,2
10,1,1,1
10,2,1,1
10,3,1,2
10,4,1,2
10,5,2,1
10,6,2,1
10,7,2,2
10,8,2,2
11,2,1,1
11,4,1,2
11,5,2,1
11,6,2,1
11,8,2,2
12,2,1,1
12,4,1,2
12,5,2,1
12,6,2,1
13,1,1,1
13,2,1,1
13,3,1,2
13,4,1,2
13,5,2,1
13,6,2,1
13,7,2,2
13,8,2,2
14,2,1,1
14,3,1,2
14,4,1,2
14,6,2,1
14,8,2,2
16,1,1,1
16,2,1,1
16,4,1,2
16,5,2,1
16,6,2,1
16,8,2,2
17,1,1,1
17,2,1,1
17,3,1,2
17,4,1,2
17,5,2,1
17,6,2,1
17,7,2,2
17,8,2,2
18,1,1,1
18,2,1,1
18,3,1,2
18,4,1,2
18,5,2,1
18,6,2,1
18,7,2,2
18,8,2,2
19,2,1,1
19,4,1,2
19,5,2,1
19,6,2,1
20,1,1,1
20,2,1,1
20,3,1,2
20,4,1,2
20,5,2,1
20,6,2,1
20,7,2,2
20,8,2,2
21,1,1,1
21,2,1,1
21,3,1,2
21,4,1,2
21,5,2,1
21,6,2,1
21,7,2,2
21,8,2,2
22,2,1,1
22,4,1,2
22,6,2,1
23,2,1,1
23,4,1,2
23,5,2,1
23,6,2,1
23,8,2,2
24,2,1,1
24,4,1,2
24,5,2,1
24,6,2,1
24,8,2,2
25,2,1,1
25,3,1,2
25,4,1,2
25,6,2,1
25,8,2,2
27,2,1,1
27,4,1,2
27,5,2,1
27,6,2,1
27,8,2,2
28,2,1,1
28,4,1,2
28,5,2,1
28,6,2,1
28,8,2,2
29,2,1,1
29,3,1,2
29,4,1,2
29,6,2,1
29,8,2,2
30,2,1,1
30,4,1,2
30,5,2,1
30,6,2,1
30,8,2,2
31,2,1,1
31,4,1,2
31,5,2,1
31,6,2,1
31,8,2,2
33,1,1,1
33,2,1,1
33,4,1,2
33,5,2,1
33,6,2,1
33,8,2,2
34,2,1,1
34,4,1,2
34,6,2,1
34,8,2,2
35,1,1,1
35,2,1,1
35,3,1,2
35,4,1,2
35,5,2,1
35,6,2,1
35,8,2,2
36,1,1,1
36,2,1,1
36,4,1,2
36,5,2,1
36,6,2,1
36,8,2,2
37,2,1,1
37,3,1,2
37,4,1,2
37,6,2,1
37,8,2,2
38,2,1,1
38,3,1,2
38,4,1,2
38,6,2,1
38,8,2,2
39,2,1,1
39,4,1,2
39,6,2,1
39,8,2,2
40,2,1,1
40,4,1,2
40,6,2,1
40,8,2,2
41,1,1,1
41,2,1,1
41,4,1,2
41,5,2,1
41,6,2,1
41,8,2,2
42,1,1,1
42,2,1,1
42,6,2,1
42,8,2,2
43,2,1,1
43,3,1,2
43,4,1,2
43,6,2,1
43,7,2,2
43,8,2,2
44,2,1,1
44,4,1,2
44,6,2,1
44,8,2,2
45,2,1,1
45,4,1,2
45,6,2,1
45,8,2,2
46,2,1,1
46,4,1,2
46,6,2,1
47,2,1,1
47,4,1,2
47,6,2,1
47,8,2,2
49,1,1,1
49,2,1,1
49,4,1,2
49,5,2,1
49,6,2,1
49,8,2,2
50,2,1,1
50,3,1,2
50,4,1,2
50,6,2,1
50,8,2,2
51,1,1,1
51,2,1,1
51,3,1,2
51,4,1,2
51,5,2,1
51,6,2,1
51,7,2,2
51,8,2,2
52,2,1,1
52,4,1,2
52,6,2,1
52,8,2,2
53,2,1,1
53,3,1,2
53,4,1,2
53,6,2,1
53,8,2,2
54,2,1,1
