timing_phase_id,node_id,signal_phase_num,min_green,max_green,extension,clearance,walk_time,ped_clearance,mvmt_text_id,geometry
1,2,2,10,40,2.3,5,5,17,NBT,0
1,2,4,10,20,2.3,5.1,5,14,EBT,0
1,2,5,5,35,2.3,4,,,NBL,0
1,2,6,15,50,2.4,5.9,5,14,SBT,0
1,2,8,10,30,2.3,5.4,5,14,WBT,0
1,3,1,5,45,#N/A,4,,,SBL,0
1,3,2,10,40,2.3,6.1,5,21,NBT,0
1,3,4,10,20,2.3,5.8,5,31,EBT,0
1,3,5,5,35,2.3,4,,,NBL,0
1,3,6,15,50,#N/A,6.9,5,21,SBT,0
1,3,8,10,30,2.3,5.8,5,31,WBT,0
1,5,2,10,40,2.3,6.1,5,24,NBT,0
1,5,3,5,25,2,4,,,WBL,0
1,5,4,10,20,2,5.2,5,31,EBT,0
1,5,5,5,35,2.3,5,,,NBL,0
1,5,6,15,50,2.4,6.6,5,17,SBT,0
1,5,8,10,30,2,5.7,5,31,WBT,0
1,6,2,15,40,2.4,6.3,5,10,NBT,0
1,6,4,10,20,2,5.2,5,31,EBL,0
1,6,6,15,50,#N/A,6.9,5,17,SBT,0
1,7,2,10,40,2.3,6.1,5,17,NBT,0
1,7,4,10,20,2,5.2,5,27,EBT,0
1,7,5,5,35,2.3,4,,,NBL,0
1,7,6,15,50,#N/A,6.9,5,17,SBT,0
1,7,8,10,30,2,5.2,5,27,WBT,0
1,8,1,5,25,2.4,4,,,WBL,0
1,8,2,15,20,2.4,6.3,5,27,EBT,0
1,8,3,5,35,2.3,4,,,NBL,0
1,8,4,15,50,2.4,6.6,5,27,SBT,0
1,8,5,5,1,2.4,4,,,EBL,0
1,8,6,15,30,2.4,6,5,27,WBT,0
1,8,7,5,45,2.4,4,,,SBL,0
1,8,8,10,40,2.3,6.1,5,24,NBT,0
1,9,1,5,25,2.3,4,,,WBL,0
1,9,2,15,20,2.4,6,5,17,EBT,0
1,9,3,5,35,2.3,4,,,NBL,0
1,9,4,15,50,2.4,6.4,5,24,SBT,0
1,9,5,5,1,2.4,4,,,EBL,0
1,9,6,10,30,2.3,5.8,5,21,WBT,0
1,9,8,10,40,2.3,5.4,5,21,NBT,0
1,10,1,5,45,#N/A,4,,,SBL,0
1,10,2,10,40,2.3,6.1,5,27,NBT,0
1,10,3,5,25,2.3,4,,,WBL,0
1,10,4,10,20,2.3,6.1,5,31,EBT,0
1,10,5,5,35,2.3,6.1,,,NBL,0
1,10,6,15,50,#N/A,6.9,5,27,SBT,0
1,10,7,5,1,2.3,4,,,EBL,0
1,10,8,10,30,2.3,6.1,5,31,WBT,0
1,11,2,10,40,2,4.8,5,21,NBT,0
1,11,4,10,20,2.3,5.8,5,14,EBT,0
1,11,5,5,35,2,5,,,NBL,0
1,11,6,15,50,2.4,5.7,5,21,SBT,0
1,11,8,10,30,2.3,5.8,5,14,WBT,0
1,12,2,15,40,2.4,6.3,5,0,NBT,0
1,12,4,10,20,1.5,4.9,5,27,EBL,0
1,12,5,5,35,2.4,6.3,,,NBL,0
1,12,6,15,50,#N/A,6.6,5,14,SBT,0
1,13,1,5,45,#N/A,6.9,,,SBL,0
1,13,2,10,40,2.3,6.1,5,27,NBT,0
1,13,3,5,25,2.3,4,,,WBL,0
1,13,4,10,20,2.3,6.1,5,34,EBT,0
1,13,5,5,35,2.3,4,,,NBL,0
1,13,6,15,50,#N/A,6.9,5,27,SBT,0
1,13,7,5,1,2.3,4,,,EBL,0
1,13,8,10,30,2.3,6.1,5,34,WBT,0
1,14,2,10,20,2.3,5.8,5,14,EBT,0
1,14,3,5,35,2,4,,,NBL,0
1,14,4,15,50,2.4,5.9,5,24,SBT,0
1,14,6,10,30,2,5.7,5,17,WBT,0
1,14,8,10,40,2,4.8,5,21,NBT,0
1,16,1,5,45,2.4,5,,,SBL,0
1,16,2,10,40,2,5.7,5,17,NBT,0
1,16,4,10,20,2,4.8,5,21,EBT,0
1,16,5,5,35,2,4,,,NBL,0
1,16,6,15,50,2.4,6.2,5,10,SBT,0
1,16,8,10,30,2,5.2,5,21,WBT,0
1,17,1,5,45,#N/A,5,,,SBL,0
1,17,2,10,40,2.3,6.1,5,17,NBT,0
1,17,3,5,25,2,5,,,WBL,0
1,17,4,10,20,2,5.2,5,34,EBT,0
1,17,5,5,35,2.3,5,,,NBL,0
1,17,6,15,50,#N/A,6.9,5,17,SBT,0
1,17,7,5,1,2,5,,,EBL,0
1,17,8,10,30,2,5.2,5,34,WBT,0
1,18,1,5,45,2.4,4,,,SBL,0
1,18,2,10,40,2.3,6.1,5,27,NBT,0
1,18,3,5,25,2.3,5,,,WBL,0
1,18,4,10,20,2.3,6.1,5,27,EBT,0
1,18,5,5,35,2.3,4,,,NBL,0
1,18,6,15,50,2.4,6.6,5,27,SBT,0
1,18,7,5,1,2.3,4,,,EBL,0
1,18,8,10,30,2.3,6.1,5,31,WBT,0
1,19,2,15,40,2.4,6,5,0,NBT,0
1,19,4,10,20,1.5,5.5,5,24,EBL,0
1,19,5,5,35,2.4,6,,,NBL,0
1,19,6,15,50,#N/A,6.6,5,17,SBT,0
1,20,1,5,45,#N/A,4,,,SBL,0
1,20,2,15,40,2.4,6,5,27,NBT,0
1,20,3,5,25,2.3,4,,,WBL,0
1,20,4,10,20,2.3,6.1,5,24,EBT,0
1,20,5,5,35,2.4,5,,,NBL,0
1,20,6,15,50,#N/A,6.9,5,27,SBT,0
1,20,7,5,1,2.3,4,,,EBL,0
1,20,8,10,30,2.3,6.1,5,27,WBT,0
1,21,1,5,25,2.3,6.1,,,WBL,0
1,21,2,10,20,2.3,6.1,5,21,EBT,0
1,21,3,5,35,2,4,,,NBL,0
1,21,4,15,50,2.4,6.2,5,27,SBT,0
1,21,5,5,1,2.3,4,,,EBL,0
1,21,6,10,30,2.3,6.1,5,24,WBT,0
1,21,7,5,45,2.4,4,,,SBL,0
1,21,8,10,40,2,5.7,5,27,NBT,0
1,22,2,10,20,2.3,5.8,5,10,EBT,0
1,22,4,15,50,#N/A,6.4,5,21,SBL,0
1,22,6,10,30,2.3,5.8,5,17,WBT,0
1,23,2,10,40,2,4.8,5,17,NBT,0
1,23,4,10,20,2,4.8,5,14,EBT,0
1,23,5,5,35,2,4,,,NBL,0
1,23,6,15,50,2.4,5.9,5,14,SBT,0
1,23,8,10,30,2,5.2,5,17,WBT,0
1,24,2,10,40,2.3,6.1,5,14,NBT,0
1,24,4,10,20,2,4.8,5,27,EBT,0
1,24,5,5,35,2.3,4,,,NBL,0
1,24,6,15,50,#N/A,6.9,5,14,SBT,0
1,24,8,10,30,2,4.8,5,27,WBT,0
1,25,2,10,20,2.3,5.8,5,14,EBT,0
1,25,3,5,35,2,4,,,NBL,0
1,25,4,15,50,2.4,5.7,5,21,SBT,0
1,25,6,10,30,2.3,5.8,5,14,WBT,0
1,25,8,10,40,2,4.8,5,21,NBT,0
1,27,2,10,40,2,5.2,5,14,NBT,0
1,27,4,10,20,2,5.2,5,17,EBT,0
1,27,5,5,35,2,4,,,NBL,0
1,27,6,15,50,2.4,5.9,5,17,SBT,0
1,27,8,10,30,2,4.8,5,17,WBT,0
1,28,2,10,40,2,4.8,5,0,NBT,0
1,28,4,10,20,1.5,4.9,5,14,EBL,0
1,28,5,5,35,2,5,,,NBL,0
1,28,6,15,50,2.4,5.7,5,9,SBT,0
1,28,8,10,30,1.5,0,5,14,WBL,0
1,29,2,10,20,2,5.7,5,17,EBT,0
1,29,3,5,35,2,4,,,NBL,0
1,29,4,15,50,2.4,5.9,5,21,SBT,0
1,29,6,10,30,2.3,5.7,5,17,WBT,0
1,29,8,10,40,2,5.2,5,21,NBT,0
1,30,2,10,40,2,5.2,5,14,NBT,0
1,30,4,10,20,2,4.8,5,17,EBT,0
1,30,5,5,35,2,4,,,NBL,0
1,30,6,15,50,2.4,5.9,5,14,SBT,0
1,30,8,10,30,2,4.8,5,17,WBT,0
1,31,2,10,40,2,5.2,5,14,NBT,0
1,31,4,10,20,2,4.8,5,17,EBT,0
1,31,5,5,35,2,4,,,NBL,0
1,31,6,15,50,2.4,5.9,5,10,SBT,0
1,31,8,10,30,2,4.8,5,17,WBT,0
1,33,1,5,45,2.4,4,,,SBL,0
1,33,2,10,40,2.3,6.1,5,10,NBT,0
1,33,4,10,20,2,4.8,5,27,EBT,0
1,33,5,5,35,2.3,6.1,,,NBL,0
1,33,6,15,50,2.4,6.6,5,14,SBT,0
1,33,8,10,30,2,4.8,5,27,WBT,0
1,34,2,10,20,2.3,5.8,5,14,EBT,0
1,34,4,15,50,2.4,5.7,5,21,SBT,0
1,34,6,10,30,2.3,5.8,5,14,WBT,0
1,34,8,10,40,2,4.8,5,21,NBT,0
1,35,1,5,25,2.3,5,,,WBL,0
1,35,2,10,20,2.3,5.8,5,17,EBT,0
1,35,3,5,35,2.3,4,,,NBL,0
1,35,4,15,50,2.4,6.1,5,21,SBT,0
1,35,5,5,1,2.3,5,,,EBL,0
1,35,6,10,30,2.3,5.8,5,17,WBT,0
1,35,8,10,40,2.3,5.4,5,24,NBT,0
1,36,1,5,45,#N/A,6.9,,,SBL,0
1,36,2,10,40,2.3,6.1,5,21,NBT,0
1,36,4,10,20,2.3,5.8,5,31,EBT,0
1,36,5,5,35,2.3,4,,,NBL,0
1,36,6,15,50,#N/A,6.9,5,24,SBT,0
1,36,8,10,30,2.3,5.8,5,34,WBT,0
1,37,2,10,20,2.3,5.8,5,14,EBT,0
1,37,3,5,35,2,4,,,NBL,0
1,37,4,15,50,2.4,5.7,5,21,SBT,0
1,37,6,10,30,2.3,5.8,5,14,WBT,0
1,37,8,10,40,2,4.8,5,21,NBT,0
1,38,2,10,20,2.3,5.8,5,21,EBT,0
1,38,3,5,35,2,4,,,NBL,0
1,38,4,15,50,2.4,6.2,5,21,SBT,0
1,38,6,10,30,2.3,5.8,5,21,WBT,0
1,38,8,10,40,2,5.7,5,21,NBT,0
1,39,2,10,20,2.3,5.8,5,10,EBT,0
1,39,4,15,50,2.4,5.7,5,21,SBT,0
1,39,6,10,30,2.3,5.8,5,10,WBT,0
1,39,8,10,40,2,4.8,5,21,NBT,0
1,40,2,10,20,2.3,5.8,5,10,EBT,0
1,40,4,15,50,2.4,5.7,5,21,SBT,0
1,40,6,10,30,2.3,5.8,5,10,WBT,0
1,40,8,10,40,2,4.8,5,21,NBT,0
1,41,1,5,25,2.3,4,,,WBL,0
1,41,2,10,20,2.3,5.8,5,14,EBT,0
1,41,4,15,50,2.4,5.7,5,21,SBT,0
1,41,5,5,1,2.3,4,,,EBL,0
1,41,6,10,30,2.3,5.7,5,14,WBT,0
1,41,8,10,40,2,4.8,5,21,NBT,0
1,42,1,5,45,#N/A,4,,,SBL,0
1,42,2,15,40,2.4,6,5,14,NBT,0
1,42,6,15,50,#N/A,6.9,5,0,SBT,0
1,42,8,10,30,1.5,4.9,5,27,WBL,0
1,43,2,10,20,2.3,5.7,5,24,EBT,0
1,43,3,5,35,2.3,4,,,NBL,0
1,43,4,15,50,2.4,6.2,5,24,SBT,0
1,43,6,10,30,2.3,5.7,5,24,WBT,0
1,43,7,5,45,2.4,4,,,SBL,0
1,43,8,10,40,2.3,5.7,5,24,NBT,0
1,44,2,10,20,2.3,5.7,5,10,EBT,0
1,44,4,15,50,2.4,5.7,5,21,SBT,0
1,44,6,10,30,2.3,5.7,5,10,WBT,0
1,44,8,10,40,2,4.8,5,21,NBT,0
1,45,2,10,20,2.3,5.7,5,10,EBT,0
1,45,4,15,50,2.4,5.7,5,21,SBT,0
1,45,6,10,30,2.3,5.7,5,10,WBT,0
1,45,8,10,40,2,4.8,5,21,NBT,0
1,46,2,10,20,2.3,5.7,5,0,EBT,0
1,46,4,10,50,1.5,4.9,5,24,SBL,0
1,46,6,10,30,2.3,5.7,5,9,WBT,0
1,47,2,10,40,1.5,0,5,17,NBL,0
1,47,4,10,20,2.3,5.4,5,0,EBT,0
1,47,6,10,50,1.5,0,5,17,SBL,0
1,47,8,10,30,2.3,5.4,5,0,WBT,0
1,49,1,5,45,2.4,4,,,SBL,0
1,49,2,10,40,2.3,6.1,5,24,NBT,0
1,49,4,10,20,2.3,5.7,5,31,EBT,0
1,49,5,5,35,2.3,6.1,,,NBL,0
1,49,6,15,50,2.4,6.6,5,24,SBT,0
1,49,8,10,30,2.3,5.8,5,31,WBT,0
1,50,2,10,20,2.3,5.8,5,14,EBT,0
1,50,3,5,35,2,4,,,NBL,0
1,50,4,15,50,2.4,5.9,5,21,SBT,0
1,50,6,10,30,2.3,5.8,5,17,WBT,0
1,50,8,10,40,2,4.8,5,21,NBT,0
1,51,1,5,45,#N/A,4,,,SBL,0
1,51,2,10,40,2.3,6.1,5,27,NBT,0
1,51,3,5,25,2.3,4,,,WBL,0
1,51,4,10,20,2.3,6.1,5,31,EBT,0
1,51,5,5,35,2.3,4,,,NBL,0
1,51,6,15,50,#N/A,6.9,5,27,SBT,0
1,51,7,5,1,2.3,5,,,EBL,0
1,51,8,10,30,2.3,6.1,5,27,WBT,0
1,52,2,10,40,2,4.8,5,24,NBL,0
1,52,4,10,20,2.3,5.7,5,9,EBT,0
1,52,6,15,50,2.4,5.7,5,24,SBL,0
1,52,8,10,30,2.3,5.7,5,9,WBT,0
1,53,2,10,20,2.3,5.8,5,17,EBT,0
1,53,3,5,35,2,4,,,NBL,0
1,53,4,15,50,2.4,5.7,5,21,SBT,0
1,53,6,10,30,2.3,5.8,5,14,WBT,0
1,53,8,10,40,2,5.2,5,21,NBT,0
1,54,2,10,40,2,0,5,17,NBL,0
1,54,4,10,20,2.3,5.4,5,0,EBT,0
1,54,6,15,50,2.4,0,5,17,SBL,0
1,54,8,10,30,2.3,5.4,5,0,WBT,0
1,55,2,10,20,2.3,6.1,5,10,EBT,0
1,55,4,15,50,#N/A,6.4,5,34,SBL,0
1,55,6,10,30,2.3,6.1,5,17,WBT,0
1,56,2,10,20,2.3,5.7,5,0,EBT,0
1,56,4,10,50,1.5,4.9,5,21,SBL,0
1,56,5,5,1,2.3,4,,,EBL,0
1,56,6,10,30,2.3,5.7,5,14,WBT,0
1,57,2,10,20,2.3,5.8,5,14,EBT,0
1,57,3,5,35,2,4,,,NBL,0
1,57,4,15,50,2.4,5.9,5,21,SBT,0
1,57,6,10,30,2.3,5.8,5,17,WBT,0
1,57,8,10,40,2,4.8,5,21,NBT,0
1,58,2,10,40,2,5.7,5,27,NBT,0
1,58,4,10,20,2.3,6.1,5,21,EBT,0
1,58,5,5,35,2,4,,,NBL,0
1,58,6,15,50,2.4,6.2,5,27,SBT,0
1,58,7,5,1,2.3,4,,,EBL,0
1,58,8,10,30,2.3,6.1,5,21,WBT,0
1,59,2,10,40,2,4.8,5,24,NBT,0
1,59,4,10,20,2.3,6.1,5,14,EBT,0
1,59,5,5,35,2,4,,,NBL,0
1,59,6,15,50,2.4,5.9,5,27,SBT,0
1,59,7,5,1,2.3,5,,,EBL,0
1,59,8,10,30,2.3,5.7,5,17,WBT,0
1,60,2,10,40,2.3,5.7,5,10,NBT,0
1,60,4,10,20,2,4.8,5,24,EBT,0
1,60,5,5,35,2.3,4,,,NBL,0
1,60,6,15,50,2.4,6.4,5,10,SBT,0
1,60,8,10,30,2,4.8,5,21,WBT,0
1,61,2,10,20,2.3,5.8,5,14,EBT,0
1,61,3,5,35,2,4,,,NBL,0
1,61,4,15,50,2.4,5.9,5,21,SBT,0
1,61,6,10,30,2.3,5.8,5,17,WBT,0
1,61,8,10,40,2,4.8,5,21,NBT,0
1,62,2,10,20,2,4.8,5,14,EBT,0
1,62,3,5,35,2,4,,,NBL,0
1,62,4,15,50,2.4,5.7,5,10,SBT,0
1,62,6,10,30,2,4.8,5,14,WBT,0
1,62,8,10,40,2,4.8,5,10,NBT,0
1,63,2,10,40,2.3,6.1,5,0,NBT,0
1,63,4,10,20,1.5,4.9,5,27,EBL,0
1,63,5,5,35,2.3,5,,,NBL,0
1,63,6,15,50,2.4,6.4,5,14,SBT,0
1,64,1,5,45,2.4,4,,,SBL,0
1,64,2,10,40,2.3,6.1,5,14,NBT,0
1,64,4,10,20,2,4.8,5,27,EBT,0
1,64,5,5,35,2.3,6.1,,,NBL,0
1,64,6,15,50,2.4,6.6,5,14,SBT,0
1,64,8,10,30,2,4.8,5,27,WBT,0
1,65,2,10,40,2,4.8,5,0,NBL,0
1,65,4,10,20,1.5,0,5,9,EBL,0
1,65,6,10,50,1.5,4.9,5,0,SBT,0
1,65,8,10,30,1.5,0,5,9,WBL,0
1,66,2,10,40,2.3,5.8,5,10,NBT,0
1,66,4,10,20,2,4.8,5,24,EBT,0
1,66,5,5,35,2.3,4,,,NBL,0
1,66,6,15,50,#N/A,6.6,5,10,SBT,0
1,66,8,10,30,2,4.8,5,24,WBT,0
