node_id,timing_plan_id,time_day,cycle_length,coord_node_id,coord_phase,offset
2,1,00:00_15:00,60,3,1,77
3,1,00:00_15:00,90,3,408,86
5,1,00:00_15:00,90,3,408,100
6,1,00:00_15:00,140,3,206,28
7,1,00:00_15:00,80,3,1,19
8,1,00:00_15:00,100,3,206,25
9,1,00:00_15:00,90,3,206,0
10,1,00:00_15:00,110,3,408,21
11,1,00:00_15:00,70,3,1,0
12,1,00:00_15:00,80,3,408,22
13,1,00:00_15:00,110,3,408,0
14,1,00:00_15:00,80,0,1,0
16,1,00:00_15:00,70,0,4,72
17,1,00:00_15:00,100,3,408,36
18,1,00:00_15:00,100,3,408,85
19,1,00:00_15:00,80,3,206,35
20,1,00:00_15:00,100,3,408,93
21,1,00:00_15:00,100,3,206,70
22,1,00:00_15:00,70,3,206,13
23,1,00:00_15:00,70,3,206,45
24,1,00:00_15:00,80,3,1,45
25,1,00:00_15:00,70,3,1,35
27,1,00:00_15:00,70,3,408,39
28,1,00:00_15:00,60,3,1,51
29,1,00:00_15:00,70,3,408,50
30,1,00:00_15:00,70,3,1,30
31,1,00:00_15:00,60,3,1,92
33,1,00:00_15:00,80,3,408,3
34,1,00:00_15:00,60,3,1,102
35,1,00:00_15:00,80,3,206,25
36,1,00:00_15:00,90,3,206,85
37,1,00:00_15:00,70,3,206,92
38,1,00:00_15:00,80,3,206,95
39,1,00:00_15:00,60,3,1,49
40,1,00:00_15:00,60,3,1,39
41,1,00:00_15:00,70,3,206,29
42,1,00:00_15:00,80,3,408,62
43,1,00:00_15:00,80,3,408,1
44,1,00:00_15:00,60,0,1,38
45,1,00:00_15:00,60,0,1,53
46,1,00:00_15:00,60,3,1,29
47,1,00:00_15:00,40,3,1,100
49,1,00:00_15:00,90,3,206,91
50,1,00:00_15:00,70,3,1,30
51,1,00:00_15:00,100,3,206,100
52,1,00:00_15:00,60,3,1,97
53,1,00:00_15:00,70,3,1,40
54,1,00:00_15:00,40,3,1,43
55,1,00:00_15:00,140,3,206,0
56,1,00:00_15:00,70,3,206,38
57,1,00:00_15:00,70,3,1,40
58,1,00:00_15:00,90,3,206,48
59,1,00:00_15:00,90,3,206,59
60,1,00:00_15:00,70,3,1,5
61,1,00:00_15:00,70,3,206,89
62,1,00:00_15:00,60,3,1,32
63,1,00:00_15:00,80,3,1,8
64,1,00:00_15:00,80,3,1,74
65,1,00:00_15:00,40,0,1,0
66,1,00:00_15:00,70,3,1,85
67,1,00:00_15:00,60,3,1,30
68,1,00:00_15:00,70,3,1,103
69,1,00:00_15:00,60,3,1,98
70,1,00:00_15:00,70,3,1,0
71,1,00:00_15:00,70,3,408,40
72,1,00:00_15:00,50,3,1,80
73,1,00:00_15:00,60,3,1,97
74,1,00:00_15:00,70,3,206,85
75,1,00:00_15:00,70,3,1,40
76,1,00:00_15:00,90,3,206,40
80,1,00:00_15:00,150,3,206,64
82,1,00:00_15:00,80,3,1,69
83,1,00:00_15:00,110,3,206,106
84,1,00:00_15:00,150,0,2,23
85,1,00:00_15:00,80,3,1,45
86,1,00:00_15:00,100,3,206,100
87,1,00:00_15:00,60,3,1,93
88,1,00:00_15:00,80,3,206,56
89,1,00:00_15:00,80,3,1,27
90,1,00:00_15:00,140,3,2,21
91,1,00:00_15:00,130,3,206,90
92,1,00:00_15:00,70,3,1,41
93,1,00:00_15:00,60,3,1,21
94,1,00:00_15:00,140,3,206,6
95,1,00:00_15:00,40,3,1,0
96,1,00:00_15:00,70,3,1,104
97,1,00:00_15:00,140,3,1,65
99,1,00:00_15:00,120,3,206,10
101,1,00:00_15:00,60,3,1,77
102,1,00:00_15:00,70,3,1,11
103,1,00:00_15:00,140,3,206,0
104,1,00:00_15:00,70,3,408,106
105,1,00:00_15:00,80,3,408,60
106,1,00:00_15:00,80,3,1,62
107,1,00:00_15:00,80,3,408,103
108,1,00:00_15:00,80,3,408,0
109,1,00:00_15:00,80,3,408,108
110,1,00:00_15:00,70,3,1,40
111,1,00:00_15:00,70,3,1,100
113,1,00:00_15:00,80,3,1,64
114,1,00:00_15:00,70,3,1,94
115,1,00:00_15:00,70,3,1,90
116,1,00:00_15:00,60,3,1,95
117,1,00:00_15:00,70,3,1,86
118,1,00:00_15:00,100,3,206,0
119,1,00:00_15:00,60,3,1,39
120,1,00:00_15:00,110,3,206,104
121,1,00:00_15:00,90,3,206,60
122,1,00:00_15:00,80,3,1,34
123,1,00:00_15:00,60,3,206,105
124,1,00:00_15:00,100,3,206,100
125,1,00:00_15:00,90,3,1,107
126,1,00:00_15:00,70,3,1,89
127,1,00:00_15:00,150,3,206,98
128,1,00:00_15:00,60,3,1,71
129,1,00:00_15:00,80,3,1,35
130,1,00:00_15:00,100,3,206,98
131,1,00:00_15:00,70,3,1,93
132,1,00:00_15:00,80,3,1,45
135,1,00:00_15:00,140,3,206,0
138,1,00:00_15:00,70,3,1,40
139,1,00:00_15:00,70,3,408,70
140,1,00:00_15:00,70,3,408,8
141,1,00:00_15:00,140,3,206,88
142,1,00:00_15:00,140,3,206,107
144,1,00:00_15:00,140,3,206,2
147,1,00:00_15:00,70,3,1,92
149,1,00:00_15:00,110,3,1,75
150,1,00:00_15:00,80,3,1,26
152,1,00:00_15:00,60,3,1,106
153,1,00:00_15:00,80,3,206,1
154,1,00:00_15:00,80,3,206,113
155,1,00:00_15:00,140,3,206,3
156,1,00:00_15:00,100,3,206,103
157,1,00:00_15:00,80,3,2,103
159,1,00:00_15:00,120,3,206,55
160,1,00:00_15:00,140,3,206,40
162,1,00:00_15:00,100,3,206,100
163,1,00:00_15:00,80,3,1,35
165,1,00:00_15:00,110,3,206,109
166,1,00:00_15:00,80,3,1,27
168,1,00:00_15:00,140,3,206,100
170,1,00:00_15:00,80,3,1,45
172,1,00:00_15:00,140,3,206,0
174,1,00:00_15:00,70,3,1,77
175,1,00:00_15:00,70,3,1,81
177,1,00:00_15:00,70,3,1,81
178,1,00:00_15:00,80,3,1,35
180,1,00:00_15:00,150,3,206,0
181,1,00:00_15:00,60,3,1,25
183,1,00:00_15:00,140,3,206,95
184,1,00:00_15:00,70,3,1,25
186,1,00:00_15:00,140,3,206,0
188,1,00:00_15:00,70,3,1,45
191,1,00:00_15:00,100,3,206,70
193,1,00:00_15:00,70,3,1,85
195,1,00:00_15:00,70,3,1,105
196,1,00:00_15:00,110,3,1,60
197,1,00:00_15:00,50,0,1,0
198,1,00:00_15:00,60,0,1,0
202,1,00:00_15:00,80,3,206,36
203,1,00:00_15:00,90,3,206,4
204,1,00:00_15:00,110,3,206,0
205,1,00:00_15:00,80,3,206,49
206,1,00:00_15:00,100,3,206,50
208,1,00:00_15:00,100,3,206,0
209,1,00:00_15:00,40,0,1,0
210,1,00:00_15:00,100,3,206,109
213,1,00:00_15:00,80,3,1,55
215,1,00:00_15:00,100,3,206,0
216,1,00:00_15:00,80,3,1,35
219,1,00:00_15:00,100,3,1,34
220,1,00:00_15:00,140,3,206,104
221,1,00:00_15:00,80,3,408,95
222,1,00:00_15:00,80,3,408,90
224,1,00:00_15:00,80,3,408,23
225,1,00:00_15:00,80,3,1,67
226,1,00:00_15:00,80,3,1,95
228,1,00:00_15:00,90,3,206,5
229,1,00:00_15:00,110,3,206,106
231,1,00:00_15:00,90,3,206,55
232,1,00:00_15:00,140,3,206,0
236,1,00:00_15:00,90,3,206,0
240,1,00:00_15:00,90,3,206,0
243,1,00:00_15:00,70,3,1,98
244,1,00:00_15:00,70,3,206,30
245,1,00:00_15:00,80,3,206,0
246,1,00:00_15:00,70,0,206,16
247,1,00:00_15:00,60,0,1,0
248,1,00:00_15:00,80,3,408,98
249,1,00:00_15:00,70,0,206,0
250,1,00:00_15:00,80,3,206,109
251,1,00:00_15:00,80,3,1,90
252,1,00:00_15:00,60,3,408,55
253,1,00:00_15:00,70,3,1,103
500,1,00:00_15:00,140,2,206,0
503,1,00:00_15:00,140,2,206,78
504,1,00:00_15:00,140,2,206,0
505,1,00:00_15:00,140,2,206,0
506,1,00:00_15:00,140,2,206,0
507,1,00:00_15:00,40,2,206,0
509,1,00:00_15:00,140,0,408,31
511,1,00:00_15:00,140,0,408,30
512,1,00:00_15:00,140,0,206,26
513,1,00:00_15:00,140,0,206,0
514,1,00:00_15:00,40,0,206,0
515,1,00:00_15:00,140,0,206,26
516,1,00:00_15:00,80,2,206,106
517,1,00:00_15:00,140,1,408,22
519,1,00:00_15:00,40,0,206,19
520,1,00:00_15:00,40,0,408,29
521,1,00:00_15:00,60,2,206,20
522,1,00:00_15:00,140,2,206,97
523,1,00:00_15:00,50,0,206,0
524,1,00:00_15:00,140,2,206,0
525,1,00:00_15:00,80,2,206,20
526,1,00:00_15:00,140,2,206,18
527,1,00:00_15:00,60,2,206,60
528,1,00:00_15:00,140,2,206,60
530,1,00:00_15:00,140,2,206,98
532,1,00:00_15:00,60,2,206,17
534,1,00:00_15:00,140,2,206,92
536,1,00:00_15:00,60,2,206,0
537,1,00:00_15:00,40,2,206,0
744,1,00:00_15:00,140,0,206,0
745,1,00:00_15:00,140,0,206,0
