lane_id,link_id,lane_num,length_m,speed_mps,geometry,type,movement_name,mvmt_id,up_node,dest_node,volume,numDetects,is_turn_bay_lane,is_added_turn_bay_lane
106_39_0,106_39,0,30.236367,20.1168,"POLYGON ((-114.598157 35.026321, -114.598137 35.026049, -114.598097 35.026051, -114.598117 35.026323, -114.598157 35.026321))",thru,SBT,106_39_75_SBT,106,75,4961.0,2,False,False
106_39_1,106_39,1,30.236367,20.1168,"POLYGON ((-114.598117 35.026323, -114.598097 35.026051, -114.598057 35.026053, -114.598077 35.026325, -114.598117 35.026323))",thru,SBT,106_39_75_SBT,106,75,4961.0,2,False,False
106_39_2,106_39,2,30.236367,20.1168,"POLYGON ((-114.598077 35.026325, -114.598057 35.026053, -114.598017 35.026055, -114.598037 35.026327, -114.598077 35.026325))",left,SBL,106_39_74_SBL,106,74,214.0,1,False,False
31_87_0,31_87,0,173.769739,20.1168,"POLYGON ((-114.59811 34.966191, -114.598107 34.967757, -114.598147 34.967757, -114.59815 34.966191, -114.59811 34.966191))",thru,NBT,31_87_98_NBT,31,98,718.0,2,False,False
31_87_1,31_87,1,173.769739,20.1168,"POLYGON ((-114.59815 34.966191, -114.598147 34.967757, -114.598187 34.967757, -114.59819 34.966191, -114.59815 34.966191))",thru,NBT,31_87_98_NBT,31,98,718.0,2,False,False
31_87_2,31_87,2,173.769739,20.1168,"POLYGON ((-114.59819 34.966191, -114.598187 34.967757, -114.598227 34.967757, -114.59823 34.966191, -114.59819 34.966191))",left,NBL,31_87_88_NBL,31,88,17.0,1,False,False
39_106_0,39_106,0,30.236367,20.1168,"POLYGON ((-114.598037 35.026054, -114.598057 35.026326, -114.598097 35.026324, -114.598077 35.026052, -114.598037 35.026054))",thru,,,39,,,,False,False
39_106_1,39_106,1,30.236367,20.1168,"POLYGON ((-114.598077 35.026052, -114.598097 35.026324, -114.598137 35.026322, -114.598117 35.02605, -114.598077 35.026052))",thru,,,39,,,,False,False
39_73_0,39_73,0,66.465428,20.1168,"POLYGON ((-114.598076 35.026068, -114.598804 35.026077, -114.598805 35.026044, -114.598077 35.026036, -114.598076 35.026068))",thru,,,39,,,,False,False
39_74_0,39_74,0,85.978758,20.1168,"POLYGON ((-114.598077 35.026036, -114.597135 35.026025, -114.597135 35.026057, -114.598076 35.026068, -114.598077 35.026036))",thru,,,39,,,,False,False
