link_id,from_node_id,to_node_id,lanes,length_m,free_speed_mps,geometry,main_link_id,is_turn_bay_link
106_39,106,39,3,30.236367,20.1168,"POLYGON ((-114.598157 35.026321, -114.598137 35.026049, -114.598017 35.026055, -114.598037 35.026327, -114.598157 35.026321))",106_39,False
31_87,31,87,3,173.769739,20.1168,"POLYGON ((-114.59811 34.966191, -114.598107 34.967757, -114.598227 34.967757, -114.59823 34.966191, -114.59811 34.966191))",31_87,False
39_106,39,106,2,30.236367,20.1168,"POLYGON ((-114.598037 35.026054, -114.598057 35.026326, -114.598137 35.026322, -114.598117 35.02605, -114.598037 35.026054))",39_106,False
39_73,39,73,1,66.465428,20.1168,"POLYGON ((-114.598076 35.026068, -114.598804 35.026077, -114.598805 35.026044, -114.598077 35.026036, -114.598076 35.026068))",39_73,False
39_74,39,74,1,85.978758,20.1168,"POLYGON ((-114.598077 35.026036, -114.597135 35.026025, -114.597135 35.026057, -114.598076 35.026068, -114.598077 35.026036))",39_74,False
39_75,39,75,3,910.003415,20.1168,"POLYGON ((-114.598137 35.026052, -114.59815 35.017851, -114.59803 35.017851, -114.598017 35.026052, -114.598137 35.026052))",39_75,False
73_39,73,39,2,66.465428,20.1168,"POLYGON ((-114.598805 35.026027, -114.598077 35.026019, -114.598076 35.026085, -114.598804 35.026093, -114.598805 35.026027))",73_39,False
74_39,74,39,2,85.978758,20.1168,"POLYGON ((-114.597134 35.026074, -114.598076 35.026085, -114.598077 35.026019, -114.597135 35.026008, -114.597134 35.026074))",74_39,False
75_39,75,39,3,910.003415,20.1168,"POLYGON ((-114.59803 35.017851, -114.598017 35.026052, -114.598137 35.026052, -114.59815 35.017851, -114.59803 35.017851))",75_39,False
75_76,75,76,1,55.48424,20.1168,"POLYGON ((-114.59809 35.017867, -114.598698 35.017867, -114.598698 35.017834, -114.59809 35.017834, -114.59809 35.017867))",75_76,False
75_77,75,77,1,64.021024,20.1168,"POLYGON ((-114.59809 35.017834, -114.597389 35.017832, -114.597389 35.017865, -114.59809 35.017867, -114.59809 35.017834))",75_77,False
75_78,75,78,3,703.309206,20.1168,"POLYGON ((-114.59815 35.017851, -114.59816 35.011513, -114.59804 35.011513, -114.59803 35.017851, -114.59815 35.017851))",75_78,False
76_75,76,75,2,55.48424,20.1168,"POLYGON ((-114.598698 35.017818, -114.59809 35.017818, -114.59809 35.017884, -114.598698 35.017884, -114.598698 35.017818))",76_75,False
77_75,77,75,2,64.021024,20.1168,"POLYGON ((-114.597389 35.017881, -114.59809 35.017884, -114.59809 35.017818, -114.597389 35.017815, -114.597389 35.017881))",77_75,False
78_75,78,75,3,703.309206,20.1168,"POLYGON ((-114.59804 35.011513, -114.59803 35.017851, -114.59815 35.017851, -114.59816 35.011513, -114.59804 35.011513))",78_75,False
78_79,78,79,1,75.610464,20.1168,"POLYGON ((-114.5981 35.011496, -114.597272 35.011488, -114.597272 35.011521, -114.5981 35.011529, -114.5981 35.011496))",78_79,False
78_80,78,80,3,810.924662,20.1168,"POLYGON ((-114.59816 35.011513, -114.598173 35.004205, -114.598053 35.004205, -114.59804 35.011513, -114.59816 35.011513))",78_80,False
79_78,79,78,2,75.610464,20.1168,"POLYGON ((-114.597271 35.011537, -114.5981 35.011546, -114.598101 35.01148, -114.597272 35.011471, -114.597271 35.011537))",79_78,False
80_78,80,78,3,810.924662,20.1168,"POLYGON ((-114.598053 35.004205, -114.59804 35.011513, -114.59816 35.011513, -114.598173 35.004205, -114.598053 35.004205))",80_78,False
80_81,80,81,1,86.623317,20.1168,"POLYGON ((-114.598114 35.004188, -114.597166 35.004163, -114.597164 35.004196, -114.598113 35.004221, -114.598114 35.004188))",80_81,False
80_82,80,82,3,810.923829,20.1168,"POLYGON ((-114.598173 35.004205, -114.598173 34.996896, -114.598053 34.996896, -114.598053 35.004205, -114.598173 35.004205))",80_82,False
81_80,81,80,1,86.623317,20.1168,"POLYGON ((-114.597164 35.004196, -114.598113 35.004221, -114.598114 35.004188, -114.597166 35.004163, -114.597164 35.004196))",81_80,False
82_80,82,80,2,810.923829,20.1168,"POLYGON ((-114.598073 34.996896, -114.598073 35.004205, -114.598153 35.004205, -114.598153 34.996896, -114.598073 34.996896))",82_80,False
82_83,82,83,1,114.932132,20.1168,"POLYGON ((-114.598113 34.99688, -114.596855 34.996883, -114.596855 34.996916, -114.598113 34.996913, -114.598113 34.99688))",82_83,False
82_84,82,84,4,1614.53314,20.1168,"POLYGON ((-114.598194 34.996897, -114.59822 34.982346, -114.59806 34.982346, -114.598033 34.996896, -114.598194 34.996897))",82_84,False
83_82,83,82,1,114.932132,20.1168,"POLYGON ((-114.596855 34.996916, -114.598113 34.996913, -114.598113 34.99688, -114.596855 34.996883, -114.596855 34.996916))",83_82,False
84_82,84,82,2,1614.53314,20.1168,"POLYGON ((-114.5981 34.982346, -114.598073 34.996896, -114.598153 34.996897, -114.59818 34.982346, -114.5981 34.982346))",84_82,False
84_85,84,85,2,78.0438,20.1168,"POLYGON ((-114.59814 34.982379, -114.598995 34.982379, -114.598995 34.982313, -114.59814 34.982313, -114.59814 34.982379))",84_85,False
84_86,84,86,3,105.786424,20.1168,"POLYGON ((-114.59814 34.982297, -114.596982 34.982299, -114.596982 34.982398, -114.59814 34.982396, -114.59814 34.982297))",84_86,False
84_98,84,98,3,400.600989,20.1168,"POLYGON ((-114.5982 34.982347, -114.59824 34.978736, -114.59812 34.978736, -114.59808 34.982346, -114.5982 34.982347))",84_98,False
85_84,85,84,3,78.0438,20.1168,"POLYGON ((-114.598995 34.982297, -114.59814 34.982297, -114.59814 34.982396, -114.598995 34.982396, -114.598995 34.982297))",85_84,False
86_84,86,84,2,105.786424,20.1168,"POLYGON ((-114.596982 34.982382, -114.59814 34.982379, -114.59814 34.982313, -114.596982 34.982316, -114.596982 34.982382))",86_84,False
87_31,87,31,2,173.769739,20.1168,"POLYGON ((-114.598207 34.967757, -114.59821 34.966191, -114.59813 34.966191, -114.598127 34.967757, -114.598207 34.967757))",87_31,False
87_88,87,88,2,60.972496,20.1168,"POLYGON ((-114.598167 34.96779, -114.598834 34.967793, -114.598834 34.967727, -114.598167 34.967724, -114.598167 34.96779))",87_88,False
87_89,87,89,2,109.143286,20.1168,"POLYGON ((-114.598167 34.967724, -114.596972 34.967716, -114.596972 34.967782, -114.598166 34.96779, -114.598167 34.967724))",87_89,False
87_98,87,98,3,1218.215953,20.1168,"POLYGON ((-114.598107 34.967757, -114.59812 34.978736, -114.59824 34.978736, -114.598227 34.967757, -114.598107 34.967757))",87_98,False
88_87,88,87,3,60.972496,20.1168,"POLYGON ((-114.598835 34.967711, -114.598167 34.967708, -114.598166 34.967807, -114.598834 34.967809, -114.598835 34.967711))",88_87,False
89_87,89,87,3,109.143286,20.1168,"POLYGON ((-114.596971 34.967798, -114.598166 34.967807, -114.598167 34.967708, -114.596972 34.9677, -114.596971 34.967798))",89_87,False
97_98,97,98,3,86.961683,20.1168,"POLYGON ((-114.599129 34.978654, -114.598178 34.978687, -114.598183 34.978785, -114.599134 34.978752, -114.599129 34.978654))",97_98,False
98_84,98,84,4,400.600989,20.1168,"POLYGON ((-114.5981 34.978735, -114.59806 34.982346, -114.59822 34.982347, -114.59826 34.978737, -114.5981 34.978735))",98_84,False
98_87,98,87,3,1218.215953,20.1168,"POLYGON ((-114.59824 34.978736, -114.598227 34.967757, -114.598107 34.967757, -114.59812 34.978736, -114.59824 34.978736))",98_87,False
98_97,98,97,1,86.961683,20.1168,"POLYGON ((-114.598181 34.978752, -114.599132 34.978719, -114.599131 34.978687, -114.598179 34.97872, -114.598181 34.978752))",98_97,False
