mvmt_id,node_id,ib_link_id,ob_link_id,type,movement_name,num_lanes,volume,ib_lane_indices,ob_lane_indices,sumo_dir,turning_speed_mps,is_turn_bay_connector,control
106_39_74_SBL,39,106_39,39_74,left,SBL,1,214.0,2,0,l,6.7056,False,
106_39_75_SBT,39,106_39,39_75,thru,SBT,2,4961.0,"0,1","0,1",s,26.8224,False,
106_39_73_SBR,39,106_39,39_73,right,SBR,1,58.0,0,0,r,4.02336,False,
31_87_88_NBL,87,31_87,87_88,left,NBL,1,17.0,2,1,l,6.7056,False,
31_87_98_NBT,87,31_87,87_98,thru,NBT,2,718.0,"0,1","0,1",s,26.8224,False,
31_87_89_NBR,87,31_87,87_89,right,NBR,1,28.0,0,0,r,4.02336,False,
39_75_77_SBL,75,39_75,75_77,left,SBL,1,41.0,2,0,l,6.7056,False,
39_75_78_SBT,75,39_75,75_78,thru,SBT,2,541.0,"0,1","0,1",s,26.8224,False,
39_75_76_SBR,75,39_75,75_76,right,SBR,1,2.0,0,0,r,4.02336,False,
73_39_106_EBL,39,73_39,39_106,left,EBL,1,182.0,1,1,l,6.7056,False,
73_39_74_EBT,39,73_39,39_74,thru,EBT,1,122.0,0,0,s,26.8224,False,
73_39_75_EBR,39,73_39,39_75,right,EBR,1,143.0,0,0,r,4.02336,False,
74_39_75_WBL,39,74_39,39_75,left,WBL,1,580.0,1,1,l,6.7056,False,
74_39_73_WBT,39,74_39,39_73,thru,WBT,1,140.0,0,0,s,26.8224,False,
74_39_106_WBR,39,74_39,39_106,right,WBR,1,315.0,0,0,r,4.02336,False,
75_39_73_NBL,39,75_39,39_73,left,NBL,1,181.0,2,0,l,6.7056,False,
75_39_106_NBT,39,75_39,39_106,thru,NBT,2,7732.0,"0,1","0,1",s,26.8224,False,
75_39_74_NBR,39,75_39,39_74,right,NBR,1,300.0,0,0,r,4.02336,False,
75_78_79_SBL,78,75_78,78_79,left,SBL,1,79.0,2,0,l,6.7056,False,
75_78_80_SBT,78,75_78,78_80,thru,SBT,2,1175.0,"0,1","0,1",s,26.8224,False,
76_75_39_EBL,75,76_75,75_39,left,EBL,1,5.0,1,1,l,6.7056,False,
76_75_77_EBT,75,76_75,75_77,thru,EBT,1,18.0,0,0,s,26.8224,False,
76_75_78_EBR,75,76_75,75_78,right,EBR,1,30.0,0,0,r,4.02336,False,
77_75_78_WBL,75,77_75,75_78,left,WBL,1,17.0,1,1,l,6.7056,False,
77_75_76_WBT,75,77_75,75_76,thru,WBT,1,14.0,0,0,s,26.8224,False,
77_75_39_WBR,75,77_75,75_39,right,WBR,1,14.0,0,0,r,4.02336,False,
78_75_76_NBL,75,78_75,75_76,left,NBL,1,67.0,2,0,l,6.7056,False,
78_75_39_NBT,75,78_75,75_39,thru,NBT,2,649.0,"0,1","0,1",s,26.8224,False,
78_75_77_NBR,75,78_75,75_77,right,NBR,1,22.0,0,0,r,4.02336,False,
78_80_81_SBL,80,78_80,80_81,left,SBL,1,48.0,2,0,l,6.7056,False,
78_80_82_SBT,80,78_80,80_82,thru,SBT,2,712.0,"0,1","0,1",s,26.8224,False,
79_78_80_WBL,78,79_78,78_80,left,WBL,2,93.0,"0,1","1,0",l,6.7056,False,
79_78_75_WBR,78,79_78,78_75,right,WBR,1,175.0,0,0,r,4.02336,False,
80_78_75_NBT,78,80_78,78_75,thru,NBT,3,1536.0,"0,1,2","0,0,1",s,26.8224,False,
80_78_79_NBR,78,80_78,78_79,right,NBR,1,61.0,0,0,r,4.02336,False,
80_82_83_SBL,82,80_82,82_83,left,SBL,1,72.0,2,0,l,6.7056,False,
80_82_84_SBT,82,80_82,82_84,thru,SBT,2,1074.0,"0,1","0,1",s,26.8224,False,
81_80_82_WBL,80,81_80,80_82,left,WBL,1,27.0,0,1,l,6.7056,False,
81_80_78_WBR,80,81_80,80_78,right,WBR,1,52.0,0,0,r,4.02336,False,
82_80_78_NBT,80,82_80,80_78,thru,NBT,2,1063.0,"0,1","0,1",s,26.8224,False,
82_80_81_NBR,80,82_80,80_81,right,NBR,1,42.0,0,0,r,4.02336,False,
82_84_86_SBL,84,82_84,84_86,left,SBL,1,23.0,3,2,l,6.7056,False,
82_84_98_SBT,84,82_84,84_98,thru,SBT,3,544.0,"0,1,2","0,1,2",s,26.8224,False,
82_84_85_SBR,84,82_84,84_85,right,SBR,1,6.0,0,0,r,4.02336,False,
83_82_84_WBL,82,83_82,82_84,left,WBL,1,102.0,0,2,l,6.7056,False,
83_82_80_WBR,82,83_82,82_80,right,WBR,1,193.0,0,0,r,4.02336,False,
84_82_80_NBT,82,84_82,82_80,thru,NBT,2,1402.0,"0,1","0,1",s,26.8224,False,
84_82_83_NBR,82,84_82,82_83,right,NBR,1,56.0,0,0,r,4.02336,False,
84_98_87_SBT,98,84_98,98_87,thru,SBT,3,558.0,"0,1,2","0,0,1",s,26.8224,False,
84_98_97_SBR,98,84_98,98_97,right,SBR,1,25.0,0,0,r,4.02336,False,
85_84_82_EBL,84,85_84,84_82,left,EBL,1,12.0,2,1,l,6.7056,False,
85_84_86_EBT,84,85_84,84_86,thru,EBT,3,8.0,"0,1,2","0,1,2",s,26.8224,False,
85_84_98_EBR,84,85_84,84_98,right,EBR,1,10.0,0,0,r,4.02336,False,
86_84_98_WBL,84,86_84,84_98,left,WBL,1,41.0,1,2,l,6.7056,False,
86_84_85_WBT,84,86_84,84_85,thru,WBT,2,10.0,"0,1","0,1",s,26.8224,False,
86_84_82_WBR,84,86_84,84_82,right,WBR,1,23.0,0,0,r,4.02336,False,
87_98_97_NBL,98,87_98,98_97,left,NBL,1,74.0,2,0,l,6.7056,False,
87_98_84_NBT,98,87_98,98_84,thru,NBT,2,730.0,"0,1","0,1",s,26.8224,False,
88_87_98_EBL,87,88_87,87_98,left,EBL,1,23.0,2,1,l,6.7056,False,
88_87_89_EBT,87,88_87,87_89,thru,EBT,2,15.0,"0,1","0,1",s,26.8224,False,
88_87_31_EBR,87,88_87,87_31,right,EBR,1,18.0,0,0,r,4.02336,False,
89_87_31_WBL,87,89_87,87_31,left,WBL,1,77.0,2,1,l,6.7056,False,
89_87_88_WBT,87,89_87,87_88,thru,WBT,2,19.0,"0,1","0,1",s,26.8224,False,
89_87_98_WBR,87,89_87,87_98,right,WBR,1,42.0,0,0,r,4.02336,False,
97_98_84_EBL,98,97_98,98_84,left,EBL,3,21.0,"0,1,2","2,1,0",l,6.7056,False,
97_98_87_EBR,98,97_98,98_87,right,EBR,1,25.0,0,0,r,4.02336,False,
98_84_85_NBL,84,98_84,84_85,left,NBL,1,17.0,3,1,l,6.7056,False,
98_84_82_NBT,84,98_84,84_82,thru,NBT,3,745.0,"0,1,2","0,0,1",s,26.8224,False,
98_84_86_NBR,84,98_84,84_86,right,NBR,1,29.0,0,0,r,4.02336,False,
98_87_89_SBL,87,98_87,87_89,left,SBL,1,21.0,2,1,l,6.7056,False,
98_87_31_SBT,87,98_87,87_31,thru,SBT,2,483.0,"0,1","0,1",s,26.8224,False,
98_87_88_SBR,87,98_87,87_88,right,SBR,1,6.0,0,0,r,4.02336,False,
