node_id,x_coord,y_coord,node_type,INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed,INTID_base,TYPE_DESC
31,-114.59817011712792,34.9661912305817,External Node,31,1,13783,-73346,0,,,,,,,0,External Node
39,-114.59807666698381,35.02605198650903,Signalized,39,0,13811,-51558,0,,,,,,,1,Signalized
73,-114.59880477316032,35.026060226539805,External Node,73,1,13593,-51555,0,,,,,,,0,External Node
74,-114.59713480508617,35.026040993234105,External Node,74,1,14093,-51562,0,,,,,,,0,External Node
75,-114.59809002539487,35.017850977029575,Signalized,75,0,13807,-54543,0,,,,,,,0,Signalized
76,-114.59869783309787,35.017850975440744,External Node,76,1,13625,-54543,0,,,,,,,0,External Node
77,-114.5973887088375,35.0178482276718,External Node,77,1,14017,-54544,0,,,,,,,0,External Node
78,-114.59810004239961,35.01151270179387,Signalized,78,0,13804,-56850,0,,,,,,,0,Signalized
79,-114.59727188489231,35.01150445689333,External Node,79,1,14052,-56853,0,,,,,,,0,External Node
80,-114.59811339651334,35.00420458253914,Signalized,80,0,13800,-59510,0,,,,,,,0,Signalized
81,-114.5971651071163,35.00417985238786,External Node,81,1,14084,-59519,0,,,,,,,0,External Node
82,-114.59811339324779,34.99689645447201,Signalized,82,0,13800,-62170,0,,,,,,,0,Signalized
83,-114.59685468397794,34.99689919574578,External Node,83,1,14177,-62169,0,,,,,,,0,External Node
84,-114.59814009203392,34.98234611007888,Signalized,84,0,13792,-67466,0,,,,,,,0,Signalized
85,-114.59899466113005,34.982346106625315,External Node,85,1,13536,-67466,0,,,,,,,0,External Node
86,-114.59698175029283,34.982348852583684,External Node,86,1,14139,-67465,0,,,,,,,0,External Node
87,-114.59816678133754,34.96775726670408,Signalized,87,0,13784,-72776,0,,,,,,,0,Signalized
88,-114.59883429509406,34.96776001180577,External Node,88,1,13584,-72775,0,,,,,,,0,External Node
89,-114.59697193186928,34.9677490194186,External Node,89,1,14142,-72779,0,,,,,,,0,External Node
97,-114.59913147899391,34.978703019106625,External Node,97,1,13495,-68792,0,,,,,,,0,External Node
98,-114.59818014541868,34.978735992761514,Signalized,98,0,13780,-68780,0,,,,,,,0,Signalized
106,-114.59809670666772,35.026323979596334,External Node,106,1,13805,-51459,0,,,,,,,0,External Node
