node_id,mvmt_id,offroad_link_id,phase_num,protection,mvmt_text_id
39,7,,7,Protected,EBL
39,4,,4,Protected,EBT
39,41,,4,RTOR,EBR
39,82,,8,Permissive,WBL
39,8,,8,Protected,WBT
39,81,,8,RTOR,WBR
39,5,,5,Protected,NBL
39,2,,2,Protected,NBT
39,21,,2,RTOR,NBR
39,62,,6,Permissive,SBL
39,6,,6,Protected,SBT
39,61,,6,RTOR,SBR
75,7,,7,Protected,EBL
75,4,,4,Protected,EBT
75,41,,4,RTOR,EBR
75,82,,8,Permissive,WBL
75,8,,8,Protected,WBT
75,81,,8,RTOR,WBR
75,5,,5,Protected,NBL
75,2,,2,Protected,NBT
75,21,,2,RTOR,NBR
75,62,,6,Permissive,SBL
75,6,,6,Protected,SBT
75,61,,6,RTOR,SBR
78,8,,8,Permissive,WBL
78,8,,8,Protected,WBT
78,81,,8,RTOR,WBR
78,22,,2,Protected,NBL
78,2,,2,Protected,NBT
78,21,,2,RTOR,NBR
78,1,,1,Protected,SBL
78,6,,6,Protected,SBT
78,61,,6,RTOR,SBR
80,8,,8,Permissive,WBL
80,8,,8,Protected,WBT
80,81,,8,RTOR,WBR
80,22,,2,Protected,NBL
80,2,,2,Protected,NBT
80,21,,2,RTOR,NBR
80,1,,1,Protected,SBL
80,6,,6,Protected,SBT
80,61,,6,RTOR,SBR
82,8,,8,Permissive,WBL
82,8,,8,Protected,WBT
82,81,,8,RTOR,WBR
82,22,,2,Protected,NBL
82,2,,2,Protected,NBT
82,21,,2,RTOR,NBR
82,62,,6,Permissive,SBL
82,6,,6,Protected,SBT
82,61,,6,RTOR,SBR
84,42,,4,Permissive,EBL
84,4,,4,Protected,EBT
84,41,,4,RTOR,EBR
84,82,,8,Permissive,WBL
84,8,,8,Protected,WBT
84,81,,8,RTOR,WBR
84,5,,5,Protected,NBL
84,2,,2,Protected,NBT
84,21,,2,RTOR,NBR
84,1,,1,Protected,SBL
84,6,,6,Protected,SBT
84,61,,6,RTOR,SBR
87,7,,7,Protected,EBL
87,4,,4,Protected,EBT
87,41,,4,RTOR,EBR
87,82,,8,Permissive,WBL
87,8,,8,Protected,WBT
87,81,,8,RTOR,WBR
87,5,,5,Protected,NBL
87,2,,2,Protected,NBT
87,21,,2,RTOR,NBR
87,62,,6,Permissive,SBL
87,6,,6,Protected,SBT
87,61,,6,RTOR,SBR
98,4,,4,Permissive,EBL
98,4,,4,Protected,EBT
98,41,,4,RTOR,EBR
98,5,,5,Protected,NBL
98,2,,2,Protected,NBT
98,21,,2,RTOR,NBR
98,62,,6,Permissive,SBL
98,6,,6,Protected,SBT
98,61,,6,RTOR,SBR
