osm_node_id,time_window,time_interval,travel_time_delta,capacity,v_over_c,cycle_no,cycle_length,green_time,red_time,stage_no,mvmt_text_id,start_green_time,end_green_time,geometry
39,000036_000045,None,None,#N/A,#N/A,0,80,#N/A,#N/A,2,EBL,000036,000045,0
39,000036_000120,None,None,76500,0,0,80,44,36,2,EBT,000036,000120,0
39,000036_000120,None,None,0,0,0,80,44,36,2,EBR,000036,000120,0
39,000045_000120,None,None,#N/A,#N/A,0,80,#N/A,#N/A,2,WBL,000045,000120,0
39,000045_000120,None,None,59288,0,0,80,35,45,2,WBT,000045,000120,0
39,000045_000120,None,None,0,0,0,80,35,45,2,WBR,000045,000120,0
39,000000_000009,None,None,#N/A,#N/A,0,80,#N/A,#N/A,1,NBL,000000,000009,0
39,000000_000036,None,None,122400,0,0,80,36,44,1,NBT,000000,000036,0
39,000000_000036,None,None,1530000,0,0,80,36,44,1,NBR,000000,000036,0
39,000009_000036,None,None,#N/A,#N/A,0,80,#N/A,#N/A,1,SBL,000009,000036,0
39,000009_000036,None,None,87975,0,0,80,27,53,1,SBT,000009,000036,0
39,000009_000036,None,None,175950,0,0,80,27,53,1,SBR,000009,000036,0
75,000036_000045,None,None,#N/A,#N/A,0,80,#N/A,#N/A,2,EBL,000036,000045,0
75,000036_000120,None,None,76500,0,0,80,44,36,2,EBT,000036,000120,0
75,000036_000120,None,None,0,0,0,80,44,36,2,EBR,000036,000120,0
75,000045_000120,None,None,#N/A,#N/A,0,80,#N/A,#N/A,2,WBL,000045,000120,0
75,000045_000120,None,None,59288,0,0,80,35,45,2,WBT,000045,000120,0
75,000045_000120,None,None,0,0,0,80,35,45,2,WBR,000045,000120,0
75,000000_000009,None,None,#N/A,#N/A,0,80,#N/A,#N/A,1,NBL,000000,000009,0
75,000000_000036,None,None,122400,0,0,80,36,44,1,NBT,000000,000036,0
75,000000_000036,None,None,1530000,0,0,80,36,44,1,NBR,000000,000036,0
75,000009_000036,None,None,#N/A,#N/A,0,80,#N/A,#N/A,1,SBL,000009,000036,0
75,000009_000036,None,None,87975,0,0,80,27,53,1,SBT,000009,000036,0
75,000009_000036,None,None,175950,0,0,80,27,53,1,SBR,000009,000036,0
78,000036_000110,None,None,4826,0.02,0,70,34,36,2,WBL,000036,000110,0
78,000036_000110,None,None,2413,0.08,0,70,34,36,2,WBT,000036,000110,0
78,000036_000110,None,None,0,0,0,70,34,36,2,WBR,000036,000110,0
78,000009_000036,None,None,#N/A,#N/A,0,70,#N/A,#N/A,1,NBL,000009,000036,0
78,000009_000036,None,None,1388,1.25,0,70,27,43,1,NBT,000009,000036,0
78,000009_000036,None,None,11562,0.005102923,0,70,27,43,1,NBR,000009,000036,0
