RECORDNAME,INTID,NBL2,NBL,NBT,NBR,SBL,SBT,SBR,EBU,EBL,EBT,EBR,EBR2,WBU,WBL,WBT,WBR,NEL,NET,NER,NWL2,NWL,NWT,NWR,SEL,SET,SER,SER2,SWL,SWT,SWR,PED,HOLD
Up Node,2,,357,357,357,101,101,101,356,356,356,356,,3,3,3,3,,,,,,,,,,,,,,,,
Dest Node,2,,356,101,3,3,357,356,356,101,3,357,,3,357,356,101,,,,,,,,,,,,,,,,
Lanes,2,,1,1,0,1,1,0,0,1,1,0,,0,1,1,1,,,,,,,,,,,,,,,,
Shared,2,,0,2,,0,2,,,0,2,,,,0,0,,,,,,,,,,,,,,,,,
Width,2,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,2,,130,,,100,,,,205,,,,,195,,,,,,,,,,,,,,,,,,
Taper,2,,25,,,25,,,,25,,,,,25,,,,,,,,,,,,,,,,,,
StLanes,2,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
Grade,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,2,,,35,,,35,,,,40,,,,,40,,,,,,,,,,,,,,,,,
Phase1,2,,,1,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,
PermPhase1,2,,1,,,1,,,,2,,,,,2,,2,,,,,,,,,,,,,,,,
LostTime,2,,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,
Lost Time Adjust,2,,-2,-2,0,-2,-2,0,0,-2,-2,0,,0,-2,-2,-2,,,,,,,,,,,,,,,,
IdealFlow,2,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,2,,1863,1863,0,1863,1863,0,0,1863,1863,0,,0,1863,1863,1863,,,,,,,,,,,,,,,,
SatFlowPerm,2,,1863,1863,0,1863,1863,0,0,1863,1863,0,,0,1863,1863,1863,,,,,,,,,,,,,,,,
Allow RTOR,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Volume,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Peds,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,2,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,
Growth,2,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,2,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,2,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,2,,,1556,,,2652,,,,800,,,,,2657,,,,,,,,,,,,,,,,,
TravelTime,2,,,30.3,,,51.7,,,,13.6,,,,,45.3,,,,,,,,,,,,,,,,,
Right Channeled,2,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,2,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,2,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,2,,50,50,,50,50,,,50,50,,,,50,50,50,,,,,,,,,,,,,,,,
LastDetect,2,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase1,2,,1,1,,1,1,,,2,2,,,,2,2,2,,,,,,,,,,,,,,,,
DetectPhase2,2,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase3,2,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase4,2,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
SwitchPhase,2,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
numDetects,2,,1,1,,1,1,,,1,1,,,,1,1,1,,,,,,,,,,,,,,,,
DetectPos1,2,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectSize1,2,,50,50,,50,50,,,50,50,,,,50,50,50,,,,,,,,,,,,,,,,
DetectType1,2,,3,3,,3,3,,,3,3,,,,3,3,3,,,,,,,,,,,,,,,,
DetectExtend1,2,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectQueue1,2,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectDelay1,2,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
Exit Lanes,2,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Up Node,3,,225,225,225,351,351,351,2,2,2,2,,352,352,352,352,,,,,,,,,,,,,,,,
Dest Node,3,,2,351,352,352,225,2,2,351,352,225,,352,225,2,351,,,,,,,,,,,,,,,,
